date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_v2bc,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,cal_p_over_v2bc,cal_edge_v2bc,slate_line,slate_over_odds,slate_under_odds,slate_p_over,slate_novig_over,slate_edge,slate_cal_p_over_v2,slate_cal_edge_v2,slate_cal_p_over_ml,slate_cal_edge_ml,slate_over_hit,slate_over_pnl,slate_under_pnl,actual_ks,actual_bf,gs,error_v0,error_v1,error_v2,error_v2bc,error_ml,over_hit,over_pnl,under_pnl
2026-06-19,824097,2026-06-20T00:15:00Z,700241,Michael McGreevy,Kansas City Royals,False,0.159,0.138,0.087,0.223,lineup,1.0,0.149,22.6,3.47,3.16,3.37,3.06,,"[{""id"": 695600, ""name"": ""Carter Jensen"", ""slot"": 1}, {""id"": 657041, ""name"": ""Lane Thomas"", ""slot"": 2}, {""id"": 695506, ""name"": ""Jac Caglianone"", ""slot"": 3}, {""id"": 521692, ""name"": ""Salvador Perez"", ""slot"": 4}, {""id"": 686681, ""name"": ""Michael Massey"", ""slot"": 5}, {""id"": 679845, ""name"": ""Nick Loftin"", ""slot"": 6}, {""id"": 670231, ""name"": ""John Rave"", ""slot"": 7}, {""id"": 686555, ""name"": ""Isaac Collins"", ""slot"": 8}, {""id"": 686475, ""name"": ""Tyler Tolbert"", ""slot"": 9}]",3.5,120,betonlineag,-125,betmgm,7,0.435,0.459,-0.024,-0.044,0.017,0.481,0.022,,,0.483,0.024,3.5,120,-125,0.477,0.459,0.018,0.498,0.039,,,0,-1.0,0.8,2,23,1,-1.47,-1.16,-1.37,-1.06,,0,-1.0,0.8
2026-06-19,823124,2026-06-20T02:10:00Z,624133,Ranger Suarez,Seattle Mariners,False,0.245,0.256,0.109,0.222,lineup,1.03,0.253,22.6,5.74,5.66,5.71,5.4,,"[{""id"": 608701, ""name"": ""Rob Refsnyder"", ""slot"": 1}, {""id"": 663728, ""name"": ""Cal Raleigh"", ""slot"": 2}, {""id"": 677594, ""name"": ""Julio Rodríguez"", ""slot"": 3}, {""id"": 647304, ""name"": ""Josh Naylor"", ""slot"": 4}, {""id"": 686527, ""name"": ""Dominic Canzone"", ""slot"": 5}, {""id"": 702284, ""name"": ""Cole Young"", ""slot"": 6}, {""id"": 645302, ""name"": ""Victor Robles"", ""slot"": 7}, {""id"": 806068, ""name"": ""Colt Emerson"", ""slot"": 8}, {""id"": 642215, ""name"": ""Weston Wilson"", ""slot"": 9}]",5.5,-140,betmgm,112,draftkings,7,0.507,0.55,-0.043,-0.131,0.046,0.509,-0.041,,,0.547,-0.003,5.5,-140,112,0.507,0.55,-0.043,0.509,-0.041,,,0,-1.0,1.12,5,24,1,-0.74,-0.66,-0.71,-0.4,,0,-1.0,1.12
2026-06-19,824179,2026-06-20T00:10:00Z,676440,Tanner Bibee,Houston Astros,False,0.214,0.228,0.126,0.199,lineup,1.0,0.194,22.8,5.06,4.83,4.42,4.11,,"[{""id"": 665161, ""name"": ""Jeremy Peña"", ""slot"": 1}, {""id"": 670541, ""name"": ""Yordan Alvarez"", ""slot"": 2}, {""id"": 572233, ""name"": ""Christian Walker"", ""slot"": 3}, {""id"": 670623, ""name"": ""Isaac Paredes"", ""slot"": 4}, {""id"": 514888, ""name"": ""Jose Altuve"", ""slot"": 5}, {""id"": 673237, ""name"": ""Yainer Diaz"", ""slot"": 6}, {""id"": 701358, ""name"": ""Cam Smith"", ""slot"": 7}, {""id"": 694388, ""name"": ""Joey Loperfido"", ""slot"": 8}, {""id"": 676694, ""name"": ""Jake Meyers"", ""slot"": 9}]",4.5,123,betrivers,-107,draftkings,7,0.452,0.5,-0.048,0.008,0.06,0.488,-0.012,,,0.503,0.003,4.5,123,-107,0.408,0.5,-0.092,0.47,-0.03,,,1,1.23,-1.0,7,22,1,1.94,2.17,2.58,2.89,,1,1.23,-1.0
2026-06-19,824345,2026-06-20T00:40:00Z,696149,Bubba Chandler,Colorado Rockies,False,0.209,0.216,0.119,0.22,lineup,0.92,0.19,23.2,4.87,5.05,4.42,4.11,,"[{""id"": 664983, ""name"": ""Jake McCarthy"", ""slot"": 1}, {""id"": 650489, ""name"": ""Willi Castro"", ""slot"": 2}, {""id"": 696100, ""name"": ""Hunter Goodman"", ""slot"": 3}, {""id"": 681198, ""name"": ""TJ Rumfield"", ""slot"": 4}, {""id"": 671289, ""name"": ""Tyler Freeman"", ""slot"": 5}, {""id"": 694249, ""name"": ""Cole Carrigg"", ""slot"": 6}, {""id"": 694514, ""name"": ""Sterlin Thompson"", ""slot"": 7}, {""id"": 678662, ""name"": ""Ezequiel Tovar"", ""slot"": 8}, {""id"": 691720, ""name"": ""Kyle Karros"", ""slot"": 9}]",4.5,-120,betmgm,110,bovada,7,0.453,0.54,-0.087,-0.17,0.15,0.488,-0.052,,,0.503,-0.037,4.5,-120,110,0.537,0.54,-0.003,0.521,-0.019,,,0,-1.0,1.1,1,26,1,-3.87,-4.05,-3.42,-3.11,,0,-1.0,1.1
2026-06-19,824264,2026-06-19T22:40:00Z,669373,Tarik Skubal,Chicago White Sox,True,0.269,0.291,0.15,0.213,lineup,1.0,0.263,23.5,6.38,7.0,6.18,5.87,,"[{""id"": 678246, ""name"": ""Miguel Vargas"", ""slot"": 1}, {""id"": 545341, ""name"": ""Randal Grichuk"", ""slot"": 2}, {""id"": 805367, ""name"": ""Chase Meidroth"", ""slot"": 3}, {""id"": 695657, ""name"": ""Colson Montgomery"", ""slot"": 4}, {""id"": 700337, ""name"": ""Edgar Quero"", ""slot"": 5}, {""id"": 678577, ""name"": ""Junior Perez"", ""slot"": 6}, {""id"": 803011, ""name"": ""Sam Antonacci"", ""slot"": 7}, {""id"": 682668, ""name"": ""Luisangel Acuña"", ""slot"": 8}, {""id"": 671976, ""name"": ""Tristan Peters"", ""slot"": 9}]",6.5,-106,betrivers,100,bovada,7,0.422,0.51,-0.088,-0.179,0.155,0.476,-0.034,,,0.488,-0.022,6.5,-102,-110,0.528,0.497,0.032,0.518,0.021,,,1,0.98,-1.0,8,25,1,1.62,1.0,1.82,2.13,,1,0.943,-1.0
2026-06-19,823534,2026-06-19T23:05:00Z,695076,Rhett Lowder,New York Yankees,False,0.181,0.185,0.086,0.233,lineup,1.0,0.189,20.0,4.2,3.69,3.79,3.48,,"[{""id"": 700250, ""name"": ""Ben Rice"", ""slot"": 1}, {""id"": 691176, ""name"": ""Jasson Domínguez"", ""slot"": 2}, {""id"": 641355, ""name"": ""Cody Bellinger"", ""slot"": 3}, {""id"": 502671, ""name"": ""Paul Goldschmidt"", ""slot"": 4}, {""id"": 665862, ""name"": ""Jazz Chisholm Jr."", ""slot"": 5}, {""id"": 682987, ""name"": ""Spencer Jones"", ""slot"": 6}, {""id"": 683011, ""name"": ""Anthony Volpe"", ""slot"": 7}, {""id"": 641857, ""name"": ""Ryan McMahon"", ""slot"": 8}, {""id"": 641555, ""name"": ""J.C. Escarra"", ""slot"": 9}]",4.5,132,betonlineag,-155,betmgm,6,0.33,0.42,-0.09,-0.235,0.103,0.438,0.018,,,0.407,-0.013,4.5,132,-155,0.357,0.42,-0.063,0.45,0.03,,,1,1.32,-1.0,5,25,1,0.8,1.31,1.21,1.52,,1,1.32,-1.0
2026-06-19,824663,2026-06-19T18:20:00Z,592332,Kevin Gausman,Chicago Cubs,False,0.243,0.259,0.142,0.206,lineup,1.0,0.228,22.4,5.74,5.22,5.11,4.8,,"[{""id"": 691718, ""name"": ""Pete Crow-Armstrong"", ""slot"": 1}, {""id"": 608324, ""name"": ""Alex Bregman"", ""slot"": 2}, {""id"": 683737, ""name"": ""Michael Busch"", ""slot"": 3}, {""id"": 673548, ""name"": ""Seiya Suzuki"", ""slot"": 4}, {""id"": 664023, ""name"": ""Ian Happ"", ""slot"": 5}, {""id"": 807713, ""name"": ""Matt Shaw"", ""slot"": 6}, {""id"": 663538, ""name"": ""Nico Hoerner"", ""slot"": 7}, {""id"": 608348, ""name"": ""Carson Kelly"", ""slot"": 8}, {""id"": 621020, ""name"": ""Dansby Swanson"", ""slot"": 9}]",5.5,-110,fanduel,103,draftkings,7,0.403,0.5,-0.097,-0.231,0.212,0.469,-0.031,,,0.47,-0.03,5.5,-110,103,0.493,0.5,-0.007,0.504,0.004,,,0,-1.0,1.03,3,17,1,-2.74,-2.22,-2.11,-1.8,,0,-1.0,1.03
2026-06-19,825069,2026-06-20T01:45:00Z,647336,Michael Soroka,Minnesota Twins,True,0.237,0.22,0.111,0.222,lineup,1.0,0.227,21.3,5.3,4.87,4.84,4.54,,"[{""id"": 663616, ""name"": ""Trevor Larnach"", ""slot"": 1}, {""id"": 621439, ""name"": ""Byron Buxton"", ""slot"": 2}, {""id"": 665019, ""name"": ""Kody Clemens"", ""slot"": 3}, {""id"": 605137, ""name"": ""Josh Bell"", ""slot"": 4}, {""id"": 668904, ""name"": ""Royce Lewis"", ""slot"": 5}, {""id"": 686797, ""name"": ""Brooks Lee"", ""slot"": 6}, {""id"": 605170, ""name"": ""Victor Caratini"", ""slot"": 7}, {""id"": 656484, ""name"": ""Tristan Gray"", ""slot"": 8}, {""id"": 807712, ""name"": ""Luke Keaschall"", ""slot"": 9}]",5.5,116,fanduel,-135,betmgm,7,0.357,0.454,-0.097,-0.23,0.12,0.45,-0.004,,,0.434,-0.02,5.5,116,-135,0.427,0.454,-0.027,0.478,0.024,,,0,-1.0,0.741,0,4,1,-5.3,-4.87,-4.84,-4.54,,0,-1.0,0.741
2026-06-19,825069,2026-06-20T01:45:00Z,687570,Connor Prielipp,Arizona Diamondbacks,False,0.234,0.222,0.103,0.172,lineup,1.0,0.175,20.0,5.28,4.08,3.5,3.2,,"[{""id"": 606466, ""name"": ""Ketel Marte"", ""slot"": 1}, {""id"": 672695, ""name"": ""Geraldo Perdomo"", ""slot"": 2}, {""id"": 682998, ""name"": ""Corbin Carroll"", ""slot"": 3}, {""id"": 672515, ""name"": ""Gabriel Moreno"", ""slot"": 4}, {""id"": 666971, ""name"": ""Lourdes Gurriel Jr."", ""slot"": 5}, {""id"": 571448, ""name"": ""Nolan Arenado"", ""slot"": 6}, {""id"": 545121, ""name"": ""Ildemaro Vargas"", ""slot"": 7}, {""id"": 691783, ""name"": ""Jordan Lawlar"", ""slot"": 8}, {""id"": 694410, ""name"": ""LuJames Groover"", ""slot"": 9}]",3.5,-145,bovada,125,draftkings,6,0.464,0.572,-0.108,-0.216,0.206,0.493,-0.079,,,0.507,-0.065,3.5,-145,125,0.503,0.572,-0.069,0.508,-0.064,,,1,0.69,-1.0,4,30,1,-1.28,-0.08,0.5,0.8,,1,0.69,-1.0
2026-06-19,822886,2026-06-20T00:05:00Z,681190,Randy Vásquez,Texas Rangers,False,0.177,0.127,0.108,0.205,lineup,1.0,0.143,22.2,3.61,3.48,3.17,2.86,,"[{""id"": 592626, ""name"": ""Joc Pederson"", ""slot"": 1}, {""id"": 673962, ""name"": ""Josh Jung"", ""slot"": 2}, {""id"": 694671, ""name"": ""Wyatt Langford"", ""slot"": 3}, {""id"": 607043, ""name"": ""Brandon Nimmo"", ""slot"": 4}, {""id"": 677649, ""name"": ""Ezequiel Duran"", ""slot"": 5}, {""id"": 696030, ""name"": ""Alejandro Osuna"", ""slot"": 6}, {""id"": 669394, ""name"": ""Jake Burger"", ""slot"": 7}, {""id"": 670032, ""name"": ""Nicky Lopez"", ""slot"": 8}, {""id"": 553869, ""name"": ""Elias Díaz"", ""slot"": 9}]",3.5,-107,betrivers,-105,betmgm,6,0.39,0.5,-0.11,-0.245,0.191,0.463,-0.037,,,0.449,-0.051,3.5,-107,-105,0.401,0.5,-0.099,0.468,-0.032,,,0,-1.0,0.952,1,21,1,-2.61,-2.48,-2.17,-1.86,,0,-1.0,0.952
2026-06-19,822966,2026-06-19T23:10:00Z,643377,Griffin Jax,Washington Nationals,True,0.228,0.259,0.149,0.2,lineup,1.0,0.214,18.9,5.52,4.24,4.05,3.74,,"[{""id"": 695578, ""name"": ""James Wood"", ""slot"": 1}, {""id"": 671277, ""name"": ""Luis García Jr."", ""slot"": 2}, {""id"": 677588, ""name"": ""José Tena"", ""slot"": 3}, {""id"": 682928, ""name"": ""CJ Abrams"", ""slot"": 4}, {""id"": 660688, ""name"": ""Keibert Ruiz"", ""slot"": 5}, {""id"": 695734, ""name"": ""Daylen Lile"", ""slot"": 6}, {""id"": 683083, ""name"": ""Nasim Nuñez"", ""slot"": 7}, {""id"": 678391, ""name"": ""Jorbit Vivas"", ""slot"": 8}, {""id"": 696285, ""name"": ""Jacob Young"", ""slot"": 9}]",4.5,120,fanatics,115,draftkings,2,0.381,0.497,-0.116,-0.163,0.332,0.46,-0.037,,,0.448,-0.049,4.5,-117,100,0.392,0.524,-0.132,0.464,-0.06,,,1,0.855,-1.0,5,18,1,-0.52,0.76,0.95,1.26,,1,1.2,-1.0
2026-06-19,824990,2026-06-20T01:40:00Z,667755,José Soriano,Athletics,False,0.255,0.19,0.153,0.203,lineup,1.0,0.207,21.7,5.26,4.89,4.49,4.18,,"[{""id"": 680869, ""name"": ""Zack Gelof"", ""slot"": 1}, {""id"": 701762, ""name"": ""Nick Kurtz"", ""slot"": 2}, {""id"": 669127, ""name"": ""Shea Langeliers"", ""slot"": 3}, {""id"": 691016, ""name"": ""Tyler Soderstrom"", ""slot"": 4}, {""id"": 805779, ""name"": ""Jacob Wilson"", ""slot"": 5}, {""id"": 666126, ""name"": ""Carlos Cortes"", ""slot"": 6}, {""id"": 671732, ""name"": ""Lawrence Butler"", ""slot"": 7}, {""id"": 703607, ""name"": ""Henry Bolte"", ""slot"": 8}, {""id"": 643446, ""name"": ""Jeff McNeil"", ""slot"": 9}]",4.5,125,betrivers,130,betmgm,6,0.465,0.589,-0.124,0.047,0.23,0.493,-0.096,,,0.513,-0.076,4.5,125,130,0.583,0.589,-0.006,0.539,-0.05,,,1,1.25,-1.0,6,24,1,0.74,1.11,1.51,1.82,,1,1.25,-1.0
2026-06-19,824097,2026-06-20T00:15:00Z,607625,Seth Lugo,St. Louis Cardinals,True,0.185,0.135,0.087,0.189,lineup,1.0,0.139,23.2,3.79,3.48,3.22,2.91,,"[{""id"": 802139, ""name"": ""JJ Wetherholt"", ""slot"": 1}, {""id"": 671056, ""name"": ""Iván Herrera"", ""slot"": 2}, {""id"": 676475, ""name"": ""Alec Burleson"", ""slot"": 3}, {""id"": 691023, ""name"": ""Jordan Walker"", ""slot"": 4}, {""id"": 663457, ""name"": ""Lars Nootbaar"", ""slot"": 5}, {""id"": 691026, ""name"": ""Masyn Winn"", ""slot"": 6}, {""id"": 699625, ""name"": ""Jimmy Crooks"", ""slot"": 7}, {""id"": 691458, ""name"": ""Blaze Jordan"", ""slot"": 8}, {""id"": 701675, ""name"": ""Nathan Church"", ""slot"": 9}]",4.5,138,fanduel,130,betonlineag,6,0.222,0.403,-0.181,-0.471,0.788,0.387,-0.016,,,0.311,-0.092,4.5,138,130,0.336,0.403,-0.067,0.441,0.038,,,0,-1.0,1.3,0,23,1,-3.79,-3.48,-3.22,-2.91,,0,-1.0,1.3
