date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml
2026-05-30,823622,2026-05-30T20:10:00Z,663969,Tyler Phillips,New York Mets,False,0.215,0.25,0.136,0.216,team,1.02,0.225,28.0,5.27,6.16,6.29,,[],3.5,-110,betmgm,220,betrivers,6,0.873,0.508,0.365,0.666,-0.592,0.64,0.132,,
2026-05-30,823054,2026-05-30T23:15:00Z,676962,Ben Brown,St. Louis Cardinals,False,0.264,0.299,0.137,0.21,team,1.0,0.26,28.0,6.39,7.27,7.27,,[],4.5,-125,betmgm,109,draftkings,4,0.85,0.539,0.311,0.531,-0.687,0.627,0.088,,
2026-05-30,824513,2026-05-30T23:15:00Z,527048,Martín Pérez,Cincinnati Reds,False,0.216,0.228,0.096,0.243,team,1.0,0.239,25.0,5.08,5.96,5.96,,[],4.5,126,draftkings,-155,betmgm,3,0.71,0.425,0.285,0.605,-0.523,0.57,0.146,,
2026-05-30,822731,2026-05-30T20:05:00Z,656492,Foster Griffin,San Diego Padres,True,0.232,0.246,0.111,0.232,team,1.0,0.245,23.9,5.46,5.84,5.84,,[],5.5,325,betrivers,121,draftkings,5,0.529,0.408,0.12,1.247,0.041,0.516,0.107,,
2026-05-30,824190,2026-05-30T20:10:00Z,687075,Brandon Sproat,Houston Astros,False,0.245,0.277,0.115,0.211,team,1.0,0.242,22.8,5.93,5.51,5.51,,[],4.5,-132,betrivers,110,draftkings,5,0.644,0.538,0.107,0.133,-0.253,0.55,0.012,,
2026-05-30,823054,2026-05-30T23:15:00Z,681517,Kyle Leahy,Chicago Cubs,True,0.183,0.229,0.104,0.213,team,1.0,0.191,23.2,4.64,4.42,4.42,,[],3.5,-135,betmgm,112,fanduel,5,0.644,0.551,0.093,0.121,-0.246,0.55,-0.002,,
2026-05-30,823945,2026-05-31T02:10:00Z,666200,Jesús Luzardo,Los Angeles Dodgers,False,0.277,0.27,0.148,0.202,team,1.02,0.251,23.4,6.3,5.76,5.87,,[],5.5,-107,draftkings,-105,fanduel,3,0.534,0.49,0.044,0.032,-0.089,0.517,0.027,,
2026-05-30,824593,2026-05-30T18:10:00Z,641743,Anthony Kay,Detroit Tigers,True,0.165,0.211,0.092,0.229,team,1.0,0.187,24.9,4.22,4.64,4.64,,[],4.5,220,betrivers,-110,betmgm,6,0.493,0.468,0.026,0.579,-0.033,0.506,0.038,,
2026-05-30,822975,2026-05-30T20:10:00Z,672282,Reid Detmers,Tampa Bay Rays,False,0.283,0.315,0.145,0.186,team,1.0,0.245,24.4,6.8,5.96,5.96,,[],5.5,-120,betmgm,100,fanduel,4,0.548,0.525,0.023,0.005,-0.096,0.521,-0.004,,
2026-05-30,822731,2026-05-30T20:05:00Z,650633,Michael King,Washington Nationals,False,0.254,0.254,0.13,0.215,team,1.0,0.243,22.6,5.85,5.51,5.51,,[],5.5,210,betrivers,-127,draftkings,6,0.473,0.45,0.023,0.465,-0.058,0.5,0.05,,
2026-05-30,825000,2026-05-31T02:05:00Z,677960,Ryan Weathers,Athletics,False,0.283,0.254,0.118,0.221,team,1.0,0.266,22.9,6.24,6.1,6.1,,[],5.5,-142,fanduel,116,fanduel,5,0.571,0.558,0.013,-0.027,-0.073,0.528,-0.03,,
2026-05-30,824833,2026-05-30T20:05:00Z,702056,Trey Yesavage,Baltimore Orioles,False,0.273,0.296,0.16,0.239,team,1.0,0.3,21.4,6.5,6.42,6.42,,[],6.5,106,fanduel,295,betrivers,5,0.462,0.46,0.002,-0.049,1.127,0.497,0.037,,
2026-05-30,823945,2026-05-31T02:10:00Z,808963,Roki Sasaki,Philadelphia Phillies,True,0.213,0.222,0.137,0.221,team,1.02,0.217,22.8,4.98,4.86,4.96,,[],4.5,-138,fanduel,115,betmgm,3,0.552,0.551,0.0,-0.048,-0.036,0.523,-0.029,,
2026-05-30,822975,2026-05-30T20:10:00Z,656876,Drew Rasmussen,Los Angeles Angels,True,0.234,0.208,0.113,0.254,team,1.0,0.253,22.7,5.15,5.74,5.74,,[],5.5,-122,fanduel,110,draftkings,5,0.511,0.524,-0.013,-0.07,0.027,0.511,-0.013,,
2026-05-30,822893,2026-05-30T20:05:00Z,607625,Seth Lugo,Texas Rangers,False,0.198,0.185,0.082,0.231,team,1.0,0.198,24.8,4.44,4.91,4.91,,[],4.5,295,betrivers,125,draftkings,6,0.543,0.563,-0.02,1.145,0.028,0.52,-0.043,,
2026-05-30,824431,2026-05-30T20:10:00Z,800048,Parker Messick,Boston Red Sox,True,0.28,0.278,0.135,0.221,team,1.0,0.275,22.8,6.42,6.27,6.27,,[],6.5,110,fanduel,105,betmgm,4,0.437,0.461,-0.024,-0.082,0.154,0.49,0.029,,
2026-05-30,823622,2026-05-30T20:10:00Z,681035,Christian Scott,Miami Marlins,True,0.263,0.279,0.106,0.217,team,1.02,0.265,19.7,6.2,5.12,5.22,,[],5.5,110,fanduel,135,betmgm,5,0.422,0.454,-0.032,-0.113,0.358,0.486,0.032,,
2026-05-30,823375,2026-05-30T20:05:00Z,641927,Bailey Ober,Pittsburgh Pirates,False,0.169,0.132,0.098,0.238,team,1.0,0.163,23.5,3.55,3.84,3.84,,[],3.5,310,betrivers,126,draftkings,6,0.534,0.573,-0.039,1.191,0.052,0.518,-0.056,,
2026-05-30,823132,2026-05-31T02:10:00Z,693433,Bryan Woo,Arizona Diamondbacks,True,0.23,0.278,0.129,0.202,team,1.03,0.231,23.2,5.74,5.2,5.36,,[],5.5,-106,draftkings,-106,fanduel,4,0.446,0.499,-0.053,-0.133,0.076,0.493,-0.007,,
2026-05-30,824593,2026-05-30T18:10:00Z,664285,Framber Valdez,Chicago White Sox,False,0.187,0.217,0.101,0.242,team,1.0,0.213,24.2,4.57,5.17,5.17,,[],5.5,110,draftkings,-129,betrivers,5,0.413,0.468,-0.054,-0.132,0.041,0.483,0.015,,
2026-05-30,824352,2026-05-31T01:10:00Z,605288,Adrian Houser,Colorado Rockies,False,0.132,0.153,0.087,0.242,team,0.92,0.139,23.0,3.23,3.47,3.19,,[],3.5,110,fanduel,-125,betmgm,4,0.396,0.454,-0.058,-0.169,0.088,0.478,0.024,,
2026-05-30,823132,2026-05-31T02:10:00Z,669194,Ryne Nelson,Seattle Mariners,False,0.193,0.187,0.12,0.234,team,1.03,0.204,24.6,4.38,4.86,5.01,,[],5.5,116,fanduel,130,betmgm,5,0.386,0.446,-0.06,-0.167,0.413,0.475,0.029,,
2026-05-30,824190,2026-05-30T20:10:00Z,663567,Peter Lambert,Milwaukee Brewers,True,0.238,0.2,0.131,0.21,team,1.0,0.208,24.0,5.13,4.99,4.99,,[],5.5,220,betrivers,-130,draftkings,6,0.382,0.445,-0.063,0.223,0.093,0.474,0.029,,
2026-05-30,822893,2026-05-30T20:05:00Z,677958,Kumar Rocker,Kansas City Royals,True,0.194,0.163,0.109,0.215,team,1.0,0.174,22.2,4.19,3.86,3.86,,[],4.5,138,fanduel,123,betrivers,5,0.344,0.41,-0.066,-0.182,0.464,0.462,0.052,,
2026-05-30,823375,2026-05-30T20:05:00Z,656605,Mitch Keller,Minnesota Twins,True,0.179,0.175,0.1,0.231,team,1.0,0.182,23.6,4.08,4.29,4.29,,[],4.5,100,betmgm,205,betrivers,5,0.428,0.51,-0.082,-0.143,0.744,0.488,-0.023,,
2026-05-30,824352,2026-05-31T01:10:00Z,663372,Ryan Feltner,San Francisco Giants,True,0.193,0.193,0.129,0.21,team,0.92,0.166,17.6,4.44,3.17,2.92,,[],3.5,104,fanduel,-128,fanduel,3,0.334,0.465,-0.131,-0.318,0.186,0.459,-0.006,,
2026-05-30,824833,2026-05-30T20:05:00Z,687064,Brandon Young,Toronto Blue Jays,True,0.16,0.16,0.106,0.192,team,1.0,0.137,23.4,3.68,3.21,3.21,,[],3.5,163,betrivers,110,betmgm,6,0.399,0.541,-0.143,0.049,0.263,0.479,-0.062,,
2026-05-30,824513,2026-05-30T23:15:00Z,663903,Brady Singer,Atlanta Braves,True,0.157,0.17,0.101,0.209,team,1.0,0.151,21.4,3.73,3.23,3.23,,[],4.5,126,fanduel,-154,fanduel,4,0.225,0.423,-0.198,-0.491,0.278,0.421,-0.002,,
2026-05-30,824431,2026-05-30T20:10:00Z,543243,Sonny Gray,Cleveland Guardians,False,0.187,0.245,0.094,0.199,team,1.0,0.185,19.7,4.83,3.64,3.64,,[],4.5,115,betmgm,120,bovada,5,0.302,0.563,-0.262,-0.351,0.536,0.449,-0.114,,
2026-05-30,825000,2026-05-31T02:05:00Z,669372,J.T. Ginn,New York Yankees,True,0.221,0.248,0.11,0.229,team,1.0,0.236,23.8,5.33,5.63,5.63,,[],,,,,,0,,,,,,,,,
