date,section,rank,leg_count,leg1_pitcher,leg1_pitcher_id,leg1_dir,leg1_line,leg1_odds,leg1_p_hit,leg1_novig_p,leg2_pitcher,leg2_pitcher_id,leg2_dir,leg2_line,leg2_odds,leg2_p_hit,leg2_novig_p,leg3_pitcher,leg3_pitcher_id,leg3_dir,leg3_line,leg3_odds,leg3_p_hit,leg3_novig_p,combined_amer,combined_dec,combined_hit,combined_novig,combined_edge,ev,ud_payout,ev_ud,ev_ud_boost,overlaps_top_2leg
2026-06-10,two_leg,1,2,Jake Bennett,687562,under,3.5,120.0,0.676,0.605,Robbie Ray,592662,under,5.5,-147.0,0.646,0.575,,,,,,,,270,3.696599,0.436696,0.347875,0.088821,0.61429,3.0,0.310088,0.703114,
2026-06-10,two_leg,2,2,Jack Perkins,678022,over,4.5,104.0,0.649,0.469,Ryan Gusto,687473,under,3.5,123.0,0.589,0.419,,,,,,,,355,4.5492,0.382261,0.196511,0.18575,0.738982,3.0,0.146783,0.490818,
2026-06-10,two_leg,3,2,Jesús Luzardo,666200,under,5.5,100.0,0.567,0.49,Brandon Sproat,687075,over,4.5,114.0,0.527,0.456,,,,,,,,328,4.28,0.298809,0.22344,0.075369,0.278903,3.0,-0.103573,0.165355,
2026-06-10,three_leg,1,3,Jake Bennett,687562,under,3.5,120.0,0.676,0.605,Robbie Ray,592662,under,5.5,-147.0,0.646,0.575,Parker Messick,800048,over,5.5,115.0,0.546,0.461,695,7.947687,0.238436,0.16037,0.078066,0.895015,6.0,0.430616,0.859801,Jake Bennett
2026-06-10,three_leg,2,3,Jack Perkins,678022,over,4.5,104.0,0.649,0.469,Ryan Gusto,687473,under,3.5,123.0,0.589,0.419,Jesús Luzardo,666200,under,5.5,100.0,0.567,0.49,810,9.0984,0.216742,0.09629,0.120452,0.972005,6.0,0.300452,0.690587,
