date,section,rank,leg_count,leg1_pitcher,leg1_pitcher_id,leg1_dir,leg1_line,leg1_odds,leg1_p_hit,leg1_novig_p,leg2_pitcher,leg2_pitcher_id,leg2_dir,leg2_line,leg2_odds,leg2_p_hit,leg2_novig_p,leg3_pitcher,leg3_pitcher_id,leg3_dir,leg3_line,leg3_odds,leg3_p_hit,leg3_novig_p,combined_amer,combined_dec,combined_hit,combined_novig,combined_edge,ev
2026-05-13,two_leg,1,2,Framber Valdez,664285,under,5.5,130.0,0.719,0.561,Jake Irvin,663623,over,4.5,160.0,0.632,0.52,,,,,,,,498,5.98,0.454408,0.29172,0.162688,1.71736
2026-05-13,two_leg,2,2,Matthew Liberatore,669461,under,4.5,-106.0,0.667,0.5,Max Meyer,676974,over,4.5,120.0,0.729,0.563,,,,,,,,328,4.275472,0.486243,0.2815,0.204743,1.078918
2026-05-13,two_leg,3,2,Jose Quintana,500779,under,3.5,102.0,0.634,0.498,Parker Messick,800048,over,6.5,105.0,0.587,0.48,,,,,,,,314,4.141,0.372158,0.23904,0.133118,0.541106
2026-05-13,two_leg,4,2,Shota Imanaga,684007,over,5.5,-110.0,0.622,0.5,Jacob Misiorowski,694819,over,7.5,-128.0,0.632,0.538,,,,,,,,240,3.400568,0.393104,0.269,0.124104,0.336777
2026-05-13,three_leg,1,3,Max Meyer,676974,over,4.5,120.0,0.729,0.563,Framber Valdez,664285,under,5.5,130.0,0.719,0.561,Jake Irvin,663623,over,4.5,160.0,0.632,0.52,1216,13.156,0.331263,0.164238,0.167025,3.358102
2026-05-13,three_leg,2,3,Matthew Liberatore,669461,under,4.5,-106.0,0.667,0.5,Jose Quintana,500779,under,3.5,102.0,0.634,0.498,Parker Messick,800048,over,6.5,105.0,0.587,0.48,705,8.047604,0.248229,0.11952,0.128709,0.997652
