date,game_pk,pitcher_id,pitcher,opp,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under
2026-04-30,823471,641835,Tim Mayza,San Francisco Giants,0.24,0.222,0.099,0.212,lineup,1.0,0.207,48.6,5.36,11.03,10.05,,,,,,0,,,,,
2026-04-30,824848,663567,Peter Lambert,Baltimore Orioles,0.288,0.288,0.21,0.241,lineup,1.0,0.354,22.0,6.62,6.8,7.79,,,,,,0,,,,,
2026-04-30,823472,650911,Cristopher Sánchez,San Francisco Giants,0.278,0.244,0.158,0.221,lineup,1.0,0.274,26.2,6.08,6.76,7.19,,,,,,0,,,,,
2026-04-30,823634,642547,Freddy Peralta,Washington Nationals,0.256,0.23,0.143,0.211,lineup,1.02,0.246,23.8,5.65,5.75,5.85,,,,,,0,,,,,
2026-04-30,823391,694973,Paul Skenes,St. Louis Cardinals,0.293,0.317,0.121,0.224,lineup,1.0,0.278,19.7,6.97,5.82,5.49,,,,,,0,,,,,
2026-04-30,823714,592332,Kevin Gausman,Minnesota Twins,0.248,0.157,0.156,0.208,lineup,1.01,0.228,23.5,4.87,5.01,5.36,,,,,,0,,,,,
2026-04-30,823795,647336,Michael Soroka,Milwaukee Brewers,0.265,0.224,0.115,0.215,lineup,1.0,0.23,22.9,5.72,5.27,5.26,,,,,,0,,,,,
2026-04-30,824850,621121,Lance McCullers Jr.,Baltimore Orioles,0.248,0.22,0.103,0.239,lineup,1.0,0.239,22.0,5.45,5.6,5.25,,,,,,0,,,,,
2026-04-30,824929,693821,Bryce Elder,Detroit Tigers,0.209,0.184,0.099,0.235,lineup,1.0,0.206,24.7,4.58,4.73,5.09,,,,,,0,,,,,
2026-04-30,823634,571945,Miles Mikolas,New York Mets,0.15,0.169,0.087,0.244,lineup,1.02,0.179,27.4,3.62,4.05,4.9,,,,,,0,,,,,
2026-04-30,823472,657277,Logan Webb,Philadelphia Phillies,0.202,0.19,0.094,0.21,lineup,1.0,0.18,27.1,4.54,5.02,4.87,,,,,,0,,,,,
2026-04-30,825016,702070,Noah Cameron,Athletics,0.194,0.185,0.109,0.214,lineup,1.0,0.189,24.3,4.39,4.73,4.61,,,,,,0,,,,,
2026-04-30,825016,605488,Jeffrey Springs,Kansas City Royals,0.222,0.226,0.112,0.195,lineup,1.0,0.192,22.7,5.14,4.98,4.37,,,,,,0,,,,,
2026-04-30,824929,664285,Framber Valdez,Atlanta Braves,0.185,0.177,0.088,0.214,lineup,1.0,0.169,24.7,4.18,3.95,4.19,,,,,,0,,,,,
2026-04-30,823391,690928,Hunter Dobbins,Pittsburgh Pirates,0.211,0.211,0.0,0.233,lineup,1.0,0.218,19.0,4.84,4.32,4.14,,,,,,0,,,,,
2026-04-30,824524,671096,Andrew Abbott,Colorado Rockies,0.152,0.136,0.097,0.253,lineup,1.0,0.181,22.3,3.35,3.63,4.04,,,,,,0,,,,,
2026-04-30,823795,605540,Brandon Woodruff,Arizona Diamondbacks,0.207,0.186,0.117,0.211,lineup,1.0,0.196,20.3,4.56,3.9,3.97,,,,,,0,,,,,
2026-04-30,824524,547179,Michael Lorenzen,Cincinnati Reds,0.146,0.157,0.094,0.225,lineup,1.0,0.162,23.3,3.46,3.8,3.77,,,,,,0,,,,,
2026-04-30,823714,641927,Bailey Ober,Toronto Blue Jays,0.185,0.197,0.095,0.174,lineup,1.01,0.147,23.2,4.36,3.58,3.41,,,,,,0,,,,,
2026-04-30,824850,687064,Brandon Young,Houston Astros,0.132,0.132,0.101,0.209,lineup,1.0,0.144,22.7,3.04,2.63,3.26,,,,,,0,,,,,
2026-04-30,823471,605288,Adrian Houser,Philadelphia Phillies,0.112,0.102,0.096,0.188,lineup,1.0,0.114,23.7,2.48,2.41,2.7,,,,,,0,,,,,
2026-04-30,824848,605135,Chris Bassitt,Houston Astros,0.126,0.127,0.089,0.18,lineup,1.0,0.114,22.3,2.91,2.47,2.55,,,,,,0,,,,,
