date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,slate_line,slate_over_odds,slate_under_odds,slate_p_over,slate_novig_over,slate_edge,slate_cal_p_over_v2,slate_cal_edge_v2,slate_cal_p_over_ml,slate_cal_edge_ml,slate_over_hit,slate_over_pnl,slate_under_pnl,actual_ks,actual_bf,gs,error_v0,error_v1,error_v2,error_ml,over_hit,over_pnl,under_pnl
2026-06-07,824349,2026-06-07T19:10:00Z,675660,Shane Drohan,Colorado Rockies,False,0.24,0.196,0.141,0.257,lineup,0.92,0.234,28.0,5.12,6.61,6.55,,"[{""id"": 650489, ""name"": ""Willi Castro"", ""slot"": 1}, {""id"": 678662, ""name"": ""Ezequiel Tovar"", ""slot"": 2}, {""id"": 681198, ""name"": ""TJ Rumfield"", ""slot"": 3}, {""id"": 696100, ""name"": ""Hunter Goodman"", ""slot"": 4}, {""id"": 691720, ""name"": ""Kyle Karros"", ""slot"": 5}, {""id"": 664983, ""name"": ""Jake McCarthy"", ""slot"": 6}, {""id"": 690924, ""name"": ""Braxton Fulford"", ""slot"": 7}, {""id"": 677060, ""name"": ""Chad Stevens"", ""slot"": 8}, {""id"": 687859, ""name"": ""Troy Johnston"", ""slot"": 9}]",3.5,-150,betmgm,120,bovada,4,0.892,0.567,0.325,0.486,-0.762,0.665,0.098,,,3.5,-150,120,0.924,0.567,0.357,0.692,0.125,,,1,0.667,-1.0,4,24,1,-1.12,-2.61,-2.55,,1,0.667,-1.0
2026-06-07,824268,2026-06-07T17:40:00Z,622491,Luis Castillo,Detroit Tigers,False,0.225,0.264,0.134,0.221,lineup,1.0,0.236,23.3,5.54,5.64,5.5,,"[{""id"": 681481, ""name"": ""Kerry Carpenter"", ""slot"": 1}, {""id"": 805808, ""name"": ""Kevin McGonigle"", ""slot"": 2}, {""id"": 650402, ""name"": ""Gleyber Torres"", ""slot"": 3}, {""id"": 682985, ""name"": ""Riley Greene"", ""slot"": 4}, {""id"": 693307, ""name"": ""Dillon Dingler"", ""slot"": 5}, {""id"": 690993, ""name"": ""Colt Keith"", ""slot"": 6}, {""id"": 679529, ""name"": ""Spencer Torkelson"", ""slot"": 7}, {""id"": 656716, ""name"": ""Zach McKinstry"", ""slot"": 8}, {""id"": 672761, ""name"": ""Wenceel Pérez"", ""slot"": 9}]",4.5,105,fanatics,-125,betmgm,5,0.642,0.469,0.173,0.316,-0.355,0.548,0.079,,,4.5,105,-125,0.62,0.469,0.151,0.541,0.072,,,1,1.05,-1.0,5,21,1,-0.54,-0.64,-0.5,,1,1.05,-1.0
2026-06-07,823696,2026-06-07T18:10:00Z,702070,Noah Cameron,Minnesota Twins,False,0.229,0.279,0.116,0.232,lineup,1.01,0.259,22.6,5.73,5.72,5.87,,"[{""id"": 668885, ""name"": ""Austin Martin"", ""slot"": 1}, {""id"": 686797, ""name"": ""Brooks Lee"", ""slot"": 2}, {""id"": 606115, ""name"": ""Orlando Arcia"", ""slot"": 3}, {""id"": 665019, ""name"": ""Kody Clemens"", ""slot"": 4}, {""id"": 605137, ""name"": ""Josh Bell"", ""slot"": 5}, {""id"": 668904, ""name"": ""Royce Lewis"", ""slot"": 6}, {""id"": 668952, ""name"": ""Ryan Kreidler"", ""slot"": 7}, {""id"": 807712, ""name"": ""Luke Keaschall"", ""slot"": 8}, {""id"": 656577, ""name"": ""Alex Jackson"", ""slot"": 9}]",4.5,-130,betmgm,120,bovada,5,0.697,0.545,0.152,0.233,-0.333,0.568,0.023,,,4.5,-130,120,0.659,0.545,0.114,0.554,0.009,,,1,0.769,-1.0,7,23,1,1.27,1.28,1.13,,1,0.769,-1.0
2026-06-07,823696,2026-06-07T18:10:00Z,687570,Connor Prielipp,Kansas City Royals,True,0.257,0.25,0.107,0.234,lineup,1.01,0.267,21.7,5.84,5.27,5.79,,"[{""id"": 657041, ""name"": ""Lane Thomas"", ""slot"": 1}, {""id"": 677951, ""name"": ""Bobby Witt Jr."", ""slot"": 2}, {""id"": 672580, ""name"": ""Maikel Garcia"", ""slot"": 3}, {""id"": 516782, ""name"": ""Starling Marte"", ""slot"": 4}, {""id"": 686469, ""name"": ""Vinnie Pasquantino"", ""slot"": 5}, {""id"": 679845, ""name"": ""Nick Loftin"", ""slot"": 6}, {""id"": 686555, ""name"": ""Isaac Collins"", ""slot"": 7}, {""id"": 695600, ""name"": ""Carter Jensen"", ""slot"": 8}, {""id"": 686475, ""name"": ""Tyler Tolbert"", ""slot"": 9}]",4.5,-135,betmgm,122,fanduel,4,0.686,0.557,0.129,0.194,-0.302,0.564,0.007,,,4.5,-135,122,0.588,0.557,0.031,0.53,-0.027,,,1,0.741,-1.0,7,18,1,1.16,1.73,1.21,,1,0.741,-1.0
2026-06-07,823537,2026-06-07T17:35:00Z,624133,Ranger Suarez,New York Yankees,False,0.24,0.27,0.101,0.236,lineup,1.0,0.264,22.4,5.79,5.75,5.89,,"[{""id"": 502671, ""name"": ""Paul Goldschmidt"", ""slot"": 1}, {""id"": 700250, ""name"": ""Ben Rice"", ""slot"": 2}, {""id"": 641355, ""name"": ""Cody Bellinger"", ""slot"": 3}, {""id"": 642708, ""name"": ""Amed Rosario"", ""slot"": 4}, {""id"": 663757, ""name"": ""Trent Grisham"", ""slot"": 5}, {""id"": 683011, ""name"": ""Anthony Volpe"", ""slot"": 6}, {""id"": 665862, ""name"": ""Jazz Chisholm Jr."", ""slot"": 7}, {""id"": 676609, ""name"": ""José Caballero"", ""slot"": 8}, {""id"": 645305, ""name"": ""Ali Sánchez"", ""slot"": 9}]",5.5,122,fanduel,115,betmgm,5,0.537,0.425,0.112,0.191,-0.004,0.513,0.088,,,5.5,122,115,0.357,0.425,-0.068,0.454,0.029,,,1,1.22,-1.0,6,25,1,0.21,0.25,0.11,,1,1.22,-1.0
2026-06-07,824268,2026-06-07T17:40:00Z,656427,Jack Flaherty,Seattle Mariners,True,0.263,0.297,0.113,0.243,lineup,1.0,0.299,21.4,6.36,6.1,6.4,,"[{""id"": 702284, ""name"": ""Cole Young"", ""slot"": 1}, {""id"": 677594, ""name"": ""Julio Rodríguez"", ""slot"": 2}, {""id"": 647304, ""name"": ""Josh Naylor"", ""slot"": 3}, {""id"": 668227, ""name"": ""Randy Arozarena"", ""slot"": 4}, {""id"": 670042, ""name"": ""Luke Raley"", ""slot"": 5}, {""id"": 686527, ""name"": ""Dominic Canzone"", ""slot"": 6}, {""id"": 621550, ""name"": ""Patrick Wisdom"", ""slot"": 7}, {""id"": 806068, ""name"": ""Colt Emerson"", ""slot"": 8}, {""id"": 640902, ""name"": ""Jhonny Pereda"", ""slot"": 9}]",5.5,-135,betmgm,116,fanduel,4,0.617,0.552,0.065,0.074,-0.173,0.54,-0.012,,,5.5,-135,116,0.535,0.552,-0.017,0.513,-0.039,,,1,0.741,-1.0,7,22,1,0.64,0.9,0.6,,1,0.741,-1.0
2026-06-07,823941,2026-06-07T20:10:00Z,667755,José Soriano,Los Angeles Dodgers,False,0.255,0.206,0.159,0.206,lineup,1.02,0.22,24.7,5.42,5.2,5.43,,"[{""id"": 660271, ""name"": ""Shohei Ohtani"", ""slot"": 1}, {""id"": 518692, ""name"": ""Freddie Freeman"", ""slot"": 2}, {""id"": 663656, ""name"": ""Kyle Tucker"", ""slot"": 3}, {""id"": 571970, ""name"": ""Max Muncy"", ""slot"": 4}, {""id"": 669743, ""name"": ""Alex Call"", ""slot"": 5}, {""id"": 687221, ""name"": ""Dalton Rushing"", ""slot"": 6}, {""id"": 669899, ""name"": ""Ryan Ward"", ""slot"": 7}, {""id"": 500743, ""name"": ""Miguel Rojas"", ""slot"": 8}, {""id"": 690976, ""name"": ""Alex Freeland"", ""slot"": 9}]",5.5,120,fanduel,122,draftkings,4,0.46,0.44,0.02,0.011,0.199,0.488,0.048,,,5.5,120,122,0.533,0.44,0.093,0.512,0.072,,,0,-1.0,1.22,2,27,1,-3.42,-3.2,-3.43,,0,-1.0,1.22
2026-06-07,822807,2026-06-07T17:37:00Z,592332,Kevin Gausman,Baltimore Orioles,True,0.243,0.267,0.138,0.239,lineup,1.01,0.271,23.2,5.81,6.17,6.29,,"[{""id"": 621493, ""name"": ""Taylor Ward"", ""slot"": 1}, {""id"": 683002, ""name"": ""Gunnar Henderson"", ""slot"": 2}, {""id"": 668939, ""name"": ""Adley Rutschman"", ""slot"": 3}, {""id"": 624413, ""name"": ""Pete Alonso"", ""slot"": 4}, {""id"": 694212, ""name"": ""Samuel Basallo"", ""slot"": 5}, {""id"": 681297, ""name"": ""Colton Cowser"", ""slot"": 6}, {""id"": 641933, ""name"": ""Tyler O'Neill"", ""slot"": 7}, {""id"": 702616, ""name"": ""Jackson Holliday"", ""slot"": 8}, {""id"": 677942, ""name"": ""Blaze Alexander"", ""slot"": 9}]",6.5,120,fanduel,-136,draftkings,5,0.441,0.437,0.004,-0.03,-0.029,0.482,0.045,,,6.5,120,-136,0.444,0.437,0.007,0.483,0.046,,,0,-1.0,0.735,5,20,1,-0.81,-1.17,-1.29,,0,-1.0,0.735
2026-06-07,823857,2026-06-07T17:40:00Z,645261,Sandy Alcantara,Tampa Bay Rays,True,0.171,0.189,0.106,0.218,lineup,1.0,0.173,26.6,4.1,4.03,4.59,,"[{""id"": 650490, ""name"": ""Yandy Díaz"", ""slot"": 1}, {""id"": 666018, ""name"": ""Jonathan Aranda"", ""slot"": 2}, {""id"": 680700, ""name"": ""Richie Palacios"", ""slot"": 3}, {""id"": 691406, ""name"": ""Junior Caminero"", ""slot"": 4}, {""id"": 656775, ""name"": ""Cedric Mullins"", ""slot"": 5}, {""id"": 683748, ""name"": ""Victor Mesa Jr."", ""slot"": 6}, {""id"": 668723, ""name"": ""Ryan Vilade"", ""slot"": 7}, {""id"": 676439, ""name"": ""Hunter Feduccia"", ""slot"": 8}, {""id"": 670764, ""name"": ""Taylor Walls"", ""slot"": 9}]",4.5,-105,fanduel,-112,draftkings,5,0.485,0.49,-0.005,-0.054,-0.025,0.496,0.006,,,4.5,-105,-112,0.387,0.49,-0.103,0.464,-0.026,,,1,0.952,-1.0,7,25,1,2.9,2.97,2.41,,1,0.952,-1.0
2026-06-07,823857,2026-06-07T17:40:00Z,643377,Griffin Jax,Miami Marlins,False,0.22,0.224,0.145,0.221,lineup,1.0,0.217,19.1,5.09,4.19,4.15,,"[{""id"": 689414, ""name"": ""Liam Hicks"", ""slot"": 1}, {""id"": 672640, ""name"": ""Otto Lopez"", ""slot"": 2}, {""id"": 669065, ""name"": ""Kyle Stowers"", ""slot"": 3}, {""id"": 669364, ""name"": ""Xavier Edwards"", ""slot"": 4}, {""id"": 681715, ""name"": ""Heriberto Hernández"", ""slot"": 5}, {""id"": 683357, ""name"": ""Owen Caissie"", ""slot"": 6}, {""id"": 805300, ""name"": ""Jakob Marsee"", ""slot"": 7}, {""id"": 691788, ""name"": ""Joe Mack"", ""slot"": 8}, {""id"": 691594, ""name"": ""Javier Sanoja"", ""slot"": 9}]",4.5,120,bovada,135,betmgm,4,0.4,0.433,-0.033,-0.119,0.409,0.469,0.036,,,4.5,120,135,0.386,0.433,-0.047,0.464,0.031,,,0,-1.0,1.35,4,17,1,-1.09,-0.19,-0.15,,0,-1.0,1.35
