date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_v2bc,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,cal_p_over_v2bc,cal_edge_v2bc
2026-06-17,822721,2026-06-17T17:05:00Z,641793,Zack Littell,Kansas City Royals,True,0.131,0.144,0.077,0.212,lineup,1.0,0.128,24.8,3.14,3.18,3.18,2.88,,"[{""id"": 695600, ""name"": ""Carter Jensen"", ""slot"": 1}, {""id"": 677951, ""name"": ""Bobby Witt Jr."", ""slot"": 2}, {""id"": 695506, ""name"": ""Jac Caglianone"", ""slot"": 3}, {""id"": 657041, ""name"": ""Lane Thomas"", ""slot"": 4}, {""id"": 686681, ""name"": ""Michael Massey"", ""slot"": 5}, {""id"": 521692, ""name"": ""Salvador Perez"", ""slot"": 6}, {""id"": 670231, ""name"": ""John Rave"", ""slot"": 7}, {""id"": 679845, ""name"": ""Nick Loftin"", ""slot"": 8}, {""id"": 686555, ""name"": ""Isaac Collins"", ""slot"": 9}]",1.5,110,draftkings,-125,fanatics,2,0.827,0.463,0.364,0.736,-0.688,0.649,0.186,,,0.769,0.306
2026-06-17,824992,2026-06-18T01:40:00Z,677952,Braxton Ashcraft,Athletics,False,0.262,0.272,0.142,0.221,team,1.0,0.262,24.7,6.11,6.47,6.47,6.17,,[],5.5,100,fanatics,-120,draftkings,6,0.627,0.479,0.148,0.254,-0.316,0.555,0.076,,,0.631,0.152
2026-06-17,823044,2026-06-17T18:15:00Z,681517,Kyle Leahy,San Diego Padres,True,0.187,0.227,0.099,0.226,lineup,1.0,0.204,22.3,4.68,4.66,4.56,4.26,,"[{""id"": 665487, ""name"": ""Fernando Tatis Jr."", ""slot"": 1}, {""id"": 669392, ""name"": ""Samad Taylor"", ""slot"": 2}, {""id"": 701538, ""name"": ""Jackson Merrill"", ""slot"": 3}, {""id"": 592518, ""name"": ""Manny Machado"", ""slot"": 4}, {""id"": 657757, ""name"": ""Gavin Sheets"", ""slot"": 5}, {""id"": 593428, ""name"": ""Xander Bogaerts"", ""slot"": 6}, {""id"": 664034, ""name"": ""Ty France"", ""slot"": 7}, {""id"": 695238, ""name"": ""Will Wagner"", ""slot"": 8}, {""id"": 660710, ""name"": ""Rodolfo Durán"", ""slot"": 9}]",3.5,-134,fanduel,125,draftkings,6,0.667,0.545,0.122,0.165,-0.251,0.571,0.026,,,0.654,0.109
2026-06-17,824913,2026-06-17T23:15:00Z,702275,JR Ritchie,San Francisco Giants,True,0.197,0.184,0.098,0.204,team,1.0,0.174,25.0,4.41,4.35,4.35,4.05,,[],3.5,-132,fanduel,113,draftkings,5,0.631,0.542,0.089,0.11,-0.215,0.557,0.015,,,0.628,0.086
2026-06-17,824668,2026-06-18T00:05:00Z,665871,Javier Assad,Colorado Rockies,True,0.16,0.163,0.064,0.232,lineup,1.0,0.166,28.0,3.71,4.72,4.65,4.35,,"[{""id"": 664983, ""name"": ""Jake McCarthy"", ""slot"": 1}, {""id"": 671289, ""name"": ""Tyler Freeman"", ""slot"": 2}, {""id"": 681198, ""name"": ""TJ Rumfield"", ""slot"": 3}, {""id"": 696100, ""name"": ""Hunter Goodman"", ""slot"": 4}, {""id"": 694249, ""name"": ""Cole Carrigg"", ""slot"": 5}, {""id"": 666397, ""name"": ""Edouard Julien"", ""slot"": 6}, {""id"": 678662, ""name"": ""Ezequiel Tovar"", ""slot"": 7}, {""id"": 694514, ""name"": ""Sterlin Thompson"", ""slot"": 8}, {""id"": 691720, ""name"": ""Kyle Karros"", ""slot"": 9}]",4.5,130,fanduel,-155,betmgm,5,0.497,0.417,0.08,0.142,-0.172,0.505,0.088,,,0.534,0.117
2026-06-17,824178,2026-06-17T18:10:00Z,663567,Peter Lambert,Detroit Tigers,True,0.222,0.197,0.122,0.247,lineup,1.0,0.233,23.6,4.88,5.13,5.49,5.19,,"[{""id"": 805808, ""name"": ""Kevin McGonigle"", ""slot"": 1}, {""id"": 693307, ""name"": ""Dillon Dingler"", ""slot"": 2}, {""id"": 682985, ""name"": ""Riley Greene"", ""slot"": 3}, {""id"": 679529, ""name"": ""Spencer Torkelson"", ""slot"": 4}, {""id"": 681481, ""name"": ""Kerry Carpenter"", ""slot"": 5}, {""id"": 690993, ""name"": ""Colt Keith"", ""slot"": 6}, {""id"": 663837, ""name"": ""Matt Vierling"", ""slot"": 7}, {""id"": 701678, ""name"": ""Hao-Yu  Lee"", ""slot"": 8}, {""id"": 668670, ""name"": ""Jake Rogers"", ""slot"": 9}]",5.5,125,betrivers,-150,fanduel,5,0.47,0.425,0.045,0.057,-0.116,0.494,0.069,,,0.519,0.094
2026-06-17,823450,2026-06-17T17:05:00Z,645261,Sandy Alcantara,Philadelphia Phillies,False,0.178,0.207,0.108,0.213,lineup,1.0,0.18,27.4,4.37,5.37,4.92,4.62,,"[{""id"": 607208, ""name"": ""Trea Turner"", ""slot"": 1}, {""id"": 656941, ""name"": ""Kyle Schwarber"", ""slot"": 2}, {""id"": 547180, ""name"": ""Bryce Harper"", ""slot"": 3}, {""id"": 669016, ""name"": ""Brandon Marsh"", ""slot"": 4}, {""id"": 664761, ""name"": ""Alec Bohm"", ""slot"": 5}, {""id"": 681082, ""name"": ""Bryson Stott"", ""slot"": 6}, {""id"": 687282, ""name"": ""Gabriel Rincones Jr."", ""slot"": 7}, {""id"": 702222, ""name"": ""Justin Crawford"", ""slot"": 8}, {""id"": 596117, ""name"": ""Garrett Stubbs"", ""slot"": 9}]",4.5,-118,fanduel,-103,draftkings,5,0.545,0.51,0.035,0.008,-0.104,0.523,0.013,,,0.57,0.06
2026-06-17,823536,2026-06-17T23:05:00Z,641743,Anthony Kay,New York Yankees,False,0.176,0.216,0.099,0.228,lineup,1.0,0.195,23.9,4.42,4.66,4.67,4.37,,"[{""id"": 502671, ""name"": ""Paul Goldschmidt"", ""slot"": 1}, {""id"": 700250, ""name"": ""Ben Rice"", ""slot"": 2}, {""id"": 642708, ""name"": ""Amed Rosario"", ""slot"": 3}, {""id"": 641355, ""name"": ""Cody Bellinger"", ""slot"": 4}, {""id"": 691176, ""name"": ""Jasson Domínguez"", ""slot"": 5}, {""id"": 665862, ""name"": ""Jazz Chisholm Jr."", ""slot"": 6}, {""id"": 676609, ""name"": ""José Caballero"", ""slot"": 7}, {""id"": 683011, ""name"": ""Anthony Volpe"", ""slot"": 8}, {""id"": 645305, ""name"": ""Ali Sánchez"", ""slot"": 9}]",4.5,-105,betmgm,-107,draftkings,5,0.5,0.492,0.008,-0.024,-0.032,0.506,0.014,,,0.537,0.045
2026-06-17,824503,2026-06-17T16:40:00Z,690997,Nolan McLean,Cincinnati Reds,False,0.282,0.255,0.105,0.229,lineup,1.0,0.276,22.6,6.23,6.64,6.22,5.92,,"[{""id"": 695490, ""name"": ""Edwin Arroyo"", ""slot"": 1}, {""id"": 668709, ""name"": ""JJ Bleday"", ""slot"": 2}, {""id"": 701398, ""name"": ""Sal Stewart"", ""slot"": 3}, {""id"": 663993, ""name"": ""Nathaniel Lowe"", ""slot"": 4}, {""id"": 553993, ""name"": ""Eugenio Suárez"", ""slot"": 5}, {""id"": 668715, ""name"": ""Spencer Steer"", ""slot"": 6}, {""id"": 682622, ""name"": ""Noelvi Marte"", ""slot"": 7}, {""id"": 624431, ""name"": ""Jose Trevino"", ""slot"": 8}, {""id"": 680574, ""name"": ""Matt McLain"", ""slot"": 9}]",6.5,122,draftkings,123,betrivers,6,0.429,0.425,0.004,-0.047,0.273,0.479,0.054,,,0.492,0.067
2026-06-17,823450,2026-06-17T17:05:00Z,691725,Andrew Painter,Miami Marlins,True,0.177,0.155,0.107,0.223,lineup,1.0,0.167,23.2,3.88,3.86,3.87,3.57,,"[{""id"": 689414, ""name"": ""Liam Hicks"", ""slot"": 1}, {""id"": 672640, ""name"": ""Otto Lopez"", ""slot"": 2}, {""id"": 669065, ""name"": ""Kyle Stowers"", ""slot"": 3}, {""id"": 669364, ""name"": ""Xavier Edwards"", ""slot"": 4}, {""id"": 691594, ""name"": ""Javier Sanoja"", ""slot"": 5}, {""id"": 683357, ""name"": ""Owen Caissie"", ""slot"": 6}, {""id"": 805300, ""name"": ""Jakob Marsee"", ""slot"": 7}, {""id"": 691788, ""name"": ""Joe Mack"", ""slot"": 8}, {""id"": 665923, ""name"": ""Esteury Ruiz"", ""slot"": 9}]",3.5,-134,fanduel,110,fanduel,6,0.541,0.545,-0.004,-0.055,-0.036,0.521,-0.024,,,0.562,0.017
2026-06-17,823536,2026-06-17T23:05:00Z,607074,Carlos Rodón,Chicago White Sox,True,0.264,0.278,0.13,0.227,lineup,1.0,0.272,21.5,6.19,6.16,5.86,5.55,,"[{""id"": 805367, ""name"": ""Chase Meidroth"", ""slot"": 1}, {""id"": 545341, ""name"": ""Randal Grichuk"", ""slot"": 2}, {""id"": 678246, ""name"": ""Miguel Vargas"", ""slot"": 3}, {""id"": 695657, ""name"": ""Colson Montgomery"", ""slot"": 4}, {""id"": 677592, ""name"": ""Everson Pereira"", ""slot"": 5}, {""id"": 700337, ""name"": ""Edgar Quero"", ""slot"": 6}, {""id"": 695731, ""name"": ""Braden Montgomery"", ""slot"": 7}, {""id"": 682668, ""name"": ""Luisangel Acuña"", ""slot"": 8}, {""id"": 803011, ""name"": ""Sam Antonacci"", ""slot"": 9}]",5.5,145,betmgm,114,draftkings,6,0.531,0.541,-0.01,0.3,0.004,0.518,-0.023,,,0.562,0.021
2026-06-17,824992,2026-06-18T01:40:00Z,650644,Aaron Civale,Pittsburgh Pirates,True,0.159,0.132,0.085,0.236,team,1.0,0.155,22.5,3.4,3.5,3.5,3.19,,[],3.5,100,fanduel,-109,betrivers,5,0.462,0.48,-0.018,-0.075,0.031,0.492,0.012,,,0.503,0.023
2026-06-17,824178,2026-06-17T18:10:00Z,663554,Casey Mize,Houston Astros,False,0.252,0.225,0.136,0.2,lineup,1.0,0.214,19.5,5.55,4.52,4.18,3.87,,"[{""id"": 665161, ""name"": ""Jeremy Peña"", ""slot"": 1}, {""id"": 670541, ""name"": ""Yordan Alvarez"", ""slot"": 2}, {""id"": 572233, ""name"": ""Christian Walker"", ""slot"": 3}, {""id"": 670623, ""name"": ""Isaac Paredes"", ""slot"": 4}, {""id"": 514888, ""name"": ""Jose Altuve"", ""slot"": 5}, {""id"": 701358, ""name"": ""Cam Smith"", ""slot"": 6}, {""id"": 694388, ""name"": ""Joey Loperfido"", ""slot"": 7}, {""id"": 676694, ""name"": ""Jake Meyers"", ""slot"": 8}, {""id"": 543877, ""name"": ""Christian Vázquez"", ""slot"": 9}]",4.5,115,fanatics,-137,betrivers,6,0.406,0.444,-0.038,-0.128,0.028,0.47,0.026,,,0.465,0.021
2026-06-17,823774,2026-06-17T23:40:00Z,668909,Gavin Williams,Milwaukee Brewers,False,0.287,0.275,0.148,0.206,team,1.0,0.258,24.4,6.49,6.29,6.29,5.99,,[],6.5,100,betrivers,-110,betmgm,6,0.44,0.497,-0.057,-0.119,0.068,0.483,-0.014,,,0.5,0.003
2026-06-17,823774,2026-06-17T23:40:00Z,687075,Brandon Sproat,Cleveland Guardians,True,0.218,0.196,0.105,0.208,team,1.0,0.194,22.8,4.82,4.42,4.42,4.12,,[],4.5,-108,betrivers,104,draftkings,5,0.453,0.515,-0.062,-0.128,0.117,0.488,-0.027,,,0.502,-0.013
2026-06-17,823127,2026-06-18T01:40:00Z,669923,George Kirby,Baltimore Orioles,True,0.211,0.228,0.109,0.237,team,1.03,0.236,24.8,5.01,5.69,5.86,5.56,,[],6.5,118,fanduel,115,betmgm,5,0.371,0.437,-0.066,-0.19,0.351,0.456,0.019,,,0.448,0.011
2026-06-17,823940,2026-06-17T19:10:00Z,660271,Shohei Ohtani,Tampa Bay Rays,True,0.278,0.255,0.141,0.207,lineup,1.02,0.252,22.3,6.18,5.1,5.63,5.33,,"[{""id"": 650490, ""name"": ""Yandy Díaz"", ""slot"": 1}, {""id"": 666018, ""name"": ""Jonathan Aranda"", ""slot"": 2}, {""id"": 656775, ""name"": ""Cedric Mullins"", ""slot"": 3}, {""id"": 691406, ""name"": ""Junior Caminero"", ""slot"": 4}, {""id"": 680700, ""name"": ""Richie Palacios"", ""slot"": 5}, {""id"": 802415, ""name"": ""Chandler Simpson"", ""slot"": 6}, {""id"": 683748, ""name"": ""Victor Mesa Jr."", ""slot"": 7}, {""id"": 676439, ""name"": ""Hunter Feduccia"", ""slot"": 8}, {""id"": 670764, ""name"": ""Taylor Walls"", ""slot"": 9}]",6.5,120,betmgm,-138,draftkings,5,0.335,0.437,-0.102,-0.262,0.146,0.441,0.004,,,0.419,-0.018
2026-06-17,823127,2026-06-18T01:40:00Z,680694,Kyle Bradish,Seattle Mariners,False,0.226,0.179,0.112,0.223,team,1.03,0.212,23.2,4.77,4.77,4.91,4.61,,[],5.5,-104,draftkings,-106,betrivers,6,0.369,0.49,-0.121,-0.277,0.227,0.455,-0.035,,,0.442,-0.048
