date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_v2bc,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,cal_p_over_v2bc,cal_edge_v2bc,slate_line,slate_over_odds,slate_under_odds,slate_p_over,slate_novig_over,slate_edge,slate_cal_p_over_v2,slate_cal_edge_v2,slate_cal_p_over_ml,slate_cal_edge_ml,slate_over_hit,slate_over_pnl,slate_under_pnl,actual_ks,actual_bf,gs,error_v0,error_v1,error_v2,error_v2bc,error_ml,over_hit,over_pnl,under_pnl
2026-06-11,823619,2026-06-11T17:10:00Z,690928,Hunter Dobbins,New York Mets,False,0.26,0.231,0.11,0.234,lineup,1.02,0.263,28.0,5.71,6.82,7.37,7.09,,"[{""id"": 701807, ""name"": ""Carson Benge"", ""slot"": 1}, {""id"": 666182, ""name"": ""Bo Bichette"", ""slot"": 2}, {""id"": 665742, ""name"": ""Juan Soto"", ""slot"": 3}, {""id"": 676724, ""name"": ""Jared Young"", ""slot"": 4}, {""id"": 805999, ""name"": ""A.J. Ewing"", ""slot"": 5}, {""id"": 543760, ""name"": ""Marcus Semien"", ""slot"": 6}, {""id"": 683146, ""name"": ""Brett Baty"", ""slot"": 7}, {""id"": 682626, ""name"": ""Francisco Alvarez"", ""slot"": 8}, {""id"": 669004, ""name"": ""MJ Melendez"", ""slot"": 9}]",3.5,100,betrivers,-110,betmgm,6,0.935,0.48,0.455,0.871,-0.877,0.712,0.232,,,0.75,0.27,3.5,100,-110,0.928,0.48,0.448,0.703,0.223,,,1,1.0,-1.0,5,20,1,-0.71,-1.82,-2.37,-2.09,,1,1.0,-1.0
2026-06-11,823855,2026-06-11T17:10:00Z,663969,Tyler Phillips,Arizona Diamondbacks,True,0.198,0.2,0.125,0.213,lineup,1.0,0.188,28.0,4.57,5.07,5.28,4.99,,"[{""id"": 606466, ""name"": ""Ketel Marte"", ""slot"": 1}, {""id"": 682998, ""name"": ""Corbin Carroll"", ""slot"": 2}, {""id"": 672515, ""name"": ""Gabriel Moreno"", ""slot"": 3}, {""id"": 571448, ""name"": ""Nolan Arenado"", ""slot"": 4}, {""id"": 672695, ""name"": ""Geraldo Perdomo"", ""slot"": 5}, {""id"": 694410, ""name"": ""LuJames Groover"", ""slot"": 6}, {""id"": 694371, ""name"": ""Tommy Troy"", ""slot"": 7}, {""id"": 605244, ""name"": ""Aramis Garcia"", ""slot"": 8}, {""id"": 678489, ""name"": ""Jorge Barrosa"", ""slot"": 9}]",3.5,112,betrivers,-130,fanduel,5,0.771,0.455,0.316,0.636,-0.596,0.602,0.147,,,0.626,0.171,3.5,112,-130,0.671,0.455,0.216,0.561,0.106,,,1,1.12,-1.0,5,18,1,0.43,-0.07,-0.28,0.01,,1,1.12,-1.0
2026-06-11,824589,2026-06-11T23:40:00Z,527048,Martín Pérez,Chicago White Sox,False,0.209,0.224,0.097,0.239,team,1.0,0.228,23.6,4.95,5.37,5.37,5.09,,[],4.5,120,bovada,-150,betmgm,5,0.623,0.431,0.192,0.37,-0.371,0.543,0.112,,,0.559,0.128,,,,,,,,,,,,,,,,0,,,,,,,,
2026-06-11,824265,2026-06-11T17:10:00Z,805673,Zebby Matthews,Detroit Tigers,False,0.2,0.2,0.108,0.235,lineup,1.0,0.209,25.0,4.6,5.03,5.22,4.94,,"[{""id"": 805808, ""name"": ""Kevin McGonigle"", ""slot"": 1}, {""id"": 650402, ""name"": ""Gleyber Torres"", ""slot"": 2}, {""id"": 682985, ""name"": ""Riley Greene"", ""slot"": 3}, {""id"": 693307, ""name"": ""Dillon Dingler"", ""slot"": 4}, {""id"": 681481, ""name"": ""Kerry Carpenter"", ""slot"": 5}, {""id"": 690993, ""name"": ""Colt Keith"", ""slot"": 6}, {""id"": 679529, ""name"": ""Spencer Torkelson"", ""slot"": 7}, {""id"": 656716, ""name"": ""Zach McKinstry"", ""slot"": 8}, {""id"": 668670, ""name"": ""Jake Rogers"", ""slot"": 9}]",4.5,-130,betmgm,112,betrivers,5,0.598,0.532,0.066,0.057,-0.147,0.534,0.002,,,0.548,0.016,4.5,-130,112,0.646,0.532,0.114,0.552,0.02,,,0,-1.0,1.12,4,28,1,-0.6,-1.03,-1.22,-0.94,,0,-1.0,1.12
2026-06-11,824101,2026-06-11T18:10:00Z,677958,Kumar Rocker,Kansas City Royals,False,0.184,0.165,0.107,0.229,lineup,1.0,0.18,22.8,4.06,3.84,4.11,3.83,,"[{""id"": 695600, ""name"": ""Carter Jensen"", ""slot"": 1}, {""id"": 677951, ""name"": ""Bobby Witt Jr."", ""slot"": 2}, {""id"": 686469, ""name"": ""Vinnie Pasquantino"", ""slot"": 3}, {""id"": 695506, ""name"": ""Jac Caglianone"", ""slot"": 4}, {""id"": 657041, ""name"": ""Lane Thomas"", ""slot"": 5}, {""id"": 686681, ""name"": ""Michael Massey"", ""slot"": 6}, {""id"": 670224, ""name"": ""Kameron Misner"", ""slot"": 7}, {""id"": 679845, ""name"": ""Nick Loftin"", ""slot"": 8}, {""id"": 686555, ""name"": ""Isaac Collins"", ""slot"": 9}]",3.5,-131,draftkings,107,betrivers,6,0.587,0.541,0.046,0.036,-0.146,0.531,-0.01,,,0.542,0.001,3.5,-131,107,0.555,0.541,0.014,0.52,-0.021,,,0,-1.0,1.07,3,20,1,-1.06,-0.84,-1.11,-0.83,,0,-1.0,1.07
2026-06-11,823619,2026-06-11T17:10:00Z,681035,Christian Scott,St. Louis Cardinals,True,0.264,0.25,0.105,0.224,lineup,1.02,0.262,20.5,5.94,4.97,5.37,5.09,,"[{""id"": 802139, ""name"": ""JJ Wetherholt"", ""slot"": 1}, {""id"": 671056, ""name"": ""Iván Herrera"", ""slot"": 2}, {""id"": 676475, ""name"": ""Alec Burleson"", ""slot"": 3}, {""id"": 691023, ""name"": ""Jordan Walker"", ""slot"": 4}, {""id"": 663457, ""name"": ""Lars Nootbaar"", ""slot"": 5}, {""id"": 691026, ""name"": ""Masyn Winn"", ""slot"": 6}, {""id"": 699625, ""name"": ""Jimmy Crooks"", ""slot"": 7}, {""id"": 669357, ""name"": ""Nolan Gorman"", ""slot"": 8}, {""id"": 701675, ""name"": ""Nathan Church"", ""slot"": 9}]",5.5,136,fanduel,125,betrivers,5,0.449,0.408,0.041,0.061,0.239,0.484,0.076,,,0.489,0.081,5.5,136,125,0.443,0.408,0.035,0.482,0.074,,,1,1.36,-1.0,6,22,1,0.06,1.03,0.63,0.91,,1,1.36,-1.0
2026-06-11,824827,2026-06-11T23:05:00Z,693433,Bryan Woo,Baltimore Orioles,False,0.24,0.271,0.133,0.24,lineup,1.0,0.27,23.5,5.81,6.19,6.35,6.07,,"[{""id"": 621493, ""name"": ""Taylor Ward"", ""slot"": 1}, {""id"": 683002, ""name"": ""Gunnar Henderson"", ""slot"": 2}, {""id"": 668939, ""name"": ""Adley Rutschman"", ""slot"": 3}, {""id"": 624413, ""name"": ""Pete Alonso"", ""slot"": 4}, {""id"": 694212, ""name"": ""Samuel Basallo"", ""slot"": 5}, {""id"": 665750, ""name"": ""Leody Taveras"", ""slot"": 6}, {""id"": 681297, ""name"": ""Colton Cowser"", ""slot"": 7}, {""id"": 691723, ""name"": ""Coby Mayo"", ""slot"": 8}, {""id"": 702616, ""name"": ""Jackson Holliday"", ""slot"": 9}]",6.5,120,bovada,114,draftkings,5,0.449,0.433,0.016,-0.011,0.178,0.484,0.051,,,0.491,0.058,6.5,120,114,0.533,0.433,0.1,0.512,0.079,,,0,-1.0,1.14,4,23,1,-1.81,-2.19,-2.35,-2.07,,0,-1.0,1.14
2026-06-11,824101,2026-06-11T18:10:00Z,608379,Michael Wacha,Texas Rangers,True,0.194,0.167,0.114,0.226,lineup,1.0,0.184,25.8,4.21,4.74,4.75,4.47,,"[{""id"": 694671, ""name"": ""Wyatt Langford"", ""slot"": 1}, {""id"": 608369, ""name"": ""Corey Seager"", ""slot"": 2}, {""id"": 673962, ""name"": ""Josh Jung"", ""slot"": 3}, {""id"": 607043, ""name"": ""Brandon Nimmo"", ""slot"": 4}, {""id"": 677649, ""name"": ""Ezequiel Duran"", ""slot"": 5}, {""id"": 669394, ""name"": ""Jake Burger"", ""slot"": 6}, {""id"": 694497, ""name"": ""Evan Carter"", ""slot"": 7}, {""id"": 553869, ""name"": ""Elias Díaz"", ""slot"": 8}, {""id"": 670032, ""name"": ""Nicky Lopez"", ""slot"": 9}]",4.5,-105,betmgm,-102,fanduel,5,0.515,0.519,-0.004,0.006,-0.04,0.506,-0.013,,,0.514,-0.005,4.5,-105,-102,0.597,0.519,0.078,0.534,0.015,,,0,-1.0,0.98,2,29,1,-2.21,-2.74,-2.75,-2.47,,0,-1.0,0.98
2026-06-11,824589,2026-06-11T23:40:00Z,641743,Anthony Kay,Atlanta Braves,True,0.165,0.181,0.092,0.205,team,1.0,0.156,24.5,3.94,3.83,3.83,3.55,,[],3.5,-141,betrivers,125,fanatics,6,0.532,0.565,-0.033,-0.09,0.052,0.512,-0.053,,,0.519,-0.046,,,,,,,,,,,,,,,,0,,,,,,,,
2026-06-11,824346,2026-06-11T19:10:00Z,665795,Edward Cabrera,Colorado Rockies,False,0.216,0.214,0.132,0.24,lineup,0.92,0.211,21.3,4.95,4.84,4.49,4.21,,"[{""id"": 666397, ""name"": ""Edouard Julien"", ""slot"": 1}, {""id"": 650489, ""name"": ""Willi Castro"", ""slot"": 2}, {""id"": 681198, ""name"": ""TJ Rumfield"", ""slot"": 3}, {""id"": 696100, ""name"": ""Hunter Goodman"", ""slot"": 4}, {""id"": 687859, ""name"": ""Troy Johnston"", ""slot"": 5}, {""id"": 694249, ""name"": ""Cole Carrigg"", ""slot"": 6}, {""id"": 694514, ""name"": ""Sterlin Thompson"", ""slot"": 7}, {""id"": 678662, ""name"": ""Ezequiel Tovar"", ""slot"": 8}, {""id"": 664954, ""name"": ""Brett Sullivan"", ""slot"": 9}]",4.5,125,betrivers,100,betmgm,5,0.466,0.51,-0.044,0.049,0.067,0.49,-0.02,,,0.494,-0.016,4.5,125,100,0.501,0.51,-0.009,0.501,-0.009,,,1,1.25,-1.0,5,22,1,0.05,0.16,0.51,0.79,,1,1.25,-1.0
