date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_v2bc,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,cal_p_over_v2bc,cal_edge_v2bc,slate_line,slate_over_odds,slate_under_odds,slate_p_over,slate_novig_over,slate_edge,slate_cal_p_over_v2,slate_cal_edge_v2,slate_cal_p_over_ml,slate_cal_edge_ml,slate_cal_p_over_v2bc,slate_cal_edge_v2bc,slate_over_hit,slate_over_pnl,slate_under_pnl,actual_ks,actual_bf,gs,error_v0,error_v1,error_v2,error_v2bc,error_ml,over_hit,over_pnl,under_pnl
2026-07-16,823440,2026-07-16T22:10:00Z,681035,Christian Scott,Philadelphia Phillies,False,0.285,0.32,0.122,0.228,lineup,1.0,0.303,19.4,6.87,6.06,5.89,5.72,,"[{""id"": 607208, ""name"": ""Trea Turner"", ""slot"": 1}, {""id"": 656941, ""name"": ""Kyle Schwarber"", ""slot"": 2}, {""id"": 547180, ""name"": ""Bryce Harper"", ""slot"": 3}, {""id"": 669016, ""name"": ""Brandon Marsh"", ""slot"": 4}, {""id"": 664761, ""name"": ""Alec Bohm"", ""slot"": 5}, {""id"": 681082, ""name"": ""Bryson Stott"", ""slot"": 6}, {""id"": 592663, ""name"": ""J.T. Realmuto"", ""slot"": 7}, {""id"": 687282, ""name"": ""Gabriel Rincones Jr."", ""slot"": 8}, {""id"": 702222, ""name"": ""Justin Crawford"", ""slot"": 9}]",5.5,105,fanatics,-128,fanduel,6,0.536,0.467,0.069,0.098,-0.173,0.523,0.056,,,0.574,0.107,5.5,105,-128,0.461,0.467,-0.006,0.493,0.026,,,0.527,0.06,1,1.05,-1.0,7,20,1,0.13,0.94,1.11,1.28,,1,1.05,-1.0
2026-07-16,823440,2026-07-16T22:10:00Z,605400,Aaron Nola,New York Mets,True,0.239,0.261,0.127,0.206,lineup,1.0,0.226,23.1,5.69,5.57,5.22,5.05,,"[{""id"": 805999, ""name"": ""A.J. Ewing"", ""slot"": 1}, {""id"": 665742, ""name"": ""Juan Soto"", ""slot"": 2}, {""id"": 666182, ""name"": ""Bo Bichette"", ""slot"": 3}, {""id"": 596019, ""name"": ""Francisco Lindor"", ""slot"": 4}, {""id"": 701807, ""name"": ""Carson Benge"", ""slot"": 5}, {""id"": 593871, ""name"": ""Jorge Polanco"", ""slot"": 6}, {""id"": 676724, ""name"": ""Jared Young"", ""slot"": 7}, {""id"": 683146, ""name"": ""Brett Baty"", ""slot"": 8}, {""id"": 682626, ""name"": ""Francisco Alvarez"", ""slot"": 9}]",5.5,125,betrivers,124,draftkings,5,0.423,0.425,-0.002,-0.049,0.293,0.478,0.053,,,0.501,0.076,5.5,125,124,0.418,0.425,-0.007,0.476,0.051,,,0.499,0.074,1,1.25,-1.0,6,27,1,0.31,0.43,0.78,0.95,,1,1.25,-1.0
