date,game_pk,hitter_id,hitter,slot,team,opp_pitcher_id,opp_pitcher,season_k_pct,recent_k_pct,opp_pitcher_k_pct,park_factor,matchup_k_pct,expected_pa,proj_ks,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,actual_ks,actual_pa,error,over_hit,over_pnl,under_pnl
2026-04-30,825016,642851,Austin Wynns,7,Athletics,702070,Noah Cameron,0.171,0.171,0.191,1.0,0.145,4.05,0.59,,,,,,0,,,,,,1,4,0.41,,,
2026-04-30,823634,543760,Marcus Semien,6,New York Mets,571945,Miles Mikolas,0.198,0.193,0.157,1.02,0.14,4.15,0.58,,,,,,0,,,,,,0,4,-0.58,,,
2026-04-30,823795,666971,Lourdes Gurriel Jr.,6,Arizona Diamondbacks,605540,Brandon Woodruff,0.158,0.158,0.198,1.0,0.139,4.15,0.58,,,,,,0,,,,,,2,4,1.42,,,
2026-04-30,823714,665926,Andrés Giménez,8,Toronto Blue Jays,641927,Bailey Ober,0.156,0.185,0.195,1.01,0.147,3.95,0.58,,,,,,0,,,,,,0,2,-0.58,,,
2026-04-30,824524,691720,Kyle Karros,7,Colorado Rockies,671096,Andrew Abbott,0.223,0.211,0.146,1.0,0.141,4.05,0.57,,,,,,0,,,,,,1,4,0.43,,,
2026-04-30,823634,666182,Bo Bichette,1,New York Mets,571945,Miles Mikolas,0.199,0.129,0.157,1.02,0.122,4.65,0.57,,,,,,0,,,,,,0,4,-0.57,,,
2026-04-30,824524,701398,Sal Stewart,4,Cincinnati Reds,547179,Michael Lorenzen,0.179,0.215,0.15,1.0,0.129,4.35,0.56,,,,,,0,,,,,,0,4,-0.56,,,
2026-04-30,824929,642201,Eli White,9,Atlanta Braves,664285,Framber Valdez,0.186,0.162,0.182,1.0,0.143,3.85,0.55,,,,,,0,,,,,,2,3,1.45,,,
2026-04-30,824929,650402,Gleyber Torres,2,Detroit Tigers,693821,Bryce Elder,0.153,0.103,0.199,1.0,0.118,4.55,0.54,,,,,,0,,,,,,0,5,-0.54,,,
2026-04-30,823471,808982,Jung Hoo Lee,7,San Francisco Giants,641835,Tim Mayza,0.139,0.115,0.233,1.0,0.134,4.05,0.54,,,,,,0,,,,,,2,4,1.46,,,
