date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,slate_line,slate_over_odds,slate_under_odds,slate_p_over,slate_novig_over,slate_edge,slate_over_hit,slate_over_pnl,slate_under_pnl,actual_ks,actual_bf,gs,error_v0,error_v1,error_v2,error_ml,over_hit,over_pnl,under_pnl
2026-05-04,824201,2026-05-05T00:10:00Z,595345,Steven Okert,Los Angeles Dodgers,True,0.164,0.167,0.114,0.214,lineup,1.0,0.177,42.6,3.8,6.42,7.54,4.58,"[{""id"": 660271, ""name"": ""Shohei Ohtani"", ""slot"": 1}, {""id"": 518692, ""name"": ""Freddie Freeman"", ""slot"": 2}, {""id"": 669257, ""name"": ""Will Smith"", ""slot"": 3}, {""id"": 606192, ""name"": ""Teoscar Hernández"", ""slot"": 4}, {""id"": 663656, ""name"": ""Kyle Tucker"", ""slot"": 5}, {""id"": 571970, ""name"": ""Max Muncy"", ""slot"": 6}, {""id"": 681624, ""name"": ""Andy Pages"", ""slot"": 7}, {""id"": 808975, ""name"": ""Hyeseong Kim"", ""slot"": 8}, {""id"": 690976, ""name"": ""Alex Freeland"", ""slot"": 9}]",1.5,175,betonlineag,-230,mybookieag,2,0.995,0.348,0.647,1.738,-0.993,,,,,,,,,,1,6,1,-2.8,-5.42,-6.54,-3.58,0,-1.0,0.435
2026-05-04,824363,2026-05-04T21:40:00Z,623211,Huascar Brazobán,Colorado Rockies,False,0.206,0.0,0.152,0.262,lineup,0.92,0.255,39.4,4.75,9.21,10.03,5.24,"[{""id"": 666160, ""name"": ""Mickey Moniak"", ""slot"": 1}, {""id"": 671289, ""name"": ""Tyler Freeman"", ""slot"": 2}, {""id"": 681198, ""name"": ""TJ Rumfield"", ""slot"": 3}, {""id"": 696100, ""name"": ""Hunter Goodman"", ""slot"": 4}, {""id"": 650489, ""name"": ""Willi Castro"", ""slot"": 5}, {""id"": 687597, ""name"": ""Jordan Beck"", ""slot"": 6}, {""id"": 691720, ""name"": ""Kyle Karros"", ""slot"": 7}, {""id"": 678662, ""name"": ""Ezequiel Tovar"", ""slot"": 8}, {""id"": 686668, ""name"": ""Brenton Doyle"", ""slot"": 9}]",1.5,134,betonlineag,-175,betonlineag,2,1.0,0.406,0.594,1.339,-0.999,,,,,,,,,,0,4,1,-4.75,-9.21,-10.03,-5.24,0,-1.0,0.571
2026-05-04,824283,2026-05-04T22:10:00Z,663947,Tyler Holton,Boston Red Sox,True,0.157,0.25,0.096,0.235,lineup,1.0,0.201,22.6,4.47,4.28,4.55,3.05,"[{""id"": 680776, ""name"": ""Jarren Duran"", ""slot"": 1}, {""id"": 575929, ""name"": ""Willson Contreras"", ""slot"": 2}, {""id"": 701350, ""name"": ""Roman Anthony"", ""slot"": 3}, {""id"": 596115, ""name"": ""Trevor Story"", ""slot"": 4}, {""id"": 677800, ""name"": ""Wilyer Abreu"", ""slot"": 5}, {""id"": 678882, ""name"": ""Ceddanne Rafaela"", ""slot"": 6}, {""id"": 691785, ""name"": ""Marcelo Mayer"", ""slot"": 7}, {""id"": 665966, ""name"": ""Carlos Narváez"", ""slot"": 8}, {""id"": 655316, ""name"": ""Andruw Monasterio"", ""slot"": 9}]",1.5,116,mybookieag,-160,mybookieag,1,0.941,0.429,0.512,1.033,-0.904,,,,,,,,,,1,5,1,-3.47,-3.28,-3.55,-2.05,0,-1.0,0.625
2026-05-04,824283,2026-05-04T22:10:00Z,801139,Payton Tolle,Detroit Tigers,False,0.343,0.343,0.168,0.265,lineup,1.0,0.398,22.3,7.9,7.46,8.89,6.32,"[{""id"": 663330, ""name"": ""Jahmai Jones"", ""slot"": 1}, {""id"": 663837, ""name"": ""Matt Vierling"", ""slot"": 2}, {""id"": 693307, ""name"": ""Dillon Dingler"", ""slot"": 3}, {""id"": 682985, ""name"": ""Riley Greene"", ""slot"": 4}, {""id"": 679529, ""name"": ""Spencer Torkelson"", ""slot"": 5}, {""id"": 672761, ""name"": ""Wenceel Pérez"", ""slot"": 6}, {""id"": 701678, ""name"": ""Hao-Yu  Lee"", ""slot"": 7}, {""id"": 690993, ""name"": ""Colt Keith"", ""slot"": 8}, {""id"": 670097, ""name"": ""Zack Short"", ""slot"": 9}]",5.5,116,fanduel,120,betmgm,7,0.878,0.449,0.429,0.896,-0.731,4.5,133,115,0.83,0.54,0.29,1,1.33,-1.0,8,25,1,0.1,0.54,-0.89,1.68,1,1.16,-1.0
2026-05-04,824684,2026-05-04T23:10:00Z,695534,Chase Petty,Chicago Cubs,False,0.0,0.0,0.0,0.202,lineup,1.0,0.202,23.0,0.0,4.72,4.65,3.64,"[{""id"": 663538, ""name"": ""Nico Hoerner"", ""slot"": 1}, {""id"": 694208, ""name"": ""Moisés Ballesteros"", ""slot"": 2}, {""id"": 608324, ""name"": ""Alex Bregman"", ""slot"": 3}, {""id"": 664023, ""name"": ""Ian Happ"", ""slot"": 4}, {""id"": 673548, ""name"": ""Seiya Suzuki"", ""slot"": 5}, {""id"": 683737, ""name"": ""Michael Busch"", ""slot"": 6}, {""id"": 608348, ""name"": ""Carson Kelly"", ""slot"": 7}, {""id"": 691718, ""name"": ""Pete Crow-Armstrong"", ""slot"": 8}, {""id"": 621020, ""name"": ""Dansby Swanson"", ""slot"": 9}]",3.5,150,betrivers,120,betmgm,7,0.682,0.416,0.266,0.705,-0.3,3.5,150,120,0.693,0.416,0.277,0,-1.0,1.2,1,23,1,1.0,-3.72,-3.65,-2.64,0,-1.0,1.2
2026-05-04,823228,2026-05-05T01:45:00Z,681190,Randy Vásquez,San Francisco Giants,False,0.248,0.228,0.131,0.21,lineup,0.98,0.225,22.8,5.52,5.3,5.14,3.91,"[{""id"": 808982, ""name"": ""Jung Hoo Lee"", ""slot"": 1}, {""id"": 669477, ""name"": ""Casey Schmitt"", ""slot"": 2}, {""id"": 650333, ""name"": ""Luis Arraez"", ""slot"": 3}, {""id"": 671218, ""name"": ""Heliot Ramos"", ""slot"": 4}, {""id"": 646240, ""name"": ""Rafael Devers"", ""slot"": 5}, {""id"": 642715, ""name"": ""Willy Adames"", ""slot"": 6}, {""id"": 805811, ""name"": ""Bryce Eldridge"", ""slot"": 7}, {""id"": 683679, ""name"": ""Jesus Rodriguez"", ""slot"": 8}, {""id"": 687551, ""name"": ""Drew Gilbert"", ""slot"": 9}]",3.5,-135,bovada,115,betonlineag,6,0.754,0.548,0.206,0.313,-0.471,3.5,-135,115,0.777,0.548,0.23,0,-1.0,1.15,2,24,1,-3.52,-3.3,-3.14,-1.91,0,-1.0,1.15
2026-05-04,823228,2026-05-05T01:45:00Z,686790,Trevor McDonald,San Diego Padres,True,0.0,0.0,0.0,0.217,lineup,0.98,0.212,23.0,0.0,5.1,4.88,3.48,"[{""id"": 657656, ""name"": ""Ramón Laureano"", ""slot"": 1}, {""id"": 665487, ""name"": ""Fernando Tatis Jr."", ""slot"": 2}, {""id"": 701538, ""name"": ""Jackson Merrill"", ""slot"": 3}, {""id"": 592518, ""name"": ""Manny Machado"", ""slot"": 4}, {""id"": 593428, ""name"": ""Xander Bogaerts"", ""slot"": 5}, {""id"": 657757, ""name"": ""Gavin Sheets"", ""slot"": 6}, {""id"": 609280, ""name"": ""Miguel Andujar"", ""slot"": 7}, {""id"": 666023, ""name"": ""Freddy Fermin"", ""slot"": 8}, {""id"": 630105, ""name"": ""Jake Cronenworth"", ""slot"": 9}]",3.5,-130,betonlineag,107,draftkings,6,0.718,0.535,0.183,0.271,-0.417,3.5,-130,107,0.735,0.535,0.2,1,0.769,-1.0,8,24,1,8.0,2.9,3.12,4.52,1,0.769,-1.0
2026-05-04,823874,2026-05-04T22:40:00Z,605400,Aaron Nola,Miami Marlins,False,0.248,0.211,0.121,0.263,lineup,1.0,0.274,22.9,5.37,5.25,6.29,6.1,"[{""id"": 805300, ""name"": ""Jakob Marsee"", ""slot"": 1}, {""id"": 669065, ""name"": ""Kyle Stowers"", ""slot"": 2}, {""id"": 672640, ""name"": ""Otto Lopez"", ""slot"": 3}, {""id"": 669364, ""name"": ""Xavier Edwards"", ""slot"": 4}, {""id"": 689414, ""name"": ""Liam Hicks"", ""slot"": 5}, {""id"": 666624, ""name"": ""Christopher Morel"", ""slot"": 6}, {""id"": 691788, ""name"": ""Joe Mack"", ""slot"": 7}, {""id"": 683357, ""name"": ""Owen Caissie"", ""slot"": 8}, {""id"": 688363, ""name"": ""Graham Pauley"", ""slot"": 9}]",5.5,115,betmgm,-134,betrivers,7,0.6,0.449,0.151,0.289,-0.301,5.5,115,-134,0.481,0.449,0.032,0,-1.0,0.746,5,21,1,-0.37,-0.25,-1.29,-1.1,0,-1.0,0.746
2026-05-04,824039,2026-05-05T01:38:00Z,663436,Davis Martin,Los Angeles Angels,False,0.229,0.22,0.111,0.256,lineup,1.0,0.253,24.2,5.18,6.21,6.13,5.58,"[{""id"": 687263, ""name"": ""Zach Neto"", ""slot"": 1}, {""id"": 545361, ""name"": ""Mike Trout"", ""slot"": 2}, {""id"": 694384, ""name"": ""Nolan Schanuel"", ""slot"": 3}, {""id"": 624585, ""name"": ""Jorge Soler"", ""slot"": 4}, {""id"": 660162, ""name"": ""Yoán Moncada"", ""slot"": 5}, {""id"": 666176, ""name"": ""Jo Adell"", ""slot"": 6}, {""id"": 666139, ""name"": ""Josh Lowe"", ""slot"": 7}, {""id"": 518595, ""name"": ""Travis d'Arnaud"", ""slot"": 8}, {""id"": 624428, ""name"": ""Adam Frazier"", ""slot"": 9}]",5.5,116,draftkings,-135,betmgm,7,0.575,0.446,0.129,0.241,-0.259,5.5,116,-135,0.574,0.446,0.128,1,1.16,-1.0,10,25,1,4.82,3.79,3.87,4.42,1,1.16,-1.0
2026-05-04,823143,2026-05-05T01:40:00Z,702275,JR Ritchie,Seattle Mariners,False,0.216,0.216,0.081,0.247,lineup,1.03,0.221,25.5,4.96,5.91,5.63,7.19,"[{""id"": 641487, ""name"": ""J.P. Crawford"", ""slot"": 1}, {""id"": 677594, ""name"": ""Julio Rodríguez"", ""slot"": 2}, {""id"": 647304, ""name"": ""Josh Naylor"", ""slot"": 3}, {""id"": 668227, ""name"": ""Randy Arozarena"", ""slot"": 4}, {""id"": 686527, ""name"": ""Dominic Canzone"", ""slot"": 5}, {""id"": 670042, ""name"": ""Luke Raley"", ""slot"": 6}, {""id"": 702284, ""name"": ""Cole Young"", ""slot"": 7}, {""id"": 641598, ""name"": ""Mitch Garver"", ""slot"": 8}, {""id"": 660844, ""name"": ""Leo Rivas"", ""slot"": 9}]",4.5,-126,draftkings,105,bovada,6,0.662,0.533,0.129,0.188,-0.308,4.5,-126,105,0.645,0.533,0.113,0,-1.0,1.05,2,24,1,-2.96,-3.91,-3.63,-5.19,0,-1.0,1.05
