date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_v2bc,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,cal_p_over_v2bc,cal_edge_v2bc
2026-08-17,823427,2026-08-17T22:40:00Z,650911,Cristopher Sánchez,Miami Marlins,True,0.282,0.319,0.165,0.222,lineup,1.0,0.293,24.3,6.82,6.96,7.13,7.13,,"[{""id"": 665923, ""name"": ""Esteury Ruiz"", ""slot"": 1}, {""id"": 681715, ""name"": ""Heriberto Hernández"", ""slot"": 2}, {""id"": 669364, ""name"": ""Xavier Edwards"", ""slot"": 3}, {""id"": 682663, ""name"": ""Agustín Ramírez"", ""slot"": 4}, {""id"": 672640, ""name"": ""Otto Lopez"", ""slot"": 5}, {""id"": 691594, ""name"": ""Javier Sanoja"", ""slot"": 6}, {""id"": 677870, ""name"": ""Leo Jiménez"", ""slot"": 7}, {""id"": 665052, ""name"": ""Griffin Conine"", ""slot"": 8}, {""id"": 640459, ""name"": ""Brian Navarreto"", ""slot"": 9}]",,,,,,0,,,,,,,,,,,
2026-08-17,824320,2026-08-18T00:40:00Z,605483,Blake Snell,Colorado Rockies,False,0.375,0.375,0.0,0.225,lineup,0.92,0.346,20.0,8.62,7.53,6.91,6.91,,"[{""id"": 664983, ""name"": ""Jake McCarthy"", ""slot"": 1}, {""id"": 687597, ""name"": ""Jordan Beck"", ""slot"": 2}, {""id"": 694249, ""name"": ""Cole Carrigg"", ""slot"": 3}, {""id"": 650489, ""name"": ""Willi Castro"", ""slot"": 4}, {""id"": 681198, ""name"": ""TJ Rumfield"", ""slot"": 5}, {""id"": 681393, ""name"": ""Connor Norby"", ""slot"": 6}, {""id"": 691182, ""name"": ""Adael Amador"", ""slot"": 7}, {""id"": 664954, ""name"": ""Brett Sullivan"", ""slot"": 8}, {""id"": 678662, ""name"": ""Ezequiel Tovar"", ""slot"": 9}]",,,,,,0,,,,,,,,,,,
2026-08-17,824641,2026-08-18T00:05:00Z,622491,Luis Castillo,Chicago Cubs,False,0.366,0.202,0.13,0.218,lineup,1.0,0.291,21.8,6.9,6.35,6.35,6.35,,"[{""id"": 691718, ""name"": ""Pete Crow-Armstrong"", ""slot"": 1}, {""id"": 673548, ""name"": ""Seiya Suzuki"", ""slot"": 2}, {""id"": 683737, ""name"": ""Michael Busch"", ""slot"": 3}, {""id"": 608324, ""name"": ""Alex Bregman"", ""slot"": 4}, {""id"": 664023, ""name"": ""Ian Happ"", ""slot"": 5}, {""id"": 663538, ""name"": ""Nico Hoerner"", ""slot"": 6}, {""id"": 699393, ""name"": ""Pedro Ramírez"", ""slot"": 7}, {""id"": 624424, ""name"": ""Michael Conforto"", ""slot"": 8}, {""id"": 608348, ""name"": ""Carson Kelly"", ""slot"": 9}]",,,,,,0,,,,,,,,,,,
2026-08-17,824514,2026-08-17T17:40:00Z,687273,Quinn Mathews,Cincinnati Reds,False,0.244,0.244,0.0,0.28,lineup,1.0,0.304,20.5,5.61,5.65,6.23,6.23,,"[{""id"": 682829, ""name"": ""Elly De La Cruz"", ""slot"": 1}, {""id"": 701398, ""name"": ""Sal Stewart"", ""slot"": 2}, {""id"": 663886, ""name"": ""Tyler Stephenson"", ""slot"": 3}, {""id"": 553993, ""name"": ""Eugenio Suárez"", ""slot"": 4}, {""id"": 667472, ""name"": ""Dane Myers"", ""slot"": 5}, {""id"": 669911, ""name"": ""Michael Toglia"", ""slot"": 6}, {""id"": 680574, ""name"": ""Matt McLain"", ""slot"": 7}, {""id"": 682622, ""name"": ""Noelvi Marte"", ""slot"": 8}, {""id"": 663647, ""name"": ""Ke'Bryan Hayes"", ""slot"": 9}]",,,,,,0,,,,,,,,,,,
2026-08-17,824077,2026-08-17T23:40:00Z,686930,Mason Barnett,Kansas City Royals,False,0.215,0.209,0.099,0.21,lineup,1.0,0.198,28.0,4.89,5.63,5.55,5.55,,"[{""id"": 695600, ""name"": ""Carter Jensen"", ""slot"": 1}, {""id"": 677951, ""name"": ""Bobby Witt Jr."", ""slot"": 2}, {""id"": 695506, ""name"": ""Jac Caglianone"", ""slot"": 3}, {""id"": 672580, ""name"": ""Maikel Garcia"", ""slot"": 4}, {""id"": 686469, ""name"": ""Vinnie Pasquantino"", ""slot"": 5}, {""id"": 521692, ""name"": ""Salvador Perez"", ""slot"": 6}, {""id"": 686681, ""name"": ""Michael Massey"", ""slot"": 7}, {""id"": 686555, ""name"": ""Isaac Collins"", ""slot"": 8}, {""id"": 664728, ""name"": ""Kyle Isbel"", ""slot"": 9}]",,,,,,0,,,,,,,,,,,
2026-08-17,824641,2026-08-18T00:05:00Z,684007,Shota Imanaga,Chicago White Sox,True,0.235,0.216,0.148,0.237,lineup,1.0,0.239,23.1,5.22,5.57,5.53,5.53,,"[{""id"": 805367, ""name"": ""Chase Meidroth"", ""slot"": 1}, {""id"": 808959, ""name"": ""Munetaka Murakami"", ""slot"": 2}, {""id"": 678246, ""name"": ""Miguel Vargas"", ""slot"": 3}, {""id"": 545341, ""name"": ""Randal Grichuk"", ""slot"": 4}, {""id"": 695731, ""name"": ""Braden Montgomery"", ""slot"": 5}, {""id"": 686668, ""name"": ""Brenton Doyle"", ""slot"": 6}, {""id"": 803011, ""name"": ""Sam Antonacci"", ""slot"": 7}, {""id"": 682668, ""name"": ""Luisangel Acuña"", ""slot"": 8}, {""id"": 668670, ""name"": ""Jake Rogers"", ""slot"": 9}]",,,,,,0,,,,,,,,,,,
2026-08-17,823589,2026-08-17T23:10:00Z,690997,Nolan McLean,San Diego Padres,True,0.274,0.214,0.109,0.201,lineup,1.02,0.228,22.9,5.75,5.52,5.21,5.21,,"[{""id"": 665487, ""name"": ""Fernando Tatis Jr."", ""slot"": 1}, {""id"": 630105, ""name"": ""Jake Cronenworth"", ""slot"": 2}, {""id"": 592518, ""name"": ""Manny Machado"", ""slot"": 3}, {""id"": 664034, ""name"": ""Ty France"", ""slot"": 4}, {""id"": 701538, ""name"": ""Jackson Merrill"", ""slot"": 5}, {""id"": 669134, ""name"": ""Luis Campusano"", ""slot"": 6}, {""id"": 657757, ""name"": ""Gavin Sheets"", ""slot"": 7}, {""id"": 593428, ""name"": ""Xander Bogaerts"", ""slot"": 8}, {""id"": 650859, ""name"": ""Luis Rengifo"", ""slot"": 9}]",,,,,,0,,,,,,,,,,,
2026-08-17,824478,2026-08-17T22:40:00Z,669467,Andre Pallante,Cincinnati Reds,False,0.174,0.195,0.096,0.27,lineup,1.0,0.218,23.0,4.19,4.73,5.02,5.02,,"[{""id"": 682829, ""name"": ""Elly De La Cruz"", ""slot"": 1}, {""id"": 701398, ""name"": ""Sal Stewart"", ""slot"": 2}, {""id"": 668709, ""name"": ""JJ Bleday"", ""slot"": 3}, {""id"": 553993, ""name"": ""Eugenio Suárez"", ""slot"": 4}, {""id"": 669911, ""name"": ""Michael Toglia"", ""slot"": 5}, {""id"": 680574, ""name"": ""Matt McLain"", ""slot"": 6}, {""id"": 699302, ""name"": ""Héctor Rodríguez"", ""slot"": 7}, {""id"": 624431, ""name"": ""Jose Trevino"", ""slot"": 8}, {""id"": 670770, ""name"": ""TJ Friedl"", ""slot"": 9}]",,,,,,0,,,,,,,,,,,
2026-08-17,824725,2026-08-17T23:10:00Z,687941,Alec Gamboa,Arizona Diamondbacks,True,0.181,0.25,0.115,0.198,lineup,0.96,0.176,28.0,4.79,5.0,4.93,4.93,,"[{""id"": 545121, ""name"": ""Ildemaro Vargas"", ""slot"": 1}, {""id"": 682998, ""name"": ""Corbin Carroll"", ""slot"": 2}, {""id"": 672515, ""name"": ""Gabriel Moreno"", ""slot"": 3}, {""id"": 672695, ""name"": ""Geraldo Perdomo"", ""slot"": 4}, {""id"": 691783, ""name"": ""Jordan Lawlar"", ""slot"": 5}, {""id"": 694374, ""name"": ""Tim Tawa"", ""slot"": 6}, {""id"": 699912, ""name"": ""Jose Fernandez"", ""slot"": 7}, {""id"": 663457, ""name"": ""Lars Nootbaar"", ""slot"": 8}, {""id"": 814439, ""name"": ""Ryan Waldschmidt"", ""slot"": 9}]",,,,,,0,,,,,,,,,,,
2026-08-17,822939,2026-08-17T22:05:00Z,663556,Shane McClanahan,Baltimore Orioles,True,0.222,0.187,0.131,0.261,lineup,1.0,0.241,19.4,4.79,4.34,4.67,4.67,,"[{""id"": 641933, ""name"": ""Tyler O'Neill"", ""slot"": 1}, {""id"": 624413, ""name"": ""Pete Alonso"", ""slot"": 2}, {""id"": 702616, ""name"": ""Jackson Holliday"", ""slot"": 3}, {""id"": 691723, ""name"": ""Coby Mayo"", ""slot"": 4}, {""id"": 683002, ""name"": ""Gunnar Henderson"", ""slot"": 5}, {""id"": 687952, ""name"": ""Christian Encarnacion-Strand"", ""slot"": 6}, {""id"": 669236, ""name"": ""Jeremiah Jackson"", ""slot"": 7}, {""id"": 665966, ""name"": ""Carlos Narváez"", ""slot"": 8}, {""id"": 681047, ""name"": ""Christian Franklin"", ""slot"": 9}]",,,,,,0,,,,,,,,,,,
2026-08-17,823343,2026-08-17T23:05:00Z,664285,Framber Valdez,Pittsburgh Pirates,False,0.178,0.155,0.096,0.234,lineup,1.0,0.176,23.6,3.89,4.26,4.15,4.15,,"[{""id"": 669707, ""name"": ""Jared Triolo"", ""slot"": 1}, {""id"": 699013, ""name"": ""Esmerlyn Valdez"", ""slot"": 2}, {""id"": 668804, ""name"": ""Bryan Reynolds"", ""slot"": 3}, {""id"": 693304, ""name"": ""Nick Gonzales"", ""slot"": 4}, {""id"": 664040, ""name"": ""Brandon Lowe"", ""slot"": 5}, {""id"": 804668, ""name"": ""Rafael Flores Jr."", ""slot"": 6}, {""id"": 663968, ""name"": ""Jake Mangum"", ""slot"": 7}, {""id"": 694377, ""name"": ""Nick Yorke"", ""slot"": 8}, {""id"": 680779, ""name"": ""Henry Davis"", ""slot"": 9}]",,,,,,0,,,,,,,,,,,
2026-08-17,823343,2026-08-17T23:05:00Z,669387,Carmen Mlodzinski,Detroit Tigers,True,0.18,0.09,0.094,0.227,lineup,1.0,0.145,28.0,3.31,4.04,4.07,4.07,,"[{""id"": 650402, ""name"": ""Gleyber Torres"", ""slot"": 1}, {""id"": 805808, ""name"": ""Kevin McGonigle"", ""slot"": 2}, {""id"": 693307, ""name"": ""Dillon Dingler"", ""slot"": 3}, {""id"": 690993, ""name"": ""Colt Keith"", ""slot"": 4}, {""id"": 656716, ""name"": ""Zach McKinstry"", ""slot"": 5}, {""id"": 701678, ""name"": ""Hao-Yu Lee"", ""slot"": 6}, {""id"": 814430, ""name"": ""Brett Callahan"", ""slot"": 7}, {""id"": 703601, ""name"": ""Max Clark"", ""slot"": 8}, {""id"": 595879, ""name"": ""Javier Báez"", ""slot"": 9}]",,,,,,0,,,,,,,,,,,
