date,section,rank,leg_count,leg1_pitcher,leg1_pitcher_id,leg1_dir,leg1_line,leg1_odds,leg1_p_hit,leg1_novig_p,leg2_pitcher,leg2_pitcher_id,leg2_dir,leg2_line,leg2_odds,leg2_p_hit,leg2_novig_p,leg3_pitcher,leg3_pitcher_id,leg3_dir,leg3_line,leg3_odds,leg3_p_hit,leg3_novig_p,combined_amer,combined_dec,combined_hit,combined_novig,combined_edge,ev,ud_payout,ev_ud,ev_ud_boost,overlaps_top_2leg
2026-07-11,two_leg,1,2,Shane Drohan,675660,over,4.5,118.0,0.72,0.575,Cam Schlittler,693645,over,5.5,122.0,0.673,0.539,,,,,,,,384,4.8396,0.48456,0.309925,0.174635,1.345077,3.0,0.45368,0.889784,
2026-07-11,two_leg,2,2,Reynaldo López,625643,over,3.5,-102.0,0.672,0.495,Brandon Pfaadt,694297,over,3.5,-105.0,0.644,0.49,,,,,,,,287,3.86648,0.432768,0.24255,0.190218,0.673289,3.0,0.298304,0.687795,
2026-07-11,two_leg,3,2,Freddy Peralta,642547,under,5.5,104.0,0.597,0.466,Nick Lodolo,666157,under,4.5,122.0,0.56,0.452,,,,,,,,353,4.5288,0.33432,0.210632,0.123688,0.514068,3.0,0.00296,0.303848,
2026-07-11,three_leg,1,3,Shane Drohan,675660,over,4.5,118.0,0.72,0.575,Cam Schlittler,693645,over,5.5,122.0,0.673,0.539,Freddy Peralta,642547,under,5.5,104.0,0.597,0.466,887,9.872784,0.289282,0.144425,0.144857,1.856022,6.0,0.735694,1.256402,Shane Drohan
2026-07-11,three_leg,2,3,Reynaldo López,625643,over,3.5,-102.0,0.672,0.495,Brandon Pfaadt,694297,over,3.5,-105.0,0.644,0.49,Nick Lodolo,666157,under,4.5,122.0,0.56,0.452,758,8.583585,0.24235,0.109633,0.132717,1.080233,6.0,0.4541,0.890331,
