date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_v2bc,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,cal_p_over_v2bc,cal_edge_v2bc
2026-08-14,824237,2026-08-14T22:40:00Z,656794,Sean Newcomb,Detroit Tigers,False,0.228,0.444,0.109,0.226,team,1.0,0.316,28.0,7.24,8.86,8.86,8.86,,[],,,,,,0,,,,,,,,,,,
2026-08-14,824399,2026-08-14T23:10:00Z,668909,Gavin Williams,San Diego Padres,True,0.323,0.451,0.155,0.218,team,1.0,0.362,23.4,8.61,8.46,8.46,8.46,,[],,,,,,0,,,,,,,,,,,
2026-08-14,822777,2026-08-14T23:15:00Z,543037,Gerrit Cole,Toronto Blue Jays,False,0.264,0.328,0.104,0.195,team,1.01,0.254,23.9,6.67,6.01,6.07,6.07,,[],,,,,,0,,,,,,,,,,,
2026-08-14,824479,2026-08-14T22:10:00Z,645261,Sandy Alcantara,Cincinnati Reds,False,0.19,0.214,0.113,0.253,team,1.0,0.225,26.7,4.59,5.98,5.98,5.98,,[],,,,,,0,,,,,,,,,,,
2026-08-14,824159,2026-08-15T00:10:00Z,663567,Peter Lambert,Seattle Mariners,True,0.235,0.254,0.124,0.23,team,1.0,0.248,23.6,5.58,5.85,5.85,5.85,,[],,,,,,0,,,,,,,,,,,
2026-08-14,824479,2026-08-14T22:10:00Z,695505,Chase Burns,Miami Marlins,True,0.285,0.241,0.156,0.216,team,1.0,0.257,22.7,6.15,5.82,5.82,5.82,,[],,,,,,0,,,,,,,,,,,
2026-08-14,823913,2026-08-15T02:10:00Z,808967,Yoshinobu Yamamoto,Milwaukee Brewers,True,0.238,0.2,0.127,0.215,team,1.02,0.217,26.0,5.13,5.55,5.66,5.66,,[],,,,,,0,,,,,,,,,,,
2026-08-14,823591,2026-08-14T23:10:00Z,674841,Andrew Alvarez,New York Mets,False,0.22,0.152,0.12,0.226,team,1.02,0.197,28.0,4.43,5.41,5.52,5.52,,[],,,,,,0,,,,,,,,,,,
2026-08-14,824968,2026-08-15T01:40:00Z,677958,Kumar Rocker,Athletics,False,0.214,0.244,0.126,0.228,team,1.0,0.229,24.0,5.2,5.48,5.48,5.48,,[],,,,,,0,,,,,,,,,,,
2026-08-14,824399,2026-08-14T23:10:00Z,650633,Michael King,Cleveland Guardians,False,0.215,0.241,0.119,0.218,team,1.0,0.218,23.3,5.18,5.07,5.07,5.07,,[],,,,,,0,,,,,,,,,,,
2026-08-14,824643,2026-08-14T18:20:00Z,669461,Matthew Liberatore,Chicago Cubs,False,0.22,0.255,0.108,0.218,team,1.0,0.227,21.8,5.38,4.95,4.95,4.95,,[],,,,,,0,,,,,,,,,,,
2026-08-14,824643,2026-08-14T18:20:00Z,605280,Clay Holmes,St. Louis Cardinals,True,0.209,0.239,0.1,0.204,team,1.0,0.2,23.4,5.09,4.69,4.69,4.69,,[],,,,,,0,,,,,,,,,,,
2026-08-14,823185,2026-08-15T02:15:00Z,694738,Landen Roupp,Colorado Rockies,True,0.236,0.171,0.109,0.226,team,0.98,0.207,22.5,4.83,4.74,4.65,4.65,,[],,,,,,0,,,,,,,,,,,
2026-08-14,823346,2026-08-14T22:40:00Z,696149,Bubba Chandler,Boston Red Sox,True,0.203,0.222,0.113,0.216,team,1.0,0.202,22.5,4.84,4.55,4.55,4.55,,[],,,,,,0,,,,,,,,,,,
2026-08-14,823993,2026-08-15T01:38:00Z,607625,Seth Lugo,Los Angeles Angels,False,0.182,0.148,0.085,0.252,team,1.0,0.188,24.1,3.87,4.53,4.53,4.53,,[],,,,,,0,,,,,,,,,,,
2026-08-14,824159,2026-08-15T00:10:00Z,669923,George Kirby,Houston Astros,False,0.206,0.189,0.116,0.213,team,1.0,0.189,23.7,4.59,4.48,4.48,4.48,,[],,,,,,0,,,,,,,,,,,
2026-08-14,823346,2026-08-14T22:40:00Z,687562,Jake Bennett,Pittsburgh Pirates,False,0.18,0.163,0.124,0.242,team,1.0,0.186,23.9,3.98,4.45,4.45,4.45,,[],,,,,,0,,,,,,,,,,,
2026-08-14,823185,2026-08-15T02:15:00Z,607536,Kyle Freeland,San Francisco Giants,False,0.189,0.198,0.116,0.21,team,0.98,0.177,25.0,4.43,4.51,4.42,4.42,,[],,,,,,0,,,,,,,,,,,
2026-08-14,823993,2026-08-15T01:38:00Z,680570,Grayson Rodriguez,Kansas City Royals,True,0.197,0.241,0.115,0.211,team,1.0,0.201,21.3,4.93,4.29,4.29,4.29,,[],,,,,,0,,,,,,,,,,,
2026-08-14,824237,2026-08-14T22:40:00Z,695549,Jackson Jobe,Chicago White Sox,True,0.25,0.25,0.0,0.24,team,1.0,0.267,16.0,5.75,4.27,4.27,4.27,,[],,,,,,0,,,,,,,,,,,
2026-08-14,823913,2026-08-15T02:10:00Z,688107,Robert Gasser,Los Angeles Dodgers,False,0.213,0.204,0.111,0.205,team,1.02,0.195,21.4,4.82,4.09,4.17,4.17,,[],,,,,,0,,,,,,,,,,,
2026-08-14,822942,2026-08-14T23:10:00Z,571927,Steven Matz,Baltimore Orioles,True,0.181,0.129,0.103,0.243,team,1.0,0.173,23.3,3.69,4.05,4.05,4.05,,[],,,,,,0,,,,,,,,,,,
2026-08-14,822777,2026-08-14T23:15:00Z,669456,Shane Bieber,New York Yankees,True,0.164,0.174,0.102,0.246,team,1.01,0.186,21.7,3.87,3.99,4.03,4.03,,[],,,,,,0,,,,,,,,,,,
