date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_v2bc,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,cal_p_over_v2bc,cal_edge_v2bc
2026-07-03,824982,2026-07-04T01:40:00Z,678022,Jack Perkins,Miami Marlins,True,0.272,0.282,0.139,0.222,lineup,1.0,0.272,28.0,6.34,7.44,7.61,7.22,,"[{""id"": 689414, ""name"": ""Liam Hicks"", ""slot"": 1}, {""id"": 669065, ""name"": ""Kyle Stowers"", ""slot"": 2}, {""id"": 672640, ""name"": ""Otto Lopez"", ""slot"": 3}, {""id"": 669364, ""name"": ""Xavier Edwards"", ""slot"": 4}, {""id"": 681715, ""name"": ""Heriberto Hernández"", ""slot"": 5}, {""id"": 665052, ""name"": ""Griffin Conine"", ""slot"": 6}, {""id"": 683357, ""name"": ""Owen Caissie"", ""slot"": 7}, {""id"": 805300, ""name"": ""Jakob Marsee"", ""slot"": 8}, {""id"": 677870, ""name"": ""Leo Jiménez"", ""slot"": 9}]",5.5,116,fanduel,125,draftkings,5,0.77,0.437,0.333,0.663,-0.483,0.625,0.188,,,0.708,0.271
2026-07-03,823120,2026-07-04T02:10:00Z,656302,Dylan Cease,Seattle Mariners,False,0.367,0.4,0.17,0.23,lineup,1.03,0.401,22.8,8.74,8.87,9.12,8.74,,"[{""id"": 641487, ""name"": ""J.P. Crawford"", ""slot"": 1}, {""id"": 668227, ""name"": ""Randy Arozarena"", ""slot"": 2}, {""id"": 686527, ""name"": ""Dominic Canzone"", ""slot"": 3}, {""id"": 663728, ""name"": ""Cal Raleigh"", ""slot"": 4}, {""id"": 647304, ""name"": ""Josh Naylor"", ""slot"": 5}, {""id"": 670042, ""name"": ""Luke Raley"", ""slot"": 6}, {""id"": 702284, ""name"": ""Cole Young"", ""slot"": 7}, {""id"": 645302, ""name"": ""Victor Robles"", ""slot"": 8}, {""id"": 806068, ""name"": ""Colt Emerson"", ""slot"": 9}]",7.5,-105,betmgm,-103,draftkings,4,0.69,0.5,0.19,0.348,-0.39,0.587,0.087,,,0.657,0.157
2026-07-03,824417,2026-07-03T23:10:00Z,668909,Gavin Williams,Chicago White Sox,True,0.283,0.261,0.145,0.239,lineup,1.0,0.292,23.5,6.3,6.81,6.85,6.47,,"[{""id"": 803011, ""name"": ""Sam Antonacci"", ""slot"": 1}, {""id"": 678246, ""name"": ""Miguel Vargas"", ""slot"": 2}, {""id"": 691019, ""name"": ""Kyle Teel"", ""slot"": 3}, {""id"": 643217, ""name"": ""Andrew Benintendi"", ""slot"": 4}, {""id"": 695657, ""name"": ""Colson Montgomery"", ""slot"": 5}, {""id"": 695731, ""name"": ""Braden Montgomery"", ""slot"": 6}, {""id"": 805367, ""name"": ""Chase Meidroth"", ""slot"": 7}, {""id"": 671976, ""name"": ""Tristan Peters"", ""slot"": 8}, {""id"": 694378, ""name"": ""Jacob Gonzalez"", ""slot"": 9}]",5.5,120,betmgm,130,fanduel,6,0.68,0.572,0.108,0.496,-0.264,0.582,0.01,,,0.646,0.074
2026-07-03,824904,2026-07-03T23:15:00Z,681035,Christian Scott,Atlanta Braves,False,0.27,0.264,0.12,0.208,lineup,1.0,0.248,20.2,6.16,5.07,5.01,4.63,,"[{""id"": 686948, ""name"": ""Drake Baldwin"", ""slot"": 1}, {""id"": 645277, ""name"": ""Ozzie Albies"", ""slot"": 2}, {""id"": 621566, ""name"": ""Matt Olson"", ""slot"": 3}, {""id"": 643289, ""name"": ""Mauricio Dubón"", ""slot"": 4}, {""id"": 671739, ""name"": ""Michael Harris II"", ""slot"": 5}, {""id"": 642086, ""name"": ""Dominic Smith"", ""slot"": 6}, {""id"": 663586, ""name"": ""Austin Riley"", ""slot"": 7}, {""id"": 573262, ""name"": ""Mike Yastrzemski"", ""slot"": 8}, {""id"": 622761, ""name"": ""Jorge Mateo"", ""slot"": 9}]",4.5,-111,fanduel,-110,betmgm,6,0.562,0.5,0.062,0.067,-0.163,0.533,0.033,,,0.564,0.064
2026-07-03,822714,2026-07-03T22:45:00Z,656492,Foster Griffin,Pittsburgh Pirates,True,0.245,0.275,0.12,0.241,lineup,1.0,0.275,23.7,5.91,6.53,6.52,6.14,,"[{""id"": 804606, ""name"": ""Konnor Griffin"", ""slot"": 1}, {""id"": 664040, ""name"": ""Brandon Lowe"", ""slot"": 2}, {""id"": 668804, ""name"": ""Bryan Reynolds"", ""slot"": 3}, {""id"": 699013, ""name"": ""Esmerlyn Valdez"", ""slot"": 4}, {""id"": 656811, ""name"": ""Ryan O'Hearn"", ""slot"": 5}, {""id"": 693304, ""name"": ""Nick Gonzales"", ""slot"": 6}, {""id"": 663968, ""name"": ""Jake Mangum"", ""slot"": 7}, {""id"": 682848, ""name"": ""Endy Rodríguez"", ""slot"": 8}, {""id"": 669707, ""name"": ""Jared Triolo"", ""slot"": 9}]",5.5,107,draftkings,134,fanduel,5,0.634,0.581,0.053,0.313,-0.144,0.563,-0.018,,,0.615,0.034
2026-07-03,823120,2026-07-04T02:10:00Z,622491,Luis Castillo,Toronto Blue Jays,True,0.215,0.225,0.13,0.21,lineup,1.03,0.211,24.5,5.04,4.78,5.18,4.79,,"[{""id"": 664770, ""name"": ""Nathan Lukes"", ""slot"": 1}, {""id"": 665489, ""name"": ""Vladimir Guerrero Jr."", ""slot"": 2}, {""id"": 672960, ""name"": ""Kazuma Okamoto"", ""slot"": 3}, {""id"": 662139, ""name"": ""Daulton Varsho"", ""slot"": 4}, {""id"": 672386, ""name"": ""Alejandro Kirk"", ""slot"": 5}, {""id"": 682818, ""name"": ""Yohendrick Piñango"", ""slot"": 6}, {""id"": 676391, ""name"": ""Ernie Clement"", ""slot"": 7}, {""id"": 815873, ""name"": ""Sean Keys"", ""slot"": 8}, {""id"": 665926, ""name"": ""Andrés Giménez"", ""slot"": 9}]",4.5,-115,betmgm,118,draftkings,5,0.59,0.563,0.027,0.103,-0.106,0.544,-0.019,,,0.582,0.019
2026-07-03,824659,2026-07-03T20:05:00Z,669467,Andre Pallante,Chicago Cubs,False,0.182,0.179,0.097,0.214,team,1.0,0.172,23.9,4.15,4.1,4.1,3.71,,[],3.5,-141,betrivers,120,fanduel,6,0.585,0.566,0.019,0.0,-0.087,0.542,-0.023,,,0.573,0.007
2026-07-03,822714,2026-07-03T22:45:00Z,656605,Mitch Keller,Washington Nationals,False,0.182,0.18,0.1,0.209,lineup,1.0,0.168,23.9,4.16,4.2,4.02,3.64,,"[{""id"": 695578, ""name"": ""James Wood"", ""slot"": 1}, {""id"": 671277, ""name"": ""Luis García Jr."", ""slot"": 2}, {""id"": 677588, ""name"": ""José Tena"", ""slot"": 3}, {""id"": 682928, ""name"": ""CJ Abrams"", ""slot"": 4}, {""id"": 686611, ""name"": ""Dylan Crews"", ""slot"": 5}, {""id"": 695734, ""name"": ""Daylen Lile"", ""slot"": 6}, {""id"": 660688, ""name"": ""Keibert Ruiz"", ""slot"": 7}, {""id"": 678391, ""name"": ""Jorbit Vivas"", ""slot"": 8}, {""id"": 683083, ""name"": ""Nasim Nuñez"", ""slot"": 9}]",3.5,-150,betmgm,128,draftkings,6,0.571,0.575,-0.004,-0.048,-0.022,0.537,-0.038,,,0.564,-0.011
2026-07-03,824982,2026-07-04T01:40:00Z,663969,Tyler Phillips,Athletics,False,0.179,0.144,0.116,0.207,lineup,1.0,0.152,28.0,3.8,4.62,4.26,3.88,,"[{""id"": 701762, ""name"": ""Nick Kurtz"", ""slot"": 1}, {""id"": 669127, ""name"": ""Shea Langeliers"", ""slot"": 2}, {""id"": 671732, ""name"": ""Lawrence Butler"", ""slot"": 3}, {""id"": 687515, ""name"": ""Colby Thomas"", ""slot"": 4}, {""id"": 811965, ""name"": ""Joshua Kuroda-Grauer"", ""slot"": 5}, {""id"": 666126, ""name"": ""Carlos Cortes"", ""slot"": 6}, {""id"": 703607, ""name"": ""Henry Bolte"", ""slot"": 7}, {""id"": 643446, ""name"": ""Jeff McNeil"", ""slot"": 8}, {""id"": 675961, ""name"": ""Alika Williams"", ""slot"": 9}]",4.5,122,fanduel,120,betmgm,4,0.422,0.432,-0.01,-0.064,0.272,0.477,0.045,,,0.471,0.039
2026-07-03,824013,2026-07-04T01:38:00Z,672282,Reid Detmers,Boston Red Sox,True,0.276,0.254,0.141,0.239,lineup,1.0,0.283,23.8,6.15,6.22,6.74,6.35,,"[{""id"": 681987, ""name"": ""Nate Eaton"", ""slot"": 1}, {""id"": 678882, ""name"": ""Ceddanne Rafaela"", ""slot"": 2}, {""id"": 677800, ""name"": ""Wilyer Abreu"", ""slot"": 3}, {""id"": 575929, ""name"": ""Willson Contreras"", ""slot"": 4}, {""id"": 702332, ""name"": ""Caleb Durbin"", ""slot"": 5}, {""id"": 663853, ""name"": ""Romy Gonzalez"", ""slot"": 6}, {""id"": 680776, ""name"": ""Jarren Duran"", ""slot"": 7}, {""id"": 655316, ""name"": ""Andruw Monasterio"", ""slot"": 8}, {""id"": 665966, ""name"": ""Carlos Narváez"", ""slot"": 9}]",6.5,-122,fanduel,115,draftkings,6,0.51,0.526,-0.016,-0.071,0.053,0.513,-0.013,,,0.537,0.011
2026-07-03,824336,2026-07-04T00:10:00Z,657277,Logan Webb,Colorado Rockies,False,0.211,0.218,0.097,0.22,lineup,0.92,0.192,26.1,4.91,5.71,5.01,4.63,,"[{""id"": 664983, ""name"": ""Jake McCarthy"", ""slot"": 1}, {""id"": 666160, ""name"": ""Mickey Moniak"", ""slot"": 2}, {""id"": 696100, ""name"": ""Hunter Goodman"", ""slot"": 3}, {""id"": 681198, ""name"": ""TJ Rumfield"", ""slot"": 4}, {""id"": 694249, ""name"": ""Cole Carrigg"", ""slot"": 5}, {""id"": 671289, ""name"": ""Tyler Freeman"", ""slot"": 6}, {""id"": 666397, ""name"": ""Edouard Julien"", ""slot"": 7}, {""id"": 691720, ""name"": ""Kyle Karros"", ""slot"": 8}, {""id"": 678662, ""name"": ""Ezequiel Tovar"", ""slot"": 9}]",4.5,123,draftkings,128,fanduel,4,0.562,0.584,-0.022,0.253,-0.002,0.533,-0.051,,,0.564,-0.02
2026-07-03,823933,2026-07-04T02:10:00Z,660271,Shohei Ohtani,San Diego Padres,True,0.275,0.26,0.145,0.227,team,1.02,0.276,24.3,6.19,6.58,6.71,6.32,,[],6.5,-120,fanatics,109,draftkings,5,0.506,0.529,-0.023,-0.073,0.033,0.511,-0.018,,,0.534,0.005
2026-07-03,824498,2026-07-03T23:10:00Z,663903,Brady Singer,Baltimore Orioles,True,0.184,0.252,0.107,0.24,lineup,1.0,0.225,22.4,4.86,5.12,5.05,4.67,,"[{""id"": 683002, ""name"": ""Gunnar Henderson"", ""slot"": 1}, {""id"": 668939, ""name"": ""Adley Rutschman"", ""slot"": 2}, {""id"": 621493, ""name"": ""Taylor Ward"", ""slot"": 3}, {""id"": 624413, ""name"": ""Pete Alonso"", ""slot"": 4}, {""id"": 694212, ""name"": ""Samuel Basallo"", ""slot"": 5}, {""id"": 687637, ""name"": ""Dylan Beavers"", ""slot"": 6}, {""id"": 681297, ""name"": ""Colton Cowser"", ""slot"": 7}, {""id"": 677942, ""name"": ""Blaze Alexander"", ""slot"": 8}, {""id"": 702616, ""name"": ""Jackson Holliday"", ""slot"": 9}]",5.5,124,fanduel,120,betrivers,5,0.393,0.439,-0.046,-0.12,0.335,0.465,0.026,,,0.456,0.017
