date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,slate_line,slate_over_odds,slate_under_odds,slate_p_over,slate_novig_over,slate_edge,slate_cal_p_over_v2,slate_cal_edge_v2,slate_cal_p_over_ml,slate_cal_edge_ml,slate_over_hit,slate_over_pnl,slate_under_pnl,actual_ks,actual_bf,gs,over_hit,error_v0,error_v1,error_v2,error_ml,over_pnl,under_pnl
2026-05-24,823459,2026-05-24T17:35:00Z,691725,Andrew Painter,Cleveland Guardians,True,0.191,0.188,0.105,0.189,lineup,1.0,0.159,21.3,4.36,3.58,3.39,,"[{""id"": 683953, ""name"": ""Travis Bazzana"", ""slot"": 1}, {""id"": 608070, ""name"": ""José Ramírez"", ""slot"": 2}, {""id"": 800050, ""name"": ""Chase DeLauter"", ""slot"": 3}, {""id"": 656555, ""name"": ""Rhys Hoskins"", ""slot"": 4}, {""id"": 682177, ""name"": ""Daniel Schneemann"", ""slot"": 5}, {""id"": 681807, ""name"": ""David Fry"", ""slot"": 6}, {""id"": 680757, ""name"": ""Steven Kwan"", ""slot"": 7}, {""id"": 595978, ""name"": ""Austin Hedges"", ""slot"": 8}, {""id"": 677587, ""name"": ""Brayan Rocchio"", ""slot"": 9}]",3.5,-144,fanduel,255,betrivers,5,0.439,0.575,-0.136,-0.256,0.992,0.503,-0.072,,,3.5,-144,255,0.456,0.575,-0.119,0.508,-0.067,,,0,-1.0,2.55,3,24,1,0,-1.36,-0.58,-0.39,,-1.0,2.55
2026-05-24,824676,2026-05-24T18:20:00Z,684007,Shota Imanaga,Houston Astros,True,0.263,0.233,0.156,0.222,lineup,1.0,0.248,21.1,5.77,5.02,5.23,,"[{""id"": 694728, ""name"": ""Brice Matthews"", ""slot"": 1}, {""id"": 665161, ""name"": ""Jeremy Peña"", ""slot"": 2}, {""id"": 572233, ""name"": ""Christian Walker"", ""slot"": 3}, {""id"": 670623, ""name"": ""Isaac Paredes"", ""slot"": 4}, {""id"": 676694, ""name"": ""Jake Meyers"", ""slot"": 5}, {""id"": 701358, ""name"": ""Cam Smith"", ""slot"": 6}, {""id"": 701305, ""name"": ""Zach Dezenzo"", ""slot"": 7}, {""id"": 543877, ""name"": ""Christian Vázquez"", ""slot"": 8}, {""id"": 669397, ""name"": ""Nick Allen"", ""slot"": 9}]",5.5,148,betrivers,124,fanduel,6,0.425,0.572,-0.147,0.053,0.289,0.5,-0.072,,,5.5,148,124,0.533,0.572,-0.039,0.527,-0.045,,,1,1.48,-1.0,6,26,1,1,0.23,0.98,0.77,,1.48,-1.0
2026-05-24,824839,2026-05-24T16:35:00Z,687064,Brandon Young,Detroit Tigers,True,0.16,0.16,0.112,0.212,lineup,1.0,0.151,23.4,3.68,3.85,3.53,,"[{""id"": 656716, ""name"": ""Zach McKinstry"", ""slot"": 1}, {""id"": 805808, ""name"": ""Kevin McGonigle"", ""slot"": 2}, {""id"": 693307, ""name"": ""Dillon Dingler"", ""slot"": 3}, {""id"": 682985, ""name"": ""Riley Greene"", ""slot"": 4}, {""id"": 663837, ""name"": ""Matt Vierling"", ""slot"": 5}, {""id"": 690993, ""name"": ""Colt Keith"", ""slot"": 6}, {""id"": 672761, ""name"": ""Wenceel Pérez"", ""slot"": 7}, {""id"": 668670, ""name"": ""Jake Rogers"", ""slot"": 8}, {""id"": 670097, ""name"": ""Zack Short"", ""slot"": 9}]",4.5,116,fanduel,-135,betmgm,6,0.28,0.443,-0.163,-0.396,0.254,0.459,0.016,,,4.5,116,-135,0.291,0.443,-0.152,0.463,0.02,,,0,-1.0,0.741,4,28,1,0,0.32,0.15,0.47,,-1.0,0.741
2026-05-24,825081,2026-05-24T20:10:00Z,669194,Ryne Nelson,Colorado Rockies,True,0.206,0.205,0.125,0.192,lineup,1.0,0.175,23.5,4.73,5.25,4.13,,"[{""id"": 664983, ""name"": ""Jake McCarthy"", ""slot"": 1}, {""id"": 671289, ""name"": ""Tyler Freeman"", ""slot"": 2}, {""id"": 681198, ""name"": ""TJ Rumfield"", ""slot"": 3}, {""id"": 687859, ""name"": ""Troy Johnston"", ""slot"": 4}, {""id"": 678662, ""name"": ""Ezequiel Tovar"", ""slot"": 5}, {""id"": 694514, ""name"": ""Sterlin Thompson"", ""slot"": 6}, {""id"": 666397, ""name"": ""Edouard Julien"", ""slot"": 7}, {""id"": 691720, ""name"": ""Kyle Karros"", ""slot"": 8}, {""id"": 664954, ""name"": ""Brett Sullivan"", ""slot"": 9}]",4.5,-160,fanduel,265,betrivers,5,0.397,0.586,-0.189,-0.355,1.202,0.492,-0.094,,,4.5,-160,265,0.397,0.586,-0.189,0.492,-0.094,,,0,-1.0,2.65,3,31,1,0,-1.73,-2.25,-1.13,,-1.0,2.65
2026-05-24,823220,2026-05-24T20:05:00Z,592662,Robbie Ray,Chicago White Sox,True,0.218,0.165,0.125,0.247,lineup,0.98,0.212,22.9,4.53,4.95,4.87,,"[{""id"": 805367, ""name"": ""Chase Meidroth"", ""slot"": 1}, {""id"": 808959, ""name"": ""Munetaka Murakami"", ""slot"": 2}, {""id"": 678246, ""name"": ""Miguel Vargas"", ""slot"": 3}, {""id"": 545341, ""name"": ""Randal Grichuk"", ""slot"": 4}, {""id"": 695657, ""name"": ""Colson Montgomery"", ""slot"": 5}, {""id"": 700337, ""name"": ""Edgar Quero"", ""slot"": 6}, {""id"": 656537, ""name"": ""Derek Hill"", ""slot"": 7}, {""id"": 671976, ""name"": ""Tristan Peters"", ""slot"": 8}, {""id"": 682668, ""name"": ""Luisangel Acuña"", ""slot"": 9}]",5.5,130,betmgm,125,betrivers,6,0.361,0.563,-0.202,-0.169,0.437,0.483,-0.08,,,5.5,130,125,0.361,0.563,-0.202,0.483,-0.08,,,0,-1.0,1.25,3,21,1,0,-1.53,-1.95,-1.87,,-1.0,1.25
2026-05-24,823297,2026-05-24T20:10:00Z,650633,Michael King,Athletics,True,0.258,0.282,0.129,0.17,lineup,1.02,0.206,23.1,6.15,6.1,4.77,,"[{""id"": 666126, ""name"": ""Carlos Cortes"", ""slot"": 1}, {""id"": 701762, ""name"": ""Nick Kurtz"", ""slot"": 2}, {""id"": 669127, ""name"": ""Shea Langeliers"", ""slot"": 3}, {""id"": 691016, ""name"": ""Tyler Soderstrom"", ""slot"": 4}, {""id"": 641680, ""name"": ""Jonah Heim"", ""slot"": 5}, {""id"": 680869, ""name"": ""Zack Gelof"", ""slot"": 6}, {""id"": 643446, ""name"": ""Jeff McNeil"", ""slot"": 7}, {""id"": 703607, ""name"": ""Henry Bolte"", ""slot"": 8}, {""id"": 675961, ""name"": ""Alika Williams"", ""slot"": 9}]",5.5,124,draftkings,122,fanduel,6,0.343,0.549,-0.206,-0.232,0.459,0.478,-0.071,,,5.5,124,122,0.343,0.549,-0.206,0.478,-0.071,,,0,-1.0,1.22,4,19,1,0,-2.15,-2.1,-0.77,,-1.0,1.22
2026-05-24,824514,2026-05-24T17:40:00Z,663903,Brady Singer,St. Louis Cardinals,True,0.157,0.17,0.101,0.209,team,1.0,0.151,21.4,3.73,3.23,3.23,,[],4.5,100,fanduel,175,betrivers,6,0.225,0.478,-0.253,-0.55,1.131,0.441,-0.037,,,,,,,,,,,,,,,,,,0,,,,,,,
2026-05-24,823786,2026-05-24T18:10:00Z,808967,Yoshinobu Yamamoto,Milwaukee Brewers,False,0.252,0.283,0.148,0.195,lineup,1.0,0.229,21.2,6.08,5.06,4.87,,"[{""id"": 694192, ""name"": ""Jackson Chourio"", ""slot"": 1}, {""id"": 668930, ""name"": ""Brice Turang"", ""slot"": 2}, {""id"": 661388, ""name"": ""William Contreras"", ""slot"": 3}, {""id"": 641343, ""name"": ""Jake Bauers"", ""slot"": 4}, {""id"": 683734, ""name"": ""Andrew Vaughn"", ""slot"": 5}, {""id"": 669003, ""name"": ""Garrett Mitchell"", ""slot"": 6}, {""id"": 686217, ""name"": ""Sal Frelick"", ""slot"": 7}, {""id"": 687401, ""name"": ""Joey Ortiz"", ""slot"": 8}, {""id"": 666152, ""name"": ""David Hamilton"", ""slot"": 9}]",6.5,101,draftkings,-125,betmgm,5,0.219,0.476,-0.257,-0.56,0.406,0.439,-0.037,,,6.5,101,-125,0.342,0.476,-0.134,0.478,0.002,,,0,-1.0,0.8,3,27,1,0,-3.08,-2.06,-1.87,,-1.0,0.8
2026-05-24,824759,2026-05-24T17:35:00Z,641927,Bailey Ober,Boston Red Sox,False,0.171,0.131,0.095,0.202,lineup,0.96,0.133,21.7,3.56,3.33,2.89,,"[{""id"": 680776, ""name"": ""Jarren Duran"", ""slot"": 1}, {""id"": 678882, ""name"": ""Ceddanne Rafaela"", ""slot"": 2}, {""id"": 677800, ""name"": ""Wilyer Abreu"", ""slot"": 3}, {""id"": 575929, ""name"": ""Willson Contreras"", ""slot"": 4}, {""id"": 807799, ""name"": ""Masataka Yoshida"", ""slot"": 5}, {""id"": 686765, ""name"": ""Nick Sogard"", ""slot"": 6}, {""id"": 665966, ""name"": ""Carlos Narváez"", ""slot"": 7}, {""id"": 691785, ""name"": ""Marcelo Mayer"", ""slot"": 8}, {""id"": 702332, ""name"": ""Caleb Durbin"", ""slot"": 9}]",4.5,121,draftkings,160,betrivers,5,0.166,0.445,-0.279,-0.633,1.168,0.418,-0.027,,,4.5,121,160,0.219,0.445,-0.226,0.439,-0.006,,,0,-1.0,1.6,3,22,1,0,-0.56,-0.33,0.11,,-1.0,1.6
2026-05-24,824759,2026-05-24T17:35:00Z,543243,Sonny Gray,Minnesota Twins,True,0.189,0.253,0.095,0.217,lineup,0.96,0.198,18.6,4.93,4.03,3.7,,"[{""id"": 668885, ""name"": ""Austin Martin"", ""slot"": 1}, {""id"": 686797, ""name"": ""Brooks Lee"", ""slot"": 2}, {""id"": 663616, ""name"": ""Trevor Larnach"", ""slot"": 3}, {""id"": 605137, ""name"": ""Josh Bell"", ""slot"": 4}, {""id"": 665019, ""name"": ""Kody Clemens"", ""slot"": 5}, {""id"": 605170, ""name"": ""Victor Caratini"", ""slot"": 6}, {""id"": 606115, ""name"": ""Orlando Arcia"", ""slot"": 7}, {""id"": 681546, ""name"": ""James Outman"", ""slot"": 8}, {""id"": 668952, ""name"": ""Ryan Kreidler"", ""slot"": 9}]",5.5,104,fanduel,325,betrivers,6,0.169,0.475,-0.306,-0.654,2.53,0.42,-0.055,,,5.5,104,325,0.152,0.475,-0.323,0.412,-0.063,,,0,-1.0,3.25,4,19,1,0,-0.93,-0.03,0.3,,-1.0,3.25
2026-05-24,823861,2026-05-24T17:40:00Z,663969,Tyler Phillips,New York Mets,True,0.221,0.333,0.133,0.233,lineup,1.0,0.276,28.0,6.12,7.1,7.72,,"[{""id"": 701807, ""name"": ""Carson Benge"", ""slot"": 1}, {""id"": 666182, ""name"": ""Bo Bichette"", ""slot"": 2}, {""id"": 805999, ""name"": ""A.J. Ewing"", ""slot"": 3}, {""id"": 668901, ""name"": ""Mark Vientos"", ""slot"": 4}, {""id"": 683146, ""name"": ""Brett Baty"", ""slot"": 5}, {""id"": 543760, ""name"": ""Marcus Semien"", ""slot"": 6}, {""id"": 669004, ""name"": ""MJ Melendez"", ""slot"": 7}, {""id"": 621438, ""name"": ""Tyrone Taylor"", ""slot"": 8}, {""id"": 663584, ""name"": ""Hayden Senger"", ""slot"": 9}]",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,16,1,,-2.12,-3.1,-3.72,,,
2026-05-24,823297,2026-05-24T20:10:00Z,665622,Luis Medina,San Diego Padres,False,0.228,0.0,0.117,0.223,lineup,1.02,0.231,23.0,5.24,5.38,5.31,,"[{""id"": 665487, ""name"": ""Fernando Tatis Jr."", ""slot"": 1}, {""id"": 609280, ""name"": ""Miguel Andujar"", ""slot"": 2}, {""id"": 657757, ""name"": ""Gavin Sheets"", ""slot"": 3}, {""id"": 592518, ""name"": ""Manny Machado"", ""slot"": 4}, {""id"": 593428, ""name"": ""Xander Bogaerts"", ""slot"": 5}, {""id"": 701538, ""name"": ""Jackson Merrill"", ""slot"": 6}, {""id"": 657656, ""name"": ""Ramón Laureano"", ""slot"": 7}, {""id"": 664034, ""name"": ""Ty France"", ""slot"": 8}, {""id"": 660710, ""name"": ""Rodolfo Durán"", ""slot"": 9}]",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,5,1,,-4.24,-4.38,-4.31,,,
2026-05-24,824840,2026-05-24T22:05:00Z,669432,Trevor Rogers,Detroit Tigers,True,0.188,0.19,0.126,0.231,team,1.0,0.193,21.2,4.34,4.1,4.1,,[],,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,20,1,,-2.34,-2.1,-2.1,,,
