date,section,rank,leg_count,leg1_pitcher,leg1_pitcher_id,leg1_dir,leg1_line,leg1_odds,leg1_p_hit,leg1_novig_p,leg2_pitcher,leg2_pitcher_id,leg2_dir,leg2_line,leg2_odds,leg2_p_hit,leg2_novig_p,leg3_pitcher,leg3_pitcher_id,leg3_dir,leg3_line,leg3_odds,leg3_p_hit,leg3_novig_p,combined_amer,combined_dec,combined_hit,combined_novig,combined_edge,ev,overlaps_top_2leg,leg1_actual_ks,leg1_hit,leg2_actual_ks,leg2_hit,leg3_actual_ks,leg3_hit,parlay_hit,realized_pnl
2026-05-30,two_leg,1,2,Sonny Gray,543243,under,4.5,119.0,0.705,0.437,Tyler Phillips,663969,over,3.5,105.0,0.796,0.499,,,,,,,,349,4.4895,0.56118,0.218063,0.343117,1.519418,,7,0,2,0,,,0,-1.0
2026-05-30,two_leg,2,2,Kumar Rocker,677958,over,4.5,310.0,0.367,0.4,Peter Lambert,663567,over,5.5,215.0,0.44,0.425,,,,,,,,1192,12.915,0.16148,0.17,-0.00852,1.085514,,2,0,3,0,,,0,-1.0
2026-05-30,two_leg,3,2,Foster Griffin,656492,over,5.5,134.0,0.541,0.433,Brandon Young,687064,under,3.5,110.0,0.637,0.458,,,,,,,,391,4.914,0.344617,0.198314,0.146303,0.693448,,5,0,7,0,,,0,-1.0
2026-05-30,three_leg,1,3,Sonny Gray,543243,under,4.5,119.0,0.705,0.437,Tyler Phillips,663969,over,3.5,105.0,0.796,0.499,Kumar Rocker,677958,over,4.5,310.0,0.367,0.4,1741,18.40695,0.205953,0.087225,0.118728,2.790968,Sonny Gray,7,0,2,0,2,0,0,-1.0
2026-05-30,three_leg,2,3,Foster Griffin,656492,over,5.5,134.0,0.541,0.433,Brandon Young,687064,under,3.5,110.0,0.637,0.458,Peter Lambert,663567,over,5.5,215.0,0.44,0.425,1448,15.4791,0.151631,0.084283,0.067348,1.347119,,5,0,7,0,3,0,0,-1.0
