date,section,rank,leg_count,leg1_pitcher,leg1_pitcher_id,leg1_dir,leg1_line,leg1_odds,leg1_p_hit,leg1_novig_p,leg2_pitcher,leg2_pitcher_id,leg2_dir,leg2_line,leg2_odds,leg2_p_hit,leg2_novig_p,leg3_pitcher,leg3_pitcher_id,leg3_dir,leg3_line,leg3_odds,leg3_p_hit,leg3_novig_p,combined_amer,combined_dec,combined_hit,combined_novig,combined_edge,ev,ud_payout,ev_ud,ev_ud_boost,overlaps_top_2leg
2026-07-07,two_leg,1,2,Hurston Waldrep,694462,over,4.5,100.0,0.659,0.478,Zac Gallen,668678,under,3.5,125.0,0.565,0.466,,,,,,,,350,4.5,0.372335,0.222748,0.149587,0.675507,3.0,0.117005,0.452106,
2026-07-07,two_leg,2,2,Seth Lugo,607625,under,4.5,116.0,0.561,0.45,José Soriano,667755,over,5.5,111.0,0.536,0.461,,,,,,,,356,4.5576,0.300696,0.20745,0.093246,0.370452,3.0,-0.097912,0.172714,
2026-07-07,two_leg,3,2,Max Meyer,676974,over,6.5,124.0,0.514,0.424,Taj Bradley,671737,over,6.5,120.0,0.501,0.436,,,,,,,,393,4.928,0.257514,0.184864,0.07265,0.269029,3.0,-0.227458,0.004305,
2026-07-07,three_leg,1,3,Hurston Waldrep,694462,over,4.5,100.0,0.659,0.478,Zac Gallen,668678,under,3.5,125.0,0.565,0.466,Seth Lugo,607625,under,4.5,116.0,0.561,0.45,872,9.72,0.20888,0.100237,0.108643,1.030313,6.0,0.25328,0.629263,Hurston Waldrep
2026-07-07,three_leg,2,3,José Soriano,667755,over,5.5,111.0,0.536,0.461,Max Meyer,676974,over,6.5,124.0,0.514,0.424,Taj Bradley,671737,over,6.5,120.0,0.501,0.436,940,10.39808,0.138028,0.085222,0.052805,0.435221,6.0,-0.171835,0.076615,
