date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under
2026-05-03,822987,2026-05-03T17:40:00Z,571927,Steven Matz,San Francisco Giants,True,0.213,0.236,0.114,0.215,lineup,1.0,0.212,21.2,5.1,4.6,4.5,"[{""id"": 671218, ""name"": ""Heliot Ramos"", ""slot"": 1}, {""id"": 646240, ""name"": ""Rafael Devers"", ""slot"": 2}, {""id"": 669477, ""name"": ""Casey Schmitt"", ""slot"": 3}, {""id"": 650333, ""name"": ""Luis Arraez"", ""slot"": 4}, {""id"": 656305, ""name"": ""Matt Chapman"", ""slot"": 5}, {""id"": 642715, ""name"": ""Willy Adames"", ""slot"": 6}, {""id"": 808982, ""name"": ""Jung Hoo Lee"", ""slot"": 7}, {""id"": 666464, ""name"": ""Jerar Encarnacion"", ""slot"": 8}, {""id"": 606992, ""name"": ""Eric Haase"", ""slot"": 9}]",4.5,110,draftkings,165,betrivers,7,0.468,0.462,0.006,-0.017,0.41
2026-05-03,824285,2026-05-03T23:20:00Z,683004,Jack Leiter,Detroit Tigers,False,0.239,0.219,0.141,0.213,team,1.0,0.234,22.9,5.32,5.02,5.36,[],5.5,125,betrivers,130,bovada,7,0.448,0.443,0.005,0.007,0.27
2026-05-03,824043,2026-05-03T20:07:00Z,605280,Clay Holmes,Los Angeles Angels,False,0.176,0.168,0.105,0.254,team,1.0,0.208,23.7,3.98,4.63,4.94,[],4.5,-135,betmgm,111,draftkings,6,0.549,0.552,-0.003,-0.044,-0.048
2026-05-03,823145,2026-05-03T20:10:00Z,622491,Luis Castillo,Kansas City Royals,True,0.194,0.168,0.121,0.226,team,1.03,0.21,22.4,4.22,4.14,4.7,[],4.5,-120,betmgm,100,draftkings,6,0.506,0.524,-0.018,-0.072,-0.012
2026-05-03,824364,2026-05-03T19:10:00Z,675911,Spencer Strider,Colorado Rockies,False,0.0,0.0,0.0,0.251,team,0.92,0.231,23.0,0.0,5.78,5.32,[],5.5,116,fanduel,-120,betmgm,6,0.44,0.462,-0.022,-0.05,0.027
2026-05-03,824364,2026-05-03T19:10:00Z,607536,Kyle Freeland,Atlanta Braves,True,0.195,0.195,0.122,0.196,team,0.92,0.168,21.8,4.49,3.7,3.66,[],3.5,-125,bovada,113,draftkings,6,0.497,0.533,-0.036,-0.105,0.071
2026-05-03,822987,2026-05-03T17:40:00Z,641816,Tyler Mahle,Tampa Bay Rays,False,0.213,0.202,0.084,0.196,lineup,1.0,0.168,23.1,4.8,4.12,3.89,"[{""id"": 802415, ""name"": ""Chandler Simpson"", ""slot"": 1}, {""id"": 691406, ""name"": ""Junior Caminero"", ""slot"": 2}, {""id"": 666018, ""name"": ""Jonathan Aranda"", ""slot"": 3}, {""id"": 668723, ""name"": ""Ryan Vilade"", ""slot"": 4}, {""id"": 641584, ""name"": ""Jake Fraley"", ""slot"": 5}, {""id"": 810938, ""name"": ""Ben Williamson"", ""slot"": 6}, {""id"": 656775, ""name"": ""Cedric Mullins"", ""slot"": 7}, {""id"": 663743, ""name"": ""Nick Fortes"", ""slot"": 8}, {""id"": 670764, ""name"": ""Taylor Walls"", ""slot"": 9}]",4.5,123,betrivers,120,betmgm,7,0.349,0.427,-0.078,-0.221,0.432
2026-05-03,824687,2026-05-03T18:20:00Z,518876,Merrill Kelly,Chicago Cubs,False,0.122,0.122,0.117,0.202,lineup,1.0,0.143,24.7,2.8,2.74,3.52,"[{""id"": 663538, ""name"": ""Nico Hoerner"", ""slot"": 1}, {""id"": 694208, ""name"": ""Moisés Ballesteros"", ""slot"": 2}, {""id"": 608324, ""name"": ""Alex Bregman"", ""slot"": 3}, {""id"": 664023, ""name"": ""Ian Happ"", ""slot"": 4}, {""id"": 673548, ""name"": ""Seiya Suzuki"", ""slot"": 5}, {""id"": 683737, ""name"": ""Michael Busch"", ""slot"": 6}, {""id"": 608348, ""name"": ""Carson Kelly"", ""slot"": 7}, {""id"": 691718, ""name"": ""Pete Crow-Armstrong"", ""slot"": 8}, {""id"": 621020, ""name"": ""Dansby Swanson"", ""slot"": 9}]",3.5,150,betrivers,120,draftkings,7,0.468,0.563,-0.095,0.169,0.171
2026-05-03,825013,2026-05-03T20:05:00Z,650644,Aaron Civale,Cleveland Guardians,True,0.182,0.188,0.094,0.208,team,1.0,0.17,22.2,4.23,3.77,3.76,[],4.5,125,draftkings,-150,bovada,6,0.325,0.433,-0.108,-0.269,0.125
2026-05-03,823555,2026-05-03T17:35:00Z,608331,Max Fried,Baltimore Orioles,True,0.209,0.209,0.102,0.228,lineup,1.0,0.208,25.5,4.81,5.8,5.31,"[{""id"": 621493, ""name"": ""Taylor Ward"", ""slot"": 1}, {""id"": 668939, ""name"": ""Adley Rutschman"", ""slot"": 2}, {""id"": 624413, ""name"": ""Pete Alonso"", ""slot"": 3}, {""id"": 641933, ""name"": ""Tyler O'Neill"", ""slot"": 4}, {""id"": 691723, ""name"": ""Coby Mayo"", ""slot"": 5}, {""id"": 665750, ""name"": ""Leody Taveras"", ""slot"": 6}, {""id"": 669236, ""name"": ""Jeremiah Jackson"", ""slot"": 7}, {""id"": 642215, ""name"": ""Weston Wilson"", ""slot"": 8}, {""id"": 677942, ""name"": ""Blaze Alexander"", ""slot"": 9}]",5.5,143,betrivers,115,betmgm,7,0.438,0.554,-0.116,0.064,0.208
