date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_v2bc,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,cal_p_over_v2bc,cal_edge_v2bc
2026-06-21,824260,2026-06-21T17:40:00Z,663436,Davis Martin,Detroit Tigers,False,0.249,0.202,0.136,0.342,lineup,1.0,0.35,23.8,5.28,5.62,8.33,8.02,,"[{""id"": 805808, ""name"": ""Kevin McGonigle"", ""slot"": 1}, {""id"": 693307, ""name"": ""Dillon Dingler"", ""slot"": 2}, {""id"": 681481, ""name"": ""Kerry Carpenter"", ""slot"": 3}, {""id"": 682985, ""name"": ""Riley Greene"", ""slot"": 4}, {""id"": 679529, ""name"": ""Spencer Torkelson"", ""slot"": 5}, {""id"": 690993, ""name"": ""Colt Keith"", ""slot"": 6}, {""id"": 681546, ""name"": ""James Outman"", ""slot"": 7}, {""id"": 669360, ""name"": ""Trei Cruz"", ""slot"": 8}, {""id"": 656716, ""name"": ""Zach McKinstry"", ""slot"": 9}]",5.5,125,bovada,-140,betmgm,6,0.838,0.424,0.414,0.884,-0.721,0.66,0.236,,,0.77,0.346
2026-06-21,824177,2026-06-21T18:10:00Z,678906,Kai-Wei Teng,Cleveland Guardians,True,0.247,0.255,0.116,0.298,lineup,1.0,0.331,26.4,5.75,6.29,8.75,8.43,,"[{""id"": 683953, ""name"": ""Travis Bazzana"", ""slot"": 1}, {""id"": 700932, ""name"": ""Kyle Manzardo"", ""slot"": 2}, {""id"": 677587, ""name"": ""Brayan Rocchio"", ""slot"": 3}, {""id"": 672356, ""name"": ""Gabriel Arias"", ""slot"": 4}, {""id"": 682177, ""name"": ""Daniel Schneemann"", ""slot"": 5}, {""id"": 696135, ""name"": ""Kahlil Watson"", ""slot"": 6}, {""id"": 680757, ""name"": ""Steven Kwan"", ""slot"": 7}, {""id"": 672275, ""name"": ""Patrick Bailey"", ""slot"": 8}, {""id"": 690984, ""name"": ""Petey Halpin"", ""slot"": 9}]",5.5,105,betmgm,-118,fanduel,7,0.868,0.471,0.397,0.779,-0.756,0.681,0.21,,,0.796,0.325
2026-06-21,824987,2026-06-21T20:05:00Z,678022,Jack Perkins,Los Angeles Angels,True,0.263,0.262,0.141,0.247,team,1.0,0.289,28.0,6.05,8.1,8.1,7.78,,[],5.5,106,fanduel,135,betmgm,7,0.817,0.462,0.355,0.684,-0.571,0.648,0.186,,,0.755,0.293
2026-06-21,822968,2026-06-21T17:40:00Z,674841,Andrew Alvarez,Tampa Bay Rays,False,0.256,0.246,0.127,0.178,lineup,1.0,0.199,28.0,5.8,5.96,5.57,5.26,,"[{""id"": 650490, ""name"": ""Yandy Díaz"", ""slot"": 1}, {""id"": 676356, ""name"": ""Jonny DeLuca"", ""slot"": 2}, {""id"": 666018, ""name"": ""Jonathan Aranda"", ""slot"": 3}, {""id"": 691406, ""name"": ""Junior Caminero"", ""slot"": 4}, {""id"": 668723, ""name"": ""Ryan Vilade"", ""slot"": 5}, {""id"": 810938, ""name"": ""Ben Williamson"", ""slot"": 6}, {""id"": 802415, ""name"": ""Chandler Simpson"", ""slot"": 7}, {""id"": 663743, ""name"": ""Nick Fortes"", ""slot"": 8}, {""id"": 670764, ""name"": ""Taylor Walls"", ""slot"": 9}]",4.5,134,fanduel,123,betrivers,5,0.654,0.42,0.234,0.53,-0.228,0.57,0.15,,,0.64,0.22
2026-06-21,824095,2026-06-21T18:10:00Z,669160,Dustin May,Kansas City Royals,False,0.228,0.323,0.105,0.223,lineup,1.0,0.264,24.0,6.11,5.91,6.34,6.02,,"[{""id"": 695600, ""name"": ""Carter Jensen"", ""slot"": 1}, {""id"": 672580, ""name"": ""Maikel Garcia"", ""slot"": 2}, {""id"": 695506, ""name"": ""Jac Caglianone"", ""slot"": 3}, {""id"": 521692, ""name"": ""Salvador Perez"", ""slot"": 4}, {""id"": 686681, ""name"": ""Michael Massey"", ""slot"": 5}, {""id"": 657041, ""name"": ""Lane Thomas"", ""slot"": 6}, {""id"": 670224, ""name"": ""Kameron Misner"", ""slot"": 7}, {""id"": 679845, ""name"": ""Nick Loftin"", ""slot"": 8}, {""id"": 686555, ""name"": ""Isaac Collins"", ""slot"": 9}]",5.5,115,fanatics,-140,betmgm,7,0.607,0.445,0.162,0.304,-0.326,0.551,0.106,,,0.613,0.168
2026-06-21,823449,2026-06-21T23:20:00Z,656849,David Peterson,Philadelphia Phillies,False,0.194,0.217,0.103,0.231,team,1.0,0.209,28.0,4.68,5.85,5.85,5.53,,[],4.5,-130,betrivers,111,draftkings,5,0.695,0.542,0.153,0.229,-0.356,0.587,0.045,,,0.666,0.124
2026-06-21,825067,2026-06-21T19:15:00Z,702474,Mike Paredes,Arizona Diamondbacks,False,0.159,0.194,0.099,0.2,team,1.0,0.153,25.1,3.97,3.85,3.85,3.53,,[],2.5,-166,draftkings,130,draftkings,2,0.739,0.59,0.149,0.184,-0.399,0.607,0.017,,,0.689,0.098
2026-06-21,824664,2026-06-21T18:20:00Z,656302,Dylan Cease,Chicago Cubs,False,0.363,0.393,0.174,0.207,lineup,1.0,0.344,22.9,8.62,8.02,7.9,7.58,,"[{""id"": 691718, ""name"": ""Pete Crow-Armstrong"", ""slot"": 1}, {""id"": 608324, ""name"": ""Alex Bregman"", ""slot"": 2}, {""id"": 683737, ""name"": ""Michael Busch"", ""slot"": 3}, {""id"": 673548, ""name"": ""Seiya Suzuki"", ""slot"": 4}, {""id"": 664023, ""name"": ""Ian Happ"", ""slot"": 5}, {""id"": 807713, ""name"": ""Matt Shaw"", ""slot"": 6}, {""id"": 663538, ""name"": ""Nico Hoerner"", ""slot"": 7}, {""id"": 608348, ""name"": ""Carson Kelly"", ""slot"": 8}, {""id"": 621020, ""name"": ""Dansby Swanson"", ""slot"": 9}]",6.5,130,betmgm,120,draftkings,7,0.674,0.534,0.14,0.55,-0.283,0.578,0.044,,,0.657,0.123
2026-06-21,824908,2026-06-21T17:35:00Z,688107,Robert Gasser,Atlanta Braves,False,0.224,0.224,0.129,0.219,lineup,1.0,0.218,21.4,5.16,4.49,4.67,4.35,,"[{""id"": 643289, ""name"": ""Mauricio Dubón"", ""slot"": 1}, {""id"": 686948, ""name"": ""Drake Baldwin"", ""slot"": 2}, {""id"": 645277, ""name"": ""Ozzie Albies"", ""slot"": 3}, {""id"": 621566, ""name"": ""Matt Olson"", ""slot"": 4}, {""id"": 671739, ""name"": ""Michael Harris II"", ""slot"": 5}, {""id"": 663586, ""name"": ""Austin Riley"", ""slot"": 6}, {""id"": 663698, ""name"": ""Joey Bart"", ""slot"": 7}, {""id"": 642201, ""name"": ""Eli White"", ""slot"": 8}, {""id"": 673490, ""name"": ""Ha-Seong Kim"", ""slot"": 9}]",4.5,135,bovada,-165,betmgm,6,0.499,0.408,0.091,0.173,-0.196,0.509,0.101,,,0.541,0.133
2026-06-21,823531,2026-06-21T17:35:00Z,695505,Chase Burns,New York Yankees,False,0.298,0.357,0.167,0.241,lineup,1.0,0.344,22.6,7.4,7.34,7.8,7.48,,"[{""id"": 700250, ""name"": ""Ben Rice"", ""slot"": 1}, {""id"": 691176, ""name"": ""Jasson Domínguez"", ""slot"": 2}, {""id"": 641355, ""name"": ""Cody Bellinger"", ""slot"": 3}, {""id"": 682987, ""name"": ""Spencer Jones"", ""slot"": 4}, {""id"": 665862, ""name"": ""Jazz Chisholm Jr."", ""slot"": 5}, {""id"": 676609, ""name"": ""José Caballero"", ""slot"": 6}, {""id"": 641857, ""name"": ""Ryan McMahon"", ""slot"": 7}, {""id"": 669224, ""name"": ""Austin Wells"", ""slot"": 8}, {""id"": 683011, ""name"": ""Anthony Volpe"", ""slot"": 9}]",7.5,128,betonlineag,-136,draftkings,7,0.518,0.445,0.073,0.181,-0.164,0.516,0.071,,,0.562,0.117
