date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml
2026-06-07,824349,2026-06-07T19:10:00Z,675660,Shane Drohan,Colorado Rockies,False,0.254,0.219,0.141,0.239,team,0.92,0.234,28.0,5.52,7.12,6.55,,[],3.5,-150,betmgm,120,bovada,4,0.892,0.567,0.325,0.486,-0.762,0.665,0.098,,
2026-06-07,824268,2026-06-07T17:40:00Z,622491,Luis Castillo,Detroit Tigers,False,0.224,0.236,0.134,0.227,team,1.0,0.231,23.8,5.27,5.5,5.5,,[],4.5,105,fanatics,-125,betmgm,5,0.643,0.469,0.174,0.318,-0.357,0.549,0.079,,
2026-06-07,825074,2026-06-07T19:15:00Z,676917,Cade Cavalli,Arizona Diamondbacks,False,0.254,0.27,0.115,0.202,team,1.0,0.234,23.5,5.99,5.5,5.5,,[],4.5,-108,draftkings,100,betmgm,5,0.643,0.51,0.133,0.238,-0.286,0.548,0.038,,
2026-06-07,823941,2026-06-07T20:10:00Z,667755,José Soriano,Los Angeles Dodgers,False,0.271,0.242,0.159,0.202,team,1.02,0.237,24.7,5.96,5.75,5.87,,[],5.5,120,fanduel,122,draftkings,4,0.533,0.44,0.093,0.172,0.037,0.512,0.072,,
2026-06-07,823696,2026-06-07T18:10:00Z,702070,Noah Cameron,Minnesota Twins,False,0.222,0.259,0.116,0.229,team,1.01,0.243,22.4,5.45,5.39,5.45,,[],4.5,-130,betmgm,120,bovada,5,0.634,0.545,0.09,0.122,-0.195,0.546,0.001,,
2026-06-07,824670,2026-06-08T00:30:00Z,686790,Trevor McDonald,Chicago Cubs,False,0.215,0.192,0.12,0.212,team,1.0,0.194,24.0,4.73,4.66,4.66,,[],4.5,120,fanatics,-143,draftkings,5,0.497,0.445,0.052,0.094,-0.146,0.5,0.056,,
2026-06-07,823537,2026-06-07T17:35:00Z,624133,Ranger Suarez,New York Yankees,False,0.239,0.264,0.101,0.229,team,1.0,0.254,21.5,5.74,5.46,5.46,,[],5.5,122,fanduel,115,betmgm,5,0.464,0.425,0.039,0.029,0.153,0.49,0.065,,
2026-06-07,823696,2026-06-07T18:10:00Z,687570,Connor Prielipp,Kansas City Royals,True,0.243,0.231,0.107,0.213,team,1.01,0.227,22.3,5.47,5.03,5.08,,[],4.5,-135,betmgm,122,fanduel,4,0.573,0.557,0.016,-0.003,-0.051,0.525,-0.032,,
2026-06-07,824916,2026-06-07T17:35:00Z,693821,Bryce Elder,Pittsburgh Pirates,True,0.209,0.176,0.111,0.235,team,1.0,0.205,24.8,4.51,5.07,5.07,,[],4.5,-125,betmgm,123,draftkings,5,0.571,0.555,0.016,0.028,-0.044,0.524,-0.031,,
2026-06-07,823453,2026-06-07T17:35:00Z,605400,Aaron Nola,Chicago White Sox,True,0.242,0.233,0.12,0.24,team,1.0,0.255,21.4,5.49,5.46,5.46,,[],5.5,114,betrivers,-130,fanduel,5,0.465,0.455,0.01,-0.005,-0.053,0.49,0.035,,
2026-06-07,823537,2026-06-07T17:35:00Z,693645,Cam Schlittler,Boston Red Sox,True,0.285,0.272,0.153,0.22,team,1.0,0.274,22.7,6.43,6.22,6.22,,[],6.5,132,fanduel,120,fanatics,6,0.429,0.425,0.004,-0.005,0.257,0.478,0.053,,
2026-06-07,822807,2026-06-07T17:37:00Z,592332,Kevin Gausman,Baltimore Orioles,True,0.243,0.258,0.138,0.236,team,1.01,0.264,23.7,5.72,6.18,6.25,,[],6.5,120,fanduel,-136,draftkings,5,0.433,0.437,-0.003,-0.047,-0.017,0.48,0.043,,
2026-06-07,825074,2026-06-07T19:15:00Z,647336,Michael Soroka,Washington Nationals,True,0.236,0.205,0.115,0.213,team,1.0,0.212,23.4,5.14,4.95,4.95,,[],4.5,-148,fanduel,122,fanduel,4,0.55,0.571,-0.021,-0.078,-0.001,0.518,-0.054,,
2026-06-07,823047,2026-06-07T18:15:00Z,700241,Michael McGreevy,Cincinnati Reds,True,0.168,0.174,0.09,0.244,team,1.0,0.185,22.3,3.92,4.12,4.12,,[],4.5,134,draftkings,125,betmgm,4,0.395,0.417,-0.022,-0.076,0.361,0.467,0.05,,
2026-06-07,823941,2026-06-07T20:10:00Z,686218,Emmet Sheehan,Los Angeles Angels,True,0.259,0.243,0.151,0.248,team,1.02,0.285,21.6,5.82,6.03,6.15,,[],6.5,116,fanduel,-135,betmgm,5,0.417,0.441,-0.024,-0.098,0.014,0.475,0.033,,
2026-06-07,824183,2026-06-07T18:10:00Z,695611,Gage Jump,Houston Astros,False,0.204,0.204,0.104,0.216,team,1.0,0.196,24.5,4.69,4.81,4.81,,[],4.5,-134,draftkings,116,fanduel,5,0.525,0.554,-0.029,-0.083,0.025,0.51,-0.045,,
2026-06-07,823857,2026-06-07T17:40:00Z,643377,Griffin Jax,Miami Marlins,False,0.218,0.212,0.145,0.223,team,1.0,0.213,19.4,4.95,4.13,4.13,,[],4.5,120,bovada,135,betmgm,4,0.398,0.433,-0.035,-0.125,0.416,0.468,0.035,,
2026-06-07,823291,2026-06-07T20:10:00Z,681190,Randy Vásquez,New York Mets,True,0.186,0.13,0.109,0.221,team,1.02,0.163,22.1,3.76,3.54,3.61,,[],3.5,-122,fanduel,115,betmgm,5,0.487,0.522,-0.035,-0.114,0.104,0.497,-0.025,,
2026-06-07,824268,2026-06-07T17:40:00Z,656427,Jack Flaherty,Seattle Mariners,True,0.258,0.257,0.113,0.231,team,1.0,0.264,21.2,5.93,5.61,5.61,,[],5.5,-135,betmgm,116,fanduel,4,0.49,0.552,-0.062,-0.147,0.101,0.498,-0.054,,
2026-06-07,822807,2026-06-07T17:37:00Z,669358,Shane Baz,Toronto Blue Jays,False,0.207,0.233,0.097,0.192,team,1.01,0.187,25.6,4.99,4.73,4.78,,[],5.5,135,bovada,113,draftkings,4,0.345,0.412,-0.067,-0.19,0.396,0.45,0.038,,
2026-06-07,824670,2026-06-08T00:30:00Z,592791,Jameson Taillon,San Francisco Giants,True,0.204,0.181,0.124,0.21,team,1.0,0.182,23.3,4.47,4.23,4.23,,[],4.5,-102,fanduel,-110,betmgm,4,0.416,0.483,-0.067,-0.176,0.115,0.474,-0.009,,
