date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,slate_line,slate_over_odds,slate_under_odds,slate_p_over,slate_novig_over,slate_edge,slate_cal_p_over_v2,slate_cal_edge_v2,slate_cal_p_over_ml,slate_cal_edge_ml,slate_over_hit,slate_over_pnl,slate_under_pnl,actual_ks,actual_bf,gs,error_v0,error_v1,error_v2,error_ml,over_hit,over_pnl,under_pnl
2026-05-12,823790,2026-05-12T23:40:00Z,687075,Brandon Sproat,San Diego Padres,True,0.234,0.25,0.106,0.229,lineup,1.0,0.232,23.7,5.53,5.78,5.51,4.21,"[{""id"": 701538, ""name"": ""Jackson Merrill"", ""slot"": 1}, {""id"": 665487, ""name"": ""Fernando Tatis Jr."", ""slot"": 2}, {""id"": 592518, ""name"": ""Manny Machado"", ""slot"": 3}, {""id"": 609280, ""name"": ""Miguel Andujar"", ""slot"": 4}, {""id"": 593428, ""name"": ""Xander Bogaerts"", ""slot"": 5}, {""id"": 657757, ""name"": ""Gavin Sheets"", ""slot"": 6}, {""id"": 592206, ""name"": ""Nick Castellanos"", ""slot"": 7}, {""id"": 657656, ""name"": ""Ramón Laureano"", ""slot"": 8}, {""id"": 666023, ""name"": ""Freddy Fermin"", ""slot"": 9}]",4.5,-104,fanduel,163,betrivers,7,0.644,0.495,0.149,0.264,-0.065,0.527,0.032,0.519,0.024,4.5,-104,163,0.609,0.495,0.114,0.521,0.026,0.519,0.024,1,0.962,-1.0,6,23,1,0.47,0.22,0.49,1.79,1,0.962,-1.0
2026-05-12,824604,2026-05-12T23:40:00Z,607200,Erick Fedde,Kansas City Royals,True,0.147,0.155,0.074,0.23,lineup,1.0,0.152,26.5,3.45,3.88,4.02,7.81,"[{""id"": 672580, ""name"": ""Maikel Garcia"", ""slot"": 1}, {""id"": 677951, ""name"": ""Bobby Witt Jr."", ""slot"": 2}, {""id"": 686469, ""name"": ""Vinnie Pasquantino"", ""slot"": 3}, {""id"": 521692, ""name"": ""Salvador Perez"", ""slot"": 4}, {""id"": 695600, ""name"": ""Carter Jensen"", ""slot"": 5}, {""id"": 695506, ""name"": ""Jac Caglianone"", ""slot"": 6}, {""id"": 686555, ""name"": ""Isaac Collins"", ""slot"": 7}, {""id"": 686681, ""name"": ""Michael Massey"", ""slot"": 8}, {""id"": 664728, ""name"": ""Kyle Isbel"", ""slot"": 9}]",3.5,125,betmgm,-144,draftkings,5,0.57,0.433,0.137,0.282,-0.271,0.514,0.081,0.552,0.119,3.5,125,-144,0.645,0.433,0.212,0.527,0.094,0.546,0.113,0,-1.0,0.694,2,22,1,-1.45,-1.88,-2.02,-5.81,0,-1.0,0.694
2026-05-12,825011,2026-05-13T01:40:00Z,669467,Andre Pallante,Athletics,False,0.176,0.197,0.1,0.221,lineup,1.0,0.185,23.9,4.24,4.46,4.41,6.72,"[{""id"": 701762, ""name"": ""Nick Kurtz"", ""slot"": 1}, {""id"": 669127, ""name"": ""Shea Langeliers"", ""slot"": 2}, {""id"": 691016, ""name"": ""Tyler Soderstrom"", ""slot"": 3}, {""id"": 667670, ""name"": ""Brent Rooker"", ""slot"": 4}, {""id"": 666126, ""name"": ""Carlos Cortes"", ""slot"": 5}, {""id"": 680869, ""name"": ""Zack Gelof"", ""slot"": 6}, {""id"": 671732, ""name"": ""Lawrence Butler"", ""slot"": 7}, {""id"": 687231, ""name"": ""Darell Hernaiz"", ""slot"": 8}, {""id"": 643446, ""name"": ""Jeff McNeil"", ""slot"": 9}]",3.5,-112,draftkings,105,betmgm,5,0.642,0.52,0.122,0.216,-0.267,0.527,0.007,0.545,0.025,3.5,-112,105,0.642,0.52,0.122,0.527,0.007,0.545,0.025,1,0.893,-1.0,4,21,1,-0.24,-0.46,-0.41,-2.72,1,0.893,-1.0
2026-05-12,824604,2026-05-12T23:40:00Z,663568,Stephen Kolek,Chicago White Sox,False,0.2,0.2,0.0,0.234,lineup,1.0,0.208,22.5,4.6,4.91,4.67,5.67,"[{""id"": 803011, ""name"": ""Sam Antonacci"", ""slot"": 1}, {""id"": 808959, ""name"": ""Munetaka Murakami"", ""slot"": 2}, {""id"": 678246, ""name"": ""Miguel Vargas"", ""slot"": 3}, {""id"": 695657, ""name"": ""Colson Montgomery"", ""slot"": 4}, {""id"": 805367, ""name"": ""Chase Meidroth"", ""slot"": 5}, {""id"": 643217, ""name"": ""Andrew Benintendi"", ""slot"": 6}, {""id"": 672284, ""name"": ""Jarred Kelenic"", ""slot"": 7}, {""id"": 671976, ""name"": ""Tristan Peters"", ""slot"": 8}, {""id"": 691011, ""name"": ""Drew Romo"", ""slot"": 9}]",3.5,-159,betonlineag,127,draftkings,5,0.686,0.575,0.111,0.118,-0.288,0.535,-0.04,0.538,-0.037,3.5,-159,127,0.351,0.575,-0.224,0.478,-0.097,0.543,-0.032,1,0.629,-1.0,6,23,1,1.4,1.09,1.33,0.33,1,0.629,-1.0
2026-05-12,824843,2026-05-12T22:35:00Z,701542,Will Warren,Baltimore Orioles,False,0.298,0.331,0.108,0.245,lineup,1.0,0.301,22.6,7.15,7.71,6.81,5.29,"[{""id"": 683002, ""name"": ""Gunnar Henderson"", ""slot"": 1}, {""id"": 621493, ""name"": ""Taylor Ward"", ""slot"": 2}, {""id"": 668939, ""name"": ""Adley Rutschman"", ""slot"": 3}, {""id"": 624413, ""name"": ""Pete Alonso"", ""slot"": 4}, {""id"": 694212, ""name"": ""Samuel Basallo"", ""slot"": 5}, {""id"": 641933, ""name"": ""Tyler O'Neill"", ""slot"": 6}, {""id"": 681297, ""name"": ""Colton Cowser"", ""slot"": 7}, {""id"": 691723, ""name"": ""Coby Mayo"", ""slot"": 8}, {""id"": 669236, ""name"": ""Jeremiah Jackson"", ""slot"": 9}]",5.5,125,betrivers,122,draftkings,7,0.674,0.565,0.109,0.517,-0.277,0.532,-0.033,0.52,-0.045,5.5,125,122,0.635,0.565,0.07,0.525,-0.04,0.499,-0.066,1,1.25,-1.0,6,24,1,-1.15,-1.71,-0.81,0.71,1,1.25,-1.0
2026-05-12,824442,2026-05-12T22:10:00Z,700712,Walbert Ureña,Cleveland Guardians,False,0.218,0.231,0.12,0.183,lineup,1.0,0.185,22.6,5.14,4.43,4.19,2.08,"[{""id"": 680757, ""name"": ""Steven Kwan"", ""slot"": 1}, {""id"": 800050, ""name"": ""Chase DeLauter"", ""slot"": 2}, {""id"": 608070, ""name"": ""José Ramírez"", ""slot"": 3}, {""id"": 700932, ""name"": ""Kyle Manzardo"", ""slot"": 4}, {""id"": 683953, ""name"": ""Travis Bazzana"", ""slot"": 5}, {""id"": 682177, ""name"": ""Daniel Schneemann"", ""slot"": 6}, {""id"": 682657, ""name"": ""Angel Martínez"", ""slot"": 7}, {""id"": 672275, ""name"": ""Patrick Bailey"", ""slot"": 8}, {""id"": 677587, ""name"": ""Brayan Rocchio"", ""slot"": 9}]",3.5,-105,betmgm,-105,draftkings,6,0.602,0.5,0.102,0.176,-0.223,0.52,0.02,0.506,0.006,3.5,-105,-105,0.642,0.5,0.142,0.527,0.027,0.506,0.006,1,0.952,-1.0,4,18,1,-1.14,-0.43,-0.19,1.92,1,0.952,-1.0
2026-05-12,823712,2026-05-12T23:40:00Z,691587,Eury Pérez,Minnesota Twins,False,0.256,0.284,0.145,0.209,lineup,1.01,0.257,23.1,6.15,6.26,5.93,5.5,"[{""id"": 621439, ""name"": ""Byron Buxton"", ""slot"": 1}, {""id"": 663616, ""name"": ""Trevor Larnach"", ""slot"": 2}, {""id"": 680777, ""name"": ""Ryan Jeffers"", ""slot"": 3}, {""id"": 605137, ""name"": ""Josh Bell"", ""slot"": 4}, {""id"": 668885, ""name"": ""Austin Martin"", ""slot"": 5}, {""id"": 807712, ""name"": ""Luke Keaschall"", ""slot"": 6}, {""id"": 665019, ""name"": ""Kody Clemens"", ""slot"": 7}, {""id"": 686797, ""name"": ""Brooks Lee"", ""slot"": 8}, {""id"": 668904, ""name"": ""Royce Lewis"", ""slot"": 9}]",5.5,115,draftkings,-122,betrivers,7,0.543,0.45,0.093,0.167,-0.168,0.51,0.06,0.522,0.072,5.5,115,-122,0.457,0.45,0.007,0.496,0.046,0.526,0.076,1,1.15,-1.0,8,25,1,1.85,1.74,2.07,2.5,1,1.15,-1.0
2026-05-12,823951,2026-05-13T02:10:00Z,808967,Yoshinobu Yamamoto,San Francisco Giants,True,0.235,0.252,0.147,0.229,lineup,1.02,0.267,24.7,5.57,5.67,6.61,6.4,"[{""id"": 808982, ""name"": ""Jung Hoo Lee"", ""slot"": 1}, {""id"": 650333, ""name"": ""Luis Arraez"", ""slot"": 2}, {""id"": 669477, ""name"": ""Casey Schmitt"", ""slot"": 3}, {""id"": 646240, ""name"": ""Rafael Devers"", ""slot"": 4}, {""id"": 671218, ""name"": ""Heliot Ramos"", ""slot"": 5}, {""id"": 642715, ""name"": ""Willy Adames"", ""slot"": 6}, {""id"": 805811, ""name"": ""Bryce Eldridge"", ""slot"": 7}, {""id"": 664056, ""name"": ""Harrison Bader"", ""slot"": 8}, {""id"": 606992, ""name"": ""Eric Haase"", ""slot"": 9}]",5.5,105,betmgm,130,fanduel,3,0.647,0.575,0.072,0.327,-0.188,0.527,-0.048,0.527,-0.048,5.5,105,130,0.647,0.575,0.072,0.527,-0.048,0.527,-0.048,1,1.05,-1.0,8,25,1,2.43,2.33,1.39,1.6,1,1.05,-1.0
2026-05-12,824521,2026-05-12T22:40:00Z,571945,Miles Mikolas,Cincinnati Reds,False,0.148,0.161,0.083,0.226,lineup,1.0,0.157,23.6,3.53,3.94,3.72,4.51,"[{""id"": 670770, ""name"": ""TJ Friedl"", ""slot"": 1}, {""id"": 668715, ""name"": ""Spencer Steer"", ""slot"": 2}, {""id"": 682829, ""name"": ""Elly De La Cruz"", ""slot"": 3}, {""id"": 701398, ""name"": ""Sal Stewart"", ""slot"": 4}, {""id"": 668709, ""name"": ""JJ Bleday"", ""slot"": 5}, {""id"": 680574, ""name"": ""Matt McLain"", ""slot"": 6}, {""id"": 666181, ""name"": ""Will Benson"", ""slot"": 7}, {""id"": 663886, ""name"": ""Tyler Stephenson"", ""slot"": 8}, {""id"": 663647, ""name"": ""Ke'Bryan Hayes"", ""slot"": 9}]",3.5,100,betmgm,-114,draftkings,5,0.51,0.474,0.036,0.021,-0.081,0.505,0.031,0.529,0.055,3.5,100,-114,0.598,0.474,0.124,0.519,0.045,0.548,0.074,0,-1.0,0.877,2,16,1,-1.53,-1.94,-1.72,-2.51,0,-1.0,0.877
2026-05-12,824927,2026-05-12T23:15:00Z,656550,Grant Holmes,Chicago Cubs,True,0.192,0.189,0.137,0.212,lineup,1.0,0.205,21.8,4.39,3.75,4.47,2.64,"[{""id"": 663538, ""name"": ""Nico Hoerner"", ""slot"": 1}, {""id"": 624424, ""name"": ""Michael Conforto"", ""slot"": 2}, {""id"": 608324, ""name"": ""Alex Bregman"", ""slot"": 3}, {""id"": 664023, ""name"": ""Ian Happ"", ""slot"": 4}, {""id"": 673548, ""name"": ""Seiya Suzuki"", ""slot"": 5}, {""id"": 683737, ""name"": ""Michael Busch"", ""slot"": 6}, {""id"": 694208, ""name"": ""Moisés Ballesteros"", ""slot"": 7}, {""id"": 621020, ""name"": ""Dansby Swanson"", ""slot"": 8}, {""id"": 691718, ""name"": ""Pete Crow-Armstrong"", ""slot"": 9}]",4.5,118,draftkings,-135,betmgm,5,0.462,0.437,0.025,0.007,-0.063,0.497,0.06,0.504,0.067,4.5,118,-135,0.472,0.437,0.035,0.498,0.061,0.509,0.072,1,1.18,-1.0,5,17,1,0.61,1.25,0.53,2.36,1,1.18,-1.0
