date,section,rank,leg_count,leg1_pitcher,leg1_pitcher_id,leg1_dir,leg1_line,leg1_odds,leg1_p_hit,leg1_novig_p,leg2_pitcher,leg2_pitcher_id,leg2_dir,leg2_line,leg2_odds,leg2_p_hit,leg2_novig_p,leg3_pitcher,leg3_pitcher_id,leg3_dir,leg3_line,leg3_odds,leg3_p_hit,leg3_novig_p,combined_amer,combined_dec,combined_hit,combined_novig,combined_edge,ev
2026-05-08,two_leg,1,2,Kyle Bradish,680694,under,5.5,175.0,0.624,0.506,Mike Burrows,681347,over,5.5,230.0,0.539,0.447,,,,,,,,807,9.075,0.336336,0.226182,0.110154,2.052249
2026-05-08,two_leg,2,2,Nick Lodolo,666157,under,5.5,155.0,0.667,0.528,Keider Montero,672456,over,3.5,180.0,0.591,0.511,,,,,,,,614,7.14,0.394197,0.269808,0.124389,1.814567
2026-05-08,two_leg,3,2,Sean Burke,680732,over,4.5,-130.0,0.687,0.551,Nolan McLean,690997,over,5.5,160.0,0.611,0.51,,,,,,,,360,4.6,0.419757,0.28101,0.138747,0.930882
2026-05-08,two_leg,4,2,Dylan Cease,656302,over,7.5,-134.0,0.677,0.542,Michael McGreevy,700241,under,3.5,-116.0,0.608,0.512,,,,,,,,225,3.251673,0.411616,0.277504,0.134112,0.33844
2026-05-08,three_leg,1,3,Kyle Bradish,680694,under,5.5,175.0,0.624,0.506,Mike Burrows,681347,over,5.5,230.0,0.539,0.447,Keider Montero,672456,over,3.5,180.0,0.591,0.511,2441,25.41,0.198775,0.115579,0.083196,4.050862
2026-05-08,three_leg,2,3,Nick Lodolo,666157,under,5.5,155.0,0.667,0.528,Sean Burke,680732,over,4.5,-130.0,0.687,0.551,Nolan McLean,690997,over,5.5,160.0,0.611,0.51,1073,11.73,0.279978,0.148373,0.131605,2.284141
