date,section,rank,leg_count,leg1_pitcher,leg1_pitcher_id,leg1_dir,leg1_line,leg1_odds,leg1_p_hit,leg1_novig_p,leg2_pitcher,leg2_pitcher_id,leg2_dir,leg2_line,leg2_odds,leg2_p_hit,leg2_novig_p,leg3_pitcher,leg3_pitcher_id,leg3_dir,leg3_line,leg3_odds,leg3_p_hit,leg3_novig_p,combined_amer,combined_dec,combined_hit,combined_novig,combined_edge,ev,ud_payout,ev_ud,ev_ud_boost,overlaps_top_2leg
2026-06-21,two_leg,1,2,Jack Perkins,678022,over,5.5,106.0,0.648,0.462,Elmer Rodríguez,695684,under,3.5,128.0,0.633,0.445,,,,,,,,370,4.6968,0.410184,0.20559,0.204594,0.926552,3.0,0.230552,0.599718,
2026-06-21,two_leg,2,2,Ryan Gusto,687473,under,3.5,132.0,0.598,0.425,Andrew Alvarez,674841,over,4.5,134.0,0.594,0.42,,,,,,,,443,5.4288,0.355212,0.1785,0.176712,0.928375,3.0,0.065636,0.385327,
2026-06-21,two_leg,3,2,Kai-Wei Teng,678906,over,5.5,105.0,0.548,0.471,Nick Martinez,607259,under,3.5,132.0,0.537,0.425,,,,,,,,376,4.756,0.294276,0.200175,0.094101,0.399577,3.0,-0.117172,0.147676,
2026-06-21,two_leg,4,2,Dustin May,669160,over,5.5,115.0,0.525,0.445,Davis Martin,663436,over,5.5,125.0,0.506,0.424,,,,,,,,384,4.8375,0.26565,0.18868,0.07697,0.285082,3.0,-0.20305,0.036035,
2026-06-21,three_leg,1,3,Jack Perkins,678022,over,5.5,106.0,0.648,0.462,Elmer Rodríguez,695684,under,3.5,128.0,0.633,0.445,Ryan Gusto,687473,under,3.5,132.0,0.598,0.425,990,10.896576,0.24529,0.087376,0.157914,1.672821,6.0,0.47174,0.913262,Jack Perkins
2026-06-21,three_leg,2,3,Andrew Alvarez,674841,over,4.5,134.0,0.594,0.42,Kai-Wei Teng,678906,over,5.5,105.0,0.548,0.471,Dustin May,669160,over,5.5,115.0,0.525,0.445,931,10.31355,0.170894,0.08803,0.082864,0.762522,6.0,0.025363,0.332972,
