date,section,rank,leg_count,leg1_pitcher,leg1_pitcher_id,leg1_dir,leg1_line,leg1_odds,leg1_p_hit,leg1_novig_p,leg2_pitcher,leg2_pitcher_id,leg2_dir,leg2_line,leg2_odds,leg2_p_hit,leg2_novig_p,leg3_pitcher,leg3_pitcher_id,leg3_dir,leg3_line,leg3_odds,leg3_p_hit,leg3_novig_p,combined_amer,combined_dec,combined_hit,combined_novig,combined_edge,ev,overlaps_top_2leg
2026-06-07,two_leg,1,2,Shane Drohan,675660,over,3.5,-150.0,0.892,0.567,Luis Castillo,622491,over,4.5,105.0,0.62,0.469,,,,,,,,242,3.416667,0.55304,0.265923,0.287117,0.889553,
2026-06-07,two_leg,2,2,Cam Schlittler,693645,over,6.5,132.0,0.492,0.425,José Soriano,667755,over,5.5,120.0,0.533,0.44,,,,,,,,410,5.104,0.262236,0.187,0.075236,0.338453,
2026-06-07,three_leg,1,3,Shane Drohan,675660,over,3.5,-150.0,0.892,0.567,Luis Castillo,622491,over,4.5,105.0,0.62,0.469,José Soriano,667755,over,5.5,120.0,0.533,0.44,652,7.516667,0.29477,0.117006,0.177764,1.21569,Shane Drohan
