date,section,rank,leg_count,leg1_pitcher,leg1_pitcher_id,leg1_dir,leg1_line,leg1_odds,leg1_p_hit,leg1_novig_p,leg2_pitcher,leg2_pitcher_id,leg2_dir,leg2_line,leg2_odds,leg2_p_hit,leg2_novig_p,leg3_pitcher,leg3_pitcher_id,leg3_dir,leg3_line,leg3_odds,leg3_p_hit,leg3_novig_p,combined_amer,combined_dec,combined_hit,combined_novig,combined_edge,ev,overlaps_top_2leg,leg1_actual_ks,leg1_hit,leg2_actual_ks,leg2_hit,leg3_actual_ks,leg3_hit,parlay_hit,realized_pnl
2026-05-24,two_leg,1,2,Ryne Nelson,669194,under,4.5,265.0,0.603,0.414,Andrew Painter,691725,under,3.5,255.0,0.544,0.425,,,,,,,,1196,12.9575,0.328032,0.17595,0.152082,3.250475,,3,1,3,1,,,1,11.9575
2026-05-24,two_leg,2,2,Robbie Ray,592662,under,5.5,125.0,0.639,0.437,Michael King,650633,under,5.5,122.0,0.657,0.451,,,,,,,,399,4.995,0.419823,0.197087,0.222736,1.097016,,3,1,4,1,,,1,3.995
2026-05-24,two_leg,3,2,Foster Griffin,656492,over,4.5,107.0,0.656,0.466,Noah Schultz,702273,over,4.5,100.0,0.696,0.494,,,,,,,,314,4.14,0.456576,0.230204,0.226372,0.890225,,6,1,1,0,,,0,-1.0
2026-05-24,two_leg,4,2,Martín Pérez,527048,over,4.5,140.0,0.542,0.429,Bryan Woo,693433,over,5.5,125.0,0.493,0.425,,,,,,,,440,5.4,0.267206,0.182325,0.084881,0.442912,,2,0,4,0,,,0,-1.0
2026-05-24,three_leg,1,3,Ryne Nelson,669194,under,4.5,265.0,0.603,0.414,Michael King,650633,under,5.5,122.0,0.657,0.451,Andrew Painter,691725,under,3.5,255.0,0.544,0.425,2777,28.76565,0.215517,0.079353,0.136164,5.199487,Ryne Nelson,3,1,4,1,3,1,1,27.76565
2026-05-24,three_leg,2,3,Foster Griffin,656492,over,4.5,107.0,0.656,0.466,Bryan Woo,693433,over,5.5,125.0,0.493,0.425,Robbie Ray,592662,under,5.5,125.0,0.639,0.437,948,10.479375,0.206658,0.086548,0.12011,1.165644,,6,1,4,0,3,1,0,-1.0
