date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,slate_line,slate_over_odds,slate_under_odds,slate_p_over,slate_novig_over,slate_edge,slate_over_hit,slate_over_pnl,slate_under_pnl,actual_ks,actual_bf,gs,error_v0,error_v1,error_v2,error_ml,over_hit,over_pnl,under_pnl
2026-05-06,824361,2026-05-07T01:20:00Z,642547,Freddy Peralta,Colorado Rockies,False,0.256,0.23,0.141,0.232,lineup,0.92,0.243,23.8,5.65,6.63,5.79,5.72,"[{""id"": 666397, ""name"": ""Edouard Julien"", ""slot"": 1}, {""id"": 666160, ""name"": ""Mickey Moniak"", ""slot"": 2}, {""id"": 696100, ""name"": ""Hunter Goodman"", ""slot"": 3}, {""id"": 681198, ""name"": ""TJ Rumfield"", ""slot"": 4}, {""id"": 671289, ""name"": ""Tyler Freeman"", ""slot"": 5}, {""id"": 687859, ""name"": ""Troy Johnston"", ""slot"": 6}, {""id"": 691720, ""name"": ""Kyle Karros"", ""slot"": 7}, {""id"": 678662, ""name"": ""Ezequiel Tovar"", ""slot"": 8}, {""id"": 664983, ""name"": ""Jake McCarthy"", ""slot"": 9}]",6.5,128,draftkings,-155,betrivers,7,0.361,0.423,-0.062,-0.178,0.052,6.5,128,-155,0.452,0.423,0.029,0,-1.0,0.645,1,21,1,-4.65,-5.63,-4.79,-4.72,0,-1.0,0.645
2026-05-06,824198,2026-05-06T18:10:00Z,621121,Lance McCullers Jr.,Los Angeles Dodgers,True,0.25,0.226,0.118,0.223,lineup,1.0,0.235,21.2,5.53,4.64,4.96,4.9,"[{""id"": 660271, ""name"": ""Shohei Ohtani"", ""slot"": 1}, {""id"": 518692, ""name"": ""Freddie Freeman"", ""slot"": 2}, {""id"": 606192, ""name"": ""Teoscar Hernández"", ""slot"": 3}, {""id"": 663656, ""name"": ""Kyle Tucker"", ""slot"": 4}, {""id"": 571970, ""name"": ""Max Muncy"", ""slot"": 5}, {""id"": 681624, ""name"": ""Andy Pages"", ""slot"": 6}, {""id"": 687221, ""name"": ""Dalton Rushing"", ""slot"": 7}, {""id"": 808975, ""name"": ""Hyeseong Kim"", ""slot"": 8}, {""id"": 690976, ""name"": ""Alex Freeland"", ""slot"": 9}]",5.5,128,betrivers,126,fanduel,7,0.378,0.445,-0.067,-0.139,0.406,5.5,128,126,0.334,0.445,-0.111,0,-1.0,1.26,4,15,1,-1.53,-0.64,-0.96,-0.9,0,-1.0,1.26
2026-05-06,823226,2026-05-06T19:45:00Z,605288,Adrian Houser,San Diego Padres,True,0.114,0.106,0.095,0.221,lineup,0.98,0.132,23.3,2.56,2.5,3.07,3.67,"[{""id"": 701538, ""name"": ""Jackson Merrill"", ""slot"": 1}, {""id"": 592518, ""name"": ""Manny Machado"", ""slot"": 2}, {""id"": 609280, ""name"": ""Miguel Andujar"", ""slot"": 3}, {""id"": 657757, ""name"": ""Gavin Sheets"", ""slot"": 4}, {""id"": 665487, ""name"": ""Fernando Tatis Jr."", ""slot"": 5}, {""id"": 657656, ""name"": ""Ramón Laureano"", ""slot"": 6}, {""id"": 592206, ""name"": ""Nick Castellanos"", ""slot"": 7}, {""id"": 666023, ""name"": ""Freddy Fermin"", ""slot"": 8}, {""id"": 823550, ""name"": ""Sung-Mun Song"", ""slot"": 9}]",3.5,121,draftkings,180,betrivers,7,0.368,0.437,-0.069,-0.187,0.77,3.5,290,-145,0.37,0.435,-0.065,0,-1.0,0.69,3,23,1,0.44,0.5,-0.07,-0.67,0,-1.0,1.8
2026-05-06,824282,2026-05-06T22:40:00Z,656427,Jack Flaherty,Boston Red Sox,True,0.259,0.292,0.098,0.223,lineup,1.0,0.241,19.8,6.26,5.43,4.78,4.1,"[{""id"": 680776, ""name"": ""Jarren Duran"", ""slot"": 1}, {""id"": 575929, ""name"": ""Willson Contreras"", ""slot"": 2}, {""id"": 677800, ""name"": ""Wilyer Abreu"", ""slot"": 3}, {""id"": 596115, ""name"": ""Trevor Story"", ""slot"": 4}, {""id"": 807799, ""name"": ""Masataka Yoshida"", ""slot"": 5}, {""id"": 678882, ""name"": ""Ceddanne Rafaela"", ""slot"": 6}, {""id"": 691785, ""name"": ""Marcelo Mayer"", ""slot"": 7}, {""id"": 665966, ""name"": ""Carlos Narváez"", ""slot"": 8}, {""id"": 702332, ""name"": ""Caleb Durbin"", ""slot"": 9}]",5.5,116,draftkings,155,betrivers,7,0.346,0.459,-0.113,-0.252,0.667,5.5,116,155,0.263,0.459,-0.196,1,1.16,-1.0,10,21,1,3.74,4.57,5.22,5.9,1,1.16,-1.0
2026-05-06,823063,2026-05-06T17:15:00Z,669467,Andre Pallante,Milwaukee Brewers,True,0.176,0.197,0.109,0.156,lineup,1.0,0.135,23.9,4.24,3.93,3.23,3.46,"[{""id"": 686217, ""name"": ""Sal Frelick"", ""slot"": 1}, {""id"": 694192, ""name"": ""Jackson Chourio"", ""slot"": 2}, {""id"": 668930, ""name"": ""Brice Turang"", ""slot"": 3}, {""id"": 661388, ""name"": ""William Contreras"", ""slot"": 4}, {""id"": 641343, ""name"": ""Jake Bauers"", ""slot"": 5}, {""id"": 683734, ""name"": ""Andrew Vaughn"", ""slot"": 6}, {""id"": 672012, ""name"": ""Tyler Black"", ""slot"": 7}, {""id"": 666152, ""name"": ""David Hamilton"", ""slot"": 8}, {""id"": 687401, ""name"": ""Joey Ortiz"", ""slot"": 9}]",3.5,-120,betmgm,255,betrivers,7,0.405,0.541,-0.136,-0.258,1.113,3.5,-120,255,0.597,0.541,0.056,0,-1.0,2.55,3,27,1,-1.24,-0.93,-0.23,-0.46,0,-1.0,2.55
2026-05-06,824036,2026-05-06T20:07:00Z,702273,Noah Schultz,Los Angeles Angels,False,0.217,0.217,0.095,0.233,lineup,1.0,0.214,21.2,4.99,5.21,4.53,2.11,"[{""id"": 687263, ""name"": ""Zach Neto"", ""slot"": 1}, {""id"": 545361, ""name"": ""Mike Trout"", ""slot"": 2}, {""id"": 687093, ""name"": ""Vaughn Grissom"", ""slot"": 3}, {""id"": 624585, ""name"": ""Jorge Soler"", ""slot"": 4}, {""id"": 666176, ""name"": ""Jo Adell"", ""slot"": 5}, {""id"": 672724, ""name"": ""Oswald Peraza"", ""slot"": 6}, {""id"": 694384, ""name"": ""Nolan Schanuel"", ""slot"": 7}, {""id"": 518595, ""name"": ""Travis d'Arnaud"", ""slot"": 8}, {""id"": 669326, ""name"": ""Bryce Teodosio"", ""slot"": 9}]",5.5,120,betmgm,280,betrivers,7,0.302,0.447,-0.145,-0.335,1.651,5.5,120,280,0.439,0.447,-0.007,0,-1.0,2.8,3,21,1,-1.99,-2.21,-1.53,0.89,0,-1.0,2.8
2026-05-06,823470,2026-05-06T22:40:00Z,554430,Zack Wheeler,Athletics,True,0.269,0.269,0.163,0.195,lineup,1.0,0.248,22.3,6.18,6.01,5.54,6.22,"[{""id"": 701762, ""name"": ""Nick Kurtz"", ""slot"": 1}, {""id"": 805779, ""name"": ""Jacob Wilson"", ""slot"": 2}, {""id"": 691016, ""name"": ""Tyler Soderstrom"", ""slot"": 3}, {""id"": 667670, ""name"": ""Brent Rooker"", ""slot"": 4}, {""id"": 666126, ""name"": ""Carlos Cortes"", ""slot"": 5}, {""id"": 643446, ""name"": ""Jeff McNeil"", ""slot"": 6}, {""id"": 641680, ""name"": ""Jonah Heim"", ""slot"": 7}, {""id"": 671732, ""name"": ""Lawrence Butler"", ""slot"": 8}, {""id"": 680869, ""name"": ""Zack Gelof"", ""slot"": 9}]",6.5,-102,draftkings,-105,bovada,7,0.32,0.491,-0.171,-0.365,0.327,6.5,-102,-105,0.548,0.491,0.058,0,-1.0,0.952,4,25,1,-2.18,-2.01,-1.54,-2.22,0,-1.0,0.952
2026-05-06,824118,2026-05-06T23:40:00Z,666142,Cole Ragans,Cleveland Guardians,True,0.308,0.3,0.141,0.206,lineup,1.0,0.27,18.9,7.01,5.23,5.12,3.5,"[{""id"": 682657, ""name"": ""Angel Martínez"", ""slot"": 1}, {""id"": 800050, ""name"": ""Chase DeLauter"", ""slot"": 2}, {""id"": 608070, ""name"": ""José Ramírez"", ""slot"": 3}, {""id"": 656555, ""name"": ""Rhys Hoskins"", ""slot"": 4}, {""id"": 681807, ""name"": ""David Fry"", ""slot"": 5}, {""id"": 682177, ""name"": ""Daniel Schneemann"", ""slot"": 6}, {""id"": 677587, ""name"": ""Brayan Rocchio"", ""slot"": 7}, {""id"": 595978, ""name"": ""Austin Hedges"", ""slot"": 8}, {""id"": 690984, ""name"": ""Petey Halpin"", ""slot"": 9}]",6.5,125,bovada,-140,betmgm,7,0.255,0.435,-0.18,-0.426,0.277,6.5,125,-140,0.246,0.435,-0.189,0,-1.0,0.714,4,13,1,-3.01,-1.23,-1.12,0.5,0,-1.0,0.714
2026-05-06,825091,2026-05-07T01:40:00Z,694973,Paul Skenes,Arizona Diamondbacks,False,0.293,0.317,0.128,0.2,lineup,1.0,0.253,19.7,6.97,5.75,4.99,3.82,"[{""id"": 672695, ""name"": ""Geraldo Perdomo"", ""slot"": 1}, {""id"": 606466, ""name"": ""Ketel Marte"", ""slot"": 2}, {""id"": 682998, ""name"": ""Corbin Carroll"", ""slot"": 3}, {""id"": 680728, ""name"": ""Adrian Del Castillo"", ""slot"": 4}, {""id"": 545121, ""name"": ""Ildemaro Vargas"", ""slot"": 5}, {""id"": 666971, ""name"": ""Lourdes Gurriel Jr."", ""slot"": 6}, {""id"": 571448, ""name"": ""Nolan Arenado"", ""slot"": 7}, {""id"": 672515, ""name"": ""Gabriel Moreno"", ""slot"": 8}, {""id"": 677950, ""name"": ""Alek Thomas"", ""slot"": 9}]",5.5,-140,betmgm,130,bovada,7,0.382,0.566,-0.184,-0.345,0.421,5.5,-140,130,0.453,0.566,-0.113,1,0.714,-1.0,7,26,1,0.03,1.25,2.01,3.18,1,0.714,-1.0
2026-05-06,822985,2026-05-06T17:10:00Z,663556,Shane McClanahan,Toronto Blue Jays,True,0.241,0.238,0.131,0.185,lineup,1.0,0.202,20.5,5.52,3.94,4.13,2.15,"[{""id"": 543807, ""name"": ""George Springer"", ""slot"": 1}, {""id"": 672960, ""name"": ""Kazuma Okamoto"", ""slot"": 2}, {""id"": 665489, ""name"": ""Vladimir Guerrero Jr."", ""slot"": 3}, {""id"": 672820, ""name"": ""Lenyn Sosa"", ""slot"": 4}, {""id"": 676391, ""name"": ""Ernie Clement"", ""slot"": 5}, {""id"": 676914, ""name"": ""Davis Schneider"", ""slot"": 6}, {""id"": 664702, ""name"": ""Myles Straw"", ""slot"": 7}, {""id"": 682818, ""name"": ""Yohendrick Piñango"", ""slot"": 8}, {""id"": 623168, ""name"": ""Tyler Heineman"", ""slot"": 9}]",5.5,135,bovada,260,betrivers,7,0.236,0.425,-0.189,-0.446,1.752,5.5,135,260,0.227,0.425,-0.197,0,-1.0,2.6,4,20,1,-1.52,0.06,-0.13,1.85,0,-1.0,2.6
