date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_v2bc,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,cal_p_over_v2bc,cal_edge_v2bc
2026-06-19,823124,2026-06-20T02:10:00Z,682243,Bryce Miller,Boston Red Sox,True,0.288,0.299,0.154,0.22,team,1.03,0.294,23.6,6.73,6.73,6.93,6.61,,[],4.5,120,betmgm,132,fanduel,4,0.821,0.59,0.231,0.806,-0.584,0.651,0.061,,,0.8,0.21
2026-06-19,824663,2026-06-19T18:20:00Z,676962,Ben Brown,Toronto Blue Jays,True,0.251,0.237,0.126,0.196,team,1.0,0.214,28.0,5.64,5.99,5.99,5.67,,[],4.5,-110,fanduel,105,betmgm,6,0.713,0.52,0.193,0.361,-0.412,0.594,0.075,,,0.71,0.19
2026-06-19,824910,2026-06-19T23:15:00Z,527048,Martín Pérez,Milwaukee Brewers,True,0.208,0.219,0.098,0.208,team,1.0,0.196,23.1,4.89,4.53,4.53,4.21,,[],3.5,132,betonlineag,130,fanduel,6,0.663,0.554,0.11,0.539,-0.226,0.572,0.018,,,0.663,0.11
2026-06-19,824264,2026-06-19T22:40:00Z,607200,Erick Fedde,Detroit Tigers,False,0.152,0.132,0.07,0.232,team,1.0,0.148,28.0,3.32,4.15,4.15,3.83,,[],3.5,-108,betonlineag,-120,betonlineag,1,0.596,0.488,0.108,0.148,-0.26,0.544,0.056,,,0.607,0.12
2026-06-19,824990,2026-06-20T01:40:00Z,667755,José Soriano,Athletics,False,0.256,0.207,0.153,0.222,team,1.0,0.233,24.1,5.43,5.6,5.6,5.28,,[],4.5,123,draftkings,132,fanduel,5,0.658,0.577,0.081,0.468,-0.207,0.57,-0.007,,,0.664,0.087
2026-06-19,824910,2026-06-19T23:15:00Z,694819,Jacob Misiorowski,Atlanta Braves,False,0.398,0.402,0.188,0.208,team,1.0,0.37,24.3,9.19,8.98,8.98,8.66,,[],8.5,102,draftkings,-124,betrivers,6,0.541,0.472,0.069,0.094,-0.171,0.522,0.05,,,0.581,0.109
2026-06-19,825069,2026-06-20T01:45:00Z,687570,Connor Prielipp,Arizona Diamondbacks,False,0.235,0.191,0.103,0.2,team,1.0,0.193,22.2,5.0,4.3,4.3,3.98,,[],3.5,-142,fanduel,128,draftkings,5,0.622,0.575,0.047,0.06,-0.139,0.555,-0.021,,,0.63,0.055
2026-06-19,824663,2026-06-19T18:20:00Z,592332,Kevin Gausman,Chicago Cubs,False,0.246,0.28,0.142,0.213,team,1.0,0.246,23.4,5.97,5.76,5.76,5.44,,[],5.5,-103,draftkings,-104,betrivers,7,0.515,0.49,0.025,0.014,-0.048,0.511,0.021,,,0.551,0.061
2026-06-19,824345,2026-06-20T00:40:00Z,696149,Bubba Chandler,Colorado Rockies,False,0.226,0.25,0.119,0.233,team,0.92,0.224,22.5,5.42,5.5,5.06,4.74,,[],4.5,123,betrivers,113,draftkings,7,0.57,0.545,0.025,0.27,-0.083,0.533,-0.011,,,0.592,0.047
2026-06-19,822966,2026-06-19T23:10:00Z,676917,Cade Cavalli,Tampa Bay Rays,False,0.243,0.248,0.113,0.191,team,1.0,0.208,22.7,5.64,4.71,4.71,4.39,,[],4.5,-110,bovada,-113,draftkings,6,0.507,0.497,0.01,-0.032,-0.071,0.508,0.011,,,0.54,0.042
2026-06-19,823936,2026-06-20T02:10:00Z,808963,Roki Sasaki,Baltimore Orioles,True,0.237,0.292,0.145,0.238,team,1.02,0.279,22.5,5.96,6.17,6.29,5.97,,[],6.5,128,fanduel,120,fanatics,6,0.441,0.434,0.007,0.005,0.231,0.482,0.048,,,0.492,0.058
