date,section,rank,leg_count,leg1_pitcher,leg1_pitcher_id,leg1_dir,leg1_line,leg1_odds,leg1_p_hit,leg1_novig_p,leg2_pitcher,leg2_pitcher_id,leg2_dir,leg2_line,leg2_odds,leg2_p_hit,leg2_novig_p,leg3_pitcher,leg3_pitcher_id,leg3_dir,leg3_line,leg3_odds,leg3_p_hit,leg3_novig_p,combined_amer,combined_dec,combined_hit,combined_novig,combined_edge,ev,overlaps_top_2leg,leg1_actual_ks,leg1_hit,leg2_actual_ks,leg2_hit,leg3_actual_ks,leg3_hit,parlay_hit,realized_pnl
2026-05-31,two_leg,1,2,Tanner Bibee,676440,under,4.5,260.0,0.627,0.437,Jacob Lopez,682052,under,3.5,215.0,0.584,0.437,,,,,,,,1034,11.34,0.366168,0.190969,0.175199,3.152345,,5,0,3,1,,,0,-1.0
2026-05-31,two_leg,2,2,Spencer Miles,693686,over,3.5,-132.0,0.88,0.538,Tanner Gordon,685299,over,3.5,170.0,0.667,0.49,,,,,,,,375,4.745455,0.58696,0.26362,0.32334,1.785392,,2,0,2,0,,,0,-1.0
2026-05-31,two_leg,3,2,Merrill Kelly,518876,under,4.5,130.0,0.623,0.429,Nick Lodolo,666157,under,5.5,105.0,0.699,0.484,,,,,,,,371,4.715,0.435477,0.207636,0.227841,1.053274,,2,1,4,1,,,1,3.715
2026-05-31,three_leg,1,3,Tanner Bibee,676440,under,4.5,260.0,0.627,0.437,Jacob Lopez,682052,under,3.5,215.0,0.584,0.437,Tanner Gordon,685299,over,3.5,170.0,0.667,0.49,2962,30.618,0.244234,0.093575,0.150659,6.477958,Tanner Bibee,5,0,3,1,2,0,0,-1.0
2026-05-31,three_leg,2,3,Spencer Miles,693686,over,3.5,-132.0,0.88,0.538,Sean Burke,680732,over,5.5,114.0,0.599,0.459,Nick Lodolo,666157,under,5.5,105.0,0.699,0.484,671,7.710485,0.368457,0.11952,0.248937,1.840981,,2,0,6,1,4,1,0,-1.0
